level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ge-1,true,1.00,17,260,13,1,295
ge-2,true,1.00,12,235,9,1,161
ge-3,true,1.00,12,234,11,1,257
ge-4,true,1.00,5,248,4,1,293
ge-5,true,1.00,3,199,2,1,82
ge-6,true,1.00,5,251,3,1,278
ge-7,true,1.00,3,215,2,1,130
ge-8,true,1.00,4,221,2,1,173
ge-9,true,1.00,4,217,2,1,192
ge-10,true,1.00,3,199,1,1,81
ge-11,true,1.00,3,220,1,1,124
ge-12,true,1.00,3,199,1,1,84
ge-13,true,1.00,7,257,4,1,272
ge-14,true,1.00,6,247,4,1,220
ge-15,true,1.00,3,216,1,1,157
ge-16,true,1.00,7,276,5,1,375
ge-17,true,1.00,3,223,1,1,124
ge-18,true,1.00,5,250,4,1,293
ge-19,true,1.00,13,243,10,1,166
ge-20,true,1.00,16,224,12,1,203
ge-21,true,1.00,9,199,7,1,89
ge-22,true,1.00,8,210,6,1,113
ge-23,true,1.00,11,210,8,1,234
ge-24,true,1.00,12,234,9,1,245
ge-25,true,1.00,10,205,7,1,107
ge-26,true,1.00,10,199,7,1,99
ge-27,true,1.00,8,211,6,1,100
ge-28,true,1.00,8,205,6,1,102
ge-29,true,1.00,7,222,5,1,275
ge-30,true,1.00,8,257,8,1,564
ge-31,true,1.00,8,244,5,1,352
ge-32,true,1.00,7,233,4,1,268
ge-33,true,1.00,5,221,3,1,152
ge-34,true,1.00,3,211,2,1,145
ge-35,true,1.00,5,234,4,1,256
ge-36,true,1.00,7,267,5,1,487
ge-37,true,1.00,3,210,3,1,99
ge-38,true,1.00,4,217,3,1,248
ge-39,true,1.00,4,229,2,1,259
ge-40,true,1.00,3,199,1,1,75
ge-41,true,1.00,3,199,1,1,104
ge-42,true,1.00,6,252,4,1,290
ge-43,true,1.00,5,239,3,1,246
ge-44,true,1.00,4,237,3,1,174
ge-45,true,1.00,6,231,5,1,368
ge-46,true,1.00,6,260,4,1,399
ge-47,true,1.00,3,199,3,1,123
ge-48,true,1.00,4,243,2,1,215
ge-49,true,1.00,3,210,1,1,93
ge-50,true,1.00,4,220,3,1,132
ge-51,true,1.00,3,228,1,1,159
ge-52,true,1.00,5,250,3,1,302
ge-53,true,1.00,4,220,1,1,111
ge-54,true,1.00,6,250,4,1,206
ge-55,true,1.00,5,228,5,1,251
ge-56,true,1.00,5,225,3,1,256
ge-57,true,1.00,5,228,3,1,254
ge-58,true,1.00,6,279,4,1,319
ge-59,true,1.00,3,210,1,1,146
ge-60,true,1.00,3,205,2,1,141
ge-61,true,1.00,2,199,1,1,91
ge-62,true,1.00,5,211,2,1,241
ge-63,true,1.00,6,222,5,1,333
ge-64,true,1.00,7,250,4,1,270
ge-65,true,1.00,4,237,2,1,218
ge-66,true,1.00,5,228,3,1,317
ge-67,true,1.00,4,228,2,1,187
ge-68,true,1.00,3,214,1,1,125
ge-69,true,1.00,3,211,2,1,109
ge-70,true,1.00,4,221,2,1,208
ge-71,true,1.00,5,240,3,1,298
ge-72,true,1.00,5,256,3,1,269
ge-73,true,1.00,3,210,2,1,153
ge-74,true,1.00,4,223,4,1,238
ge-75,true,1.00,4,235,3,1,191
ge-76,true,1.00,4,220,2,1,193
ge-77,true,1.00,6,246,3,1,246
ge-78,true,1.00,8,254,5,1,416
ge-79,true,1.00,3,211,1,1,145
ge-80,true,1.00,5,221,3,1,238
ge-81,true,1.00,4,222,2,1,157
ge-82,true,1.00,5,245,3,1,273
ge-83,true,1.00,5,269,3,1,321
ge-84,true,1.00,4,205,2,1,188
ge-85,true,1.00,2,199,1,1,109
ge-86,true,1.00,3,216,2,1,262
ge-87,true,1.00,3,237,2,1,197
ge-88,true,1.00,4,241,3,1,236
ge-89,true,1.00,9,267,7,1,489
ge-90,true,1.00,3,199,1,1,78
ge-91,true,1.00,3,199,2,1,93
ge-92,true,1.00,3,199,2,1,79
ge-93,true,1.00,4,216,2,1,142
ge-94,true,1.00,4,211,2,1,212
ge-95,true,1.00,6,258,4,1,368
ge-96,true,1.00,4,246,2,1,213
ge-97,true,1.00,4,217,2,1,129
ge-98,true,1.00,2,199,1,1,72
ge-99,true,1.00,2,199,1,1,79
ge-100,true,1.00,3,199,1,1,86
