level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
hopper-1,true,1.00,6,351,3,1,217
hopper-2,true,1.00,4,327,3,1,172
hopper-3,true,1.00,629,323,628,19,72434
hopper-4,true,1.00,2475,359,2473,75,307512
hopper-5,true,1.00,5,309,4,1,185
hopper-6,true,1.00,4,309,3,1,179
hopper-7,true,1.00,7524,322,7523,228,854816
hopper-8,true,1.00,3794,352,3793,115,434908
hopper-9,true,1.00,7,344,5,1,446
hopper-10,true,1.00,5,303,2,1,169
hopper-11,true,1.00,5,345,2,1,184
hopper-12,true,1.00,5,330,3,1,195
hopper-13,true,1.00,34,347,31,1,3768
hopper-14,true,1.00,4,297,2,1,183
hopper-15,true,1.00,4,313,3,1,157
hopper-16,true,1.00,5116,343,5114,155,599107
hopper-17,true,1.00,5,303,4,1,187
hopper-18,true,1.00,5,333,3,1,186
hopper-19,true,1.00,6,348,5,1,179
hopper-20,true,1.00,5,323,2,1,148
hopper-21,true,1.00,1124,342,1122,34,130567
hopper-22,true,1.00,3302,384,3299,100,380373
hopper-23,true,1.00,5,297,3,1,172
hopper-24,true,1.00,5,321,2,1,209
hopper-25,true,1.00,4,321,3,1,166
hopper-26,true,1.00,4,297,3,1,130
hopper-27,true,1.00,5,321,3,1,188
hopper-28,true,1.00,2609,366,2607,79,300302
hopper-29,true,1.00,3003,344,3000,91,349500
hopper-30,true,1.00,5,315,2,1,162
hopper-31,true,1.00,7358,351,7357,223,836635
hopper-32,true,1.00,5,297,2,1,142
hopper-33,false,0.55,5685,192,5685,192,642332
hopper-34,true,1.00,68,347,66,2,7555
hopper-35,true,1.00,5,339,2,1,218
hopper-36,true,1.00,4,303,2,1,171
hopper-37,true,1.00,4951,390,4949,150,554965
hopper-38,true,1.00,38,303,37,2,4300
hopper-39,true,1.00,298,314,296,9,33861
hopper-40,true,1.00,5,327,2,1,184
hopper-41,true,1.00,5,297,3,1,147
hopper-42,true,1.00,5,327,2,1,141
hopper-43,true,1.00,4683,398,4681,142,540806
hopper-44,true,1.00,5,311,3,1,182
hopper-45,true,1.00,4653,403,4651,142,536271
hopper-46,true,1.00,6466,368,6465,196,777784
hopper-47,true,1.00,5,309,2,1,147
hopper-48,true,1.00,5,321,3,1,166
hopper-49,true,1.00,5,341,4,1,330
hopper-50,true,1.00,101,329,98,3,12385
hopper-51,true,1.00,3235,337,3234,98,394188
hopper-52,true,1.00,4,297,2,1,146
hopper-53,true,1.00,6897,403,6895,209,794497
hopper-54,true,1.00,5,309,3,1,166
hopper-55,true,1.00,5,353,3,1,163
hopper-56,true,1.00,4,297,2,1,145
hopper-57,true,1.00,5,336,2,1,184
hopper-58,true,1.00,68,323,66,2,7960
hopper-59,true,1.00,4,306,3,1,156
hopper-60,true,1.00,5,324,3,1,222
hopper-61,true,1.00,34,336,31,1,3801
hopper-62,true,1.00,6,335,3,1,224
hopper-63,true,1.00,1058,314,1056,32,118905
hopper-64,true,1.00,5,303,2,1,133
hopper-65,true,1.00,5,320,3,1,191
hopper-66,true,1.00,200,318,198,6,22510
hopper-67,true,1.00,5,314,2,1,160
hopper-68,true,1.00,6,320,4,1,188
hopper-69,true,1.00,7490,329,7490,227,886554
hopper-70,true,1.00,5,338,5,1,187
hopper-71,true,1.00,5,321,2,1,203
hopper-72,true,1.00,5,320,2,1,171
hopper-73,true,1.00,4,317,4,1,170
hopper-74,true,1.00,4,303,2,1,182
hopper-75,true,1.00,4,303,2,1,150
hopper-76,true,1.00,31,334,30,1,3536
hopper-77,true,1.00,5,373,2,1,209
hopper-78,true,1.00,5,324,3,1,155
hopper-79,true,1.00,5,329,2,1,171
hopper-80,true,1.00,4,297,2,1,147
hopper-81,true,1.00,3398,367,3397,103,391046
hopper-82,true,1.00,71,313,68,3,8230
hopper-83,true,1.00,6,342,4,1,209
hopper-84,true,1.00,5,315,2,1,188
hopper-85,true,1.00,7,345,4,1,431
hopper-86,true,1.00,5,309,2,1,170
hopper-87,true,1.00,5,315,3,1,173
hopper-88,true,1.00,5,317,2,1,184
hopper-89,true,1.00,5,349,3,1,209
hopper-90,true,1.00,5,339,4,1,199
hopper-91,true,1.00,4,318,2,1,156
hopper-92,true,1.00,5,333,2,1,192
hopper-93,true,1.00,4,309,2,1,185
hopper-94,true,1.00,33,324,30,1,3757
hopper-95,true,1.00,4,324,2,1,171
hopper-96,true,1.00,5,297,2,1,268
hopper-97,true,1.00,5,329,2,1,173
hopper-98,true,1.00,4,309,2,1,188
hopper-99,true,1.00,4,318,1,1,164
hopper-100,true,1.00,5,332,3,1,202
