level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notch-1,true,1.00,4,270,2,1,162
notch-2,true,1.00,6,314,3,1,211
notch-3,true,1.00,5,259,3,1,204
notch-4,true,1.00,5,239,2,1,178
notch-5,true,1.00,4,252,2,1,134
notch-6,true,1.00,5,261,4,1,218
notch-7,true,1.00,3,265,1,1,163
notch-8,true,1.00,5,309,3,1,270
notch-9,true,1.00,4,257,2,1,176
notch-10,true,1.00,5,293,2,1,208
notch-11,true,1.00,4,268,1,1,172
notch-12,true,1.00,4,260,1,1,158
notch-13,true,1.00,5,318,2,1,190
notch-14,true,1.00,4,267,2,1,164
notch-15,true,1.00,6,279,3,1,200
notch-16,true,1.00,5,282,2,1,174
notch-17,true,1.00,5,274,3,1,185
notch-18,true,1.00,6,345,4,1,308
notch-19,true,1.00,4,265,2,1,163
notch-20,true,1.00,4,293,2,1,220
notch-21,true,1.00,4,291,2,1,175
notch-22,true,1.00,3,241,3,1,147
notch-23,true,1.00,4,274,2,1,228
notch-24,true,1.00,5,283,2,1,157
notch-25,true,1.00,5,298,3,1,232
notch-26,true,1.00,4,249,2,1,187
notch-27,true,1.00,5,302,3,1,217
notch-28,true,1.00,6,289,3,1,238
notch-29,true,1.00,4,300,2,1,203
notch-30,true,1.00,5,272,4,1,220
notch-31,true,1.00,3,233,1,1,127
notch-32,true,1.00,4,267,3,1,200
notch-33,true,1.00,4,239,2,1,170
notch-34,true,1.00,4,271,1,1,154
notch-35,true,1.00,5,264,2,1,198
notch-36,true,1.00,5,297,3,1,199
notch-37,true,1.00,6,290,3,1,283
notch-38,true,1.00,6,316,3,1,224
notch-39,true,1.00,4,256,2,1,194
notch-40,true,1.00,5,289,3,1,210
notch-41,true,1.00,4,279,2,1,204
notch-42,true,1.00,4,296,2,1,201
notch-43,true,1.00,4,269,2,1,191
notch-44,true,1.00,4,249,3,1,187
notch-45,true,1.00,4,271,1,1,160
notch-46,true,1.00,5,282,3,1,181
notch-47,true,1.00,5,277,2,1,191
notch-48,true,1.00,5,276,2,1,205
notch-49,true,1.00,5,302,3,1,233
notch-50,true,1.00,5,298,4,1,289
notch-51,true,1.00,4,266,3,1,199
notch-52,true,1.00,5,296,2,1,178
notch-53,true,1.00,6,294,3,1,206
notch-54,true,1.00,6,313,3,1,209
notch-55,true,1.00,6,322,3,1,224
notch-56,true,1.00,4,265,4,1,204
notch-57,true,1.00,4,285,2,1,170
notch-58,true,1.00,6,321,4,1,347
notch-59,true,1.00,5,268,3,1,205
notch-60,true,1.00,6,298,3,1,224
notch-61,true,1.00,4,243,4,1,149
notch-62,true,1.00,6,287,5,1,349
notch-63,true,1.00,5,282,3,1,217
notch-64,true,1.00,4,259,2,1,167
notch-65,true,1.00,6,307,3,1,284
notch-66,true,1.00,6,302,3,1,213
notch-67,true,1.00,5,255,4,1,183
notch-68,true,1.00,4,283,1,1,152
notch-69,true,1.00,5,301,2,1,289
notch-70,true,1.00,4,292,2,1,219
notch-71,true,1.00,5,269,2,1,227
notch-72,true,1.00,5,276,3,1,171
notch-73,true,1.00,6,283,3,1,261
notch-74,true,1.00,5,251,3,1,137
notch-75,true,1.00,4,289,2,1,199
notch-76,true,1.00,5,299,2,1,217
notch-77,true,1.00,4,283,3,1,208
notch-78,true,1.00,5,265,4,1,171
notch-79,true,1.00,6,309,3,1,229
notch-80,true,1.00,5,252,2,1,132
notch-81,true,1.00,4,255,2,1,184
notch-82,true,1.00,4,299,3,1,255
notch-83,true,1.00,4,287,1,1,198
notch-84,true,1.00,3,252,1,1,136
notch-85,true,1.00,4,293,1,1,193
notch-86,true,1.00,5,273,2,1,181
notch-87,true,1.00,5,278,2,1,194
notch-88,true,1.00,5,313,3,1,272
notch-89,true,1.00,5,283,2,1,239
notch-90,true,1.00,3,259,2,1,179
notch-91,true,1.00,4,291,1,1,189
notch-92,true,1.00,5,279,2,1,212
notch-93,true,1.00,5,278,2,1,208
notch-94,true,1.00,5,289,3,1,209
notch-95,true,1.00,4,266,1,1,162
notch-96,true,1.00,4,270,1,1,160
notch-97,true,1.00,4,311,3,1,208
notch-98,true,1.00,4,292,3,1,206
notch-99,true,1.00,6,295,3,1,222
notch-100,true,1.00,6,271,5,1,242
