level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParam-1,true,1.00,9,336,6,1,730
notchParam-2,true,1.00,8,317,5,1,420
notchParam-3,true,1.00,6,315,3,1,188
notchParam-4,true,1.00,6,346,3,1,216
notchParam-5,true,1.00,5,318,3,1,153
notchParam-6,true,1.00,4,312,2,1,174
notchParam-7,true,1.00,7,332,5,1,562
notchParam-8,true,1.00,5,332,2,1,217
notchParam-9,true,1.00,5,340,3,1,286
notchParam-10,true,1.00,5,315,2,1,251
notchParam-11,true,1.00,5,306,2,1,144
notchParam-12,true,1.00,6,321,3,1,275
notchParam-13,true,1.00,6,312,3,1,146
notchParam-14,true,1.00,5,300,3,1,147
notchParam-15,true,1.00,6,312,4,1,355
notchParam-16,true,1.00,5,315,2,1,180
notchParam-17,true,1.00,7,312,4,1,559
notchParam-18,true,1.00,5,352,2,1,220
notchParam-19,true,1.00,6,315,3,1,136
notchParam-20,true,1.00,5,312,3,1,135
notchParam-21,true,1.00,5,312,2,1,134
notchParam-22,true,1.00,5,324,2,1,184
notchParam-23,true,1.00,7,379,4,1,318
notchParam-24,true,1.00,5,320,2,1,248
notchParam-25,true,1.00,5,321,3,1,211
notchParam-26,true,1.00,7,348,3,1,391
notchParam-27,true,1.00,6,312,3,1,144
notchParam-28,true,1.00,6,335,3,1,238
notchParam-29,true,1.00,6,333,3,1,188
notchParam-30,true,1.00,5,318,3,1,152
notchParam-31,true,1.00,5,315,3,1,311
notchParam-32,true,1.00,7,322,6,1,569
notchParam-33,true,1.00,5,318,2,1,138
notchParam-34,true,1.00,9,323,7,1,630
notchParam-35,true,1.00,13,330,11,1,1026
notchParam-36,true,1.00,5,306,2,1,288
notchParam-37,true,1.00,4,318,2,1,123
notchParam-38,true,1.00,4,294,1,1,127
notchParam-39,true,1.00,6,300,3,1,204
notchParam-40,true,1.00,6,330,3,1,199
notchParam-41,true,1.00,6,316,3,1,164
notchParam-42,true,1.00,5,312,2,1,124
notchParam-43,true,1.00,5,310,3,1,220
notchParam-44,true,1.00,5,318,4,1,250
notchParam-45,true,1.00,6,318,3,1,324
notchParam-46,true,1.00,6,318,2,1,277
notchParam-47,true,1.00,5,309,2,1,124
notchParam-48,true,1.00,7,335,3,1,207
notchParam-49,true,1.00,5,321,2,1,154
notchParam-50,true,1.00,4,309,2,1,122
notchParam-51,true,1.00,4,294,2,1,132
notchParam-52,true,1.00,7,318,4,1,422
notchParam-53,true,1.00,8,324,6,1,508
notchParam-54,true,1.00,6,315,3,1,303
notchParam-55,true,1.00,5,325,2,1,170
notchParam-56,true,1.00,4,300,2,1,145
notchParam-57,true,1.00,7,330,5,1,371
notchParam-58,true,1.00,5,315,3,1,251
notchParam-59,true,1.00,7,359,5,1,345
notchParam-60,true,1.00,6,327,2,1,201
notchParam-61,true,1.00,8,349,4,1,391
notchParam-62,true,1.00,4,300,2,1,147
notchParam-63,true,1.00,6,333,6,1,214
notchParam-64,true,1.00,4,321,2,1,165
notchParam-65,true,1.00,6,320,3,1,194
notchParam-66,true,1.00,6,334,3,1,192
notchParam-67,true,1.00,7,323,4,1,348
notchParam-68,true,1.00,9,318,6,1,718
notchParam-69,true,1.00,5,326,3,1,254
notchParam-70,true,1.00,7,318,4,1,426
notchParam-71,true,1.00,6,330,2,1,178
notchParam-72,true,1.00,6,316,3,1,217
notchParam-73,true,1.00,5,328,3,1,263
notchParam-74,true,1.00,4,329,2,1,220
notchParam-75,true,1.00,5,341,2,1,201
notchParam-76,true,1.00,5,317,2,1,225
notchParam-77,true,1.00,5,310,2,1,201
notchParam-78,true,1.00,6,321,3,1,271
notchParam-79,true,1.00,5,308,4,1,193
notchParam-80,true,1.00,5,312,3,1,178
notchParam-81,true,1.00,5,343,3,1,233
notchParam-82,true,1.00,5,312,2,1,154
notchParam-83,true,1.00,5,300,2,1,129
notchParam-84,true,1.00,8,334,4,1,361
notchParam-85,true,1.00,9,342,8,1,728
notchParam-86,true,1.00,5,318,2,1,299
notchParam-87,true,1.00,4,294,2,1,123
notchParam-88,true,1.00,6,303,2,1,118
notchParam-89,true,1.00,5,300,2,1,152
notchParam-90,true,1.00,6,318,3,1,150
notchParam-91,true,1.00,4,312,3,1,198
notchParam-92,true,1.00,5,324,2,1,298
notchParam-93,true,1.00,5,326,2,1,251
notchParam-94,true,1.00,7,344,5,1,275
notchParam-95,true,1.00,9,380,5,1,535
notchParam-96,true,1.00,4,320,2,1,171
notchParam-97,true,1.00,4,314,1,1,173
notchParam-98,true,1.00,4,300,3,1,162
notchParam-99,true,1.00,6,321,3,1,313
notchParam-100,true,1.00,8,318,6,1,509
