level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParamRand-1,true,1.00,6,306,3,1,258
notchParamRand-2,true,1.00,5,300,3,1,110
notchParamRand-3,true,1.00,6,318,3,1,348
notchParamRand-4,true,1.00,6,330,3,1,316
notchParamRand-5,true,1.00,5,294,2,1,113
notchParamRand-6,true,1.00,6,338,3,1,174
notchParamRand-7,true,1.00,4,310,1,1,120
notchParamRand-8,true,1.00,4,323,3,1,135
notchParamRand-9,true,1.00,4,322,2,1,181
notchParamRand-10,true,1.00,5,330,2,1,196
notchParamRand-11,true,1.00,4,315,3,1,119
notchParamRand-12,true,1.00,4,312,1,1,187
notchParamRand-13,true,1.00,9,318,3,1,303
notchParamRand-14,true,1.00,6,324,4,1,265
notchParamRand-15,true,1.00,5,326,3,1,183
notchParamRand-16,true,1.00,6,315,3,1,140
notchParamRand-17,true,1.00,5,300,3,1,120
notchParamRand-18,true,1.00,7,360,4,1,478
notchParamRand-19,true,1.00,4,330,2,1,150
notchParamRand-20,true,1.00,7,357,3,1,433
notchParamRand-21,true,1.00,5,314,2,1,116
notchParamRand-22,true,1.00,6,312,4,1,224
notchParamRand-23,true,1.00,7,339,4,1,356
notchParamRand-24,true,1.00,5,327,2,1,167
notchParamRand-25,true,1.00,4,306,2,1,110
notchParamRand-26,true,1.00,5,349,2,1,190
notchParamRand-27,true,1.00,4,306,2,1,125
notchParamRand-28,true,1.00,6,318,2,1,196
notchParamRand-29,true,1.00,5,300,2,1,115
notchParamRand-30,true,1.00,8,350,4,1,442
notchParamRand-31,true,1.00,6,323,3,1,178
notchParamRand-32,true,1.00,5,294,2,1,113
notchParamRand-33,true,1.00,5,324,3,1,345
notchParamRand-34,true,1.00,4,312,1,1,147
notchParamRand-35,true,1.00,4,310,3,1,173
notchParamRand-36,true,1.00,5,294,2,1,110
notchParamRand-37,true,1.00,5,314,3,1,164
notchParamRand-38,true,1.00,7,344,4,1,347
notchParamRand-39,true,1.00,7,348,5,1,342
notchParamRand-40,true,1.00,9,375,6,1,751
notchParamRand-41,true,1.00,4,294,1,1,99
notchParamRand-42,true,1.00,4,312,2,1,195
notchParamRand-43,true,1.00,4,294,2,1,116
notchParamRand-44,true,1.00,5,318,3,1,156
notchParamRand-45,true,1.00,5,312,2,1,158
notchParamRand-46,true,1.00,5,315,2,1,229
notchParamRand-47,true,1.00,6,341,2,1,205
notchParamRand-48,true,1.00,5,330,3,1,282
notchParamRand-49,true,1.00,4,312,2,1,190
notchParamRand-50,true,1.00,5,347,4,1,262
notchParamRand-51,true,1.00,5,311,3,1,131
notchParamRand-52,true,1.00,6,306,3,1,255
notchParamRand-53,true,1.00,5,312,3,1,175
notchParamRand-54,true,1.00,7,348,4,1,321
notchParamRand-55,true,1.00,7,339,4,1,269
notchParamRand-56,true,1.00,6,332,4,1,450
notchParamRand-57,true,1.00,4,306,1,1,206
notchParamRand-58,true,1.00,6,338,5,1,222
notchParamRand-59,true,1.00,5,326,2,1,187
notchParamRand-60,true,1.00,6,303,3,1,190
notchParamRand-61,true,1.00,5,312,2,1,143
notchParamRand-62,true,1.00,5,334,2,1,220
notchParamRand-63,true,1.00,5,312,4,1,353
notchParamRand-64,true,1.00,4,306,2,1,163
notchParamRand-65,true,1.00,8,356,5,1,567
notchParamRand-66,true,1.00,8,328,5,1,292
notchParamRand-67,true,1.00,5,309,2,1,137
notchParamRand-68,true,1.00,6,347,4,1,305
notchParamRand-69,true,1.00,4,294,1,1,126
notchParamRand-70,true,1.00,5,327,3,1,252
notchParamRand-71,true,1.00,6,309,2,1,187
notchParamRand-72,true,1.00,5,317,2,1,128
notchParamRand-73,true,1.00,6,329,3,1,133
notchParamRand-74,true,1.00,5,302,2,1,109
notchParamRand-75,true,1.00,4,294,2,1,105
notchParamRand-76,true,1.00,4,306,3,1,175
notchParamRand-77,true,1.00,5,367,2,1,279
notchParamRand-78,true,1.00,5,294,2,1,205
notchParamRand-79,true,1.00,5,327,2,1,172
notchParamRand-80,true,1.00,5,324,2,1,130
notchParamRand-81,true,1.00,6,306,3,1,140
notchParamRand-82,true,1.00,4,333,2,1,187
notchParamRand-83,true,1.00,4,324,2,1,203
notchParamRand-84,true,1.00,4,306,2,1,173
notchParamRand-85,true,1.00,4,294,2,1,99
notchParamRand-86,true,1.00,6,350,4,1,216
notchParamRand-87,true,1.00,9,354,6,1,520
notchParamRand-88,true,1.00,5,319,3,1,192
notchParamRand-89,true,1.00,5,316,2,1,154
notchParamRand-90,true,1.00,5,334,3,1,264
notchParamRand-91,true,1.00,5,305,2,1,104
notchParamRand-92,true,1.00,6,361,3,1,235
notchParamRand-93,true,1.00,5,310,2,1,147
notchParamRand-94,true,1.00,6,348,4,1,321
notchParamRand-95,true,1.00,4,306,1,1,195
notchParamRand-96,true,1.00,5,336,2,1,198
notchParamRand-97,true,1.00,6,345,2,1,225
notchParamRand-98,true,1.00,5,306,2,1,118
notchParamRand-99,true,1.00,5,294,4,1,143
notchParamRand-100,true,1.00,7,336,5,1,499
