level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ore-1,true,1.00,15,443,10,1,559
ore-2,false,0.75,8950,289,8950,289,665063
ore-3,true,1.00,11,488,7,1,428
ore-4,true,1.00,25,470,20,1,926
ore-5,true,1.00,11,435,9,1,497
ore-6,true,1.00,10,490,6,1,379
ore-7,true,1.00,12,414,7,1,327
ore-8,true,1.00,149,419,145,5,10054
ore-9,true,1.00,11,429,8,1,438
ore-10,true,1.00,27,463,22,1,1316
ore-11,true,1.00,13,480,9,1,586
ore-12,true,1.00,1587,448,1585,49,107837
ore-13,true,1.00,12,465,7,1,473
ore-14,true,1.00,17,431,12,1,563
ore-15,true,1.00,10,399,8,1,327
ore-16,true,1.00,102,460,98,3,6929
ore-17,true,1.00,12,457,7,1,468
ore-18,true,1.00,33,494,30,1,1786
ore-19,true,1.00,10,446,6,1,444
ore-20,true,1.00,21,474,16,1,829
ore-21,true,1.00,13,470,8,1,383
ore-22,true,1.00,34,448,30,1,2089
ore-23,true,1.00,30,446,27,1,1867
ore-24,true,1.00,19,467,14,1,706
ore-25,true,1.00,15,446,10,1,552
ore-26,true,1.00,28,449,23,1,1447
ore-27,true,1.00,101,364,98,3,6486
ore-28,true,1.00,15,426,10,1,631
ore-29,true,1.00,331,427,326,10,22513
ore-30,true,1.00,9,431,6,1,256
ore-31,true,1.00,16,465,12,1,563
ore-32,true,1.00,25,436,22,1,1525
ore-33,true,1.00,12,443,8,1,396
ore-34,true,1.00,14,416,10,1,435
ore-35,true,1.00,10,401,8,1,380
ore-36,true,1.00,9,405,7,1,369
ore-37,false,0.40,5222,177,5222,177,370651
ore-38,true,1.00,11,449,6,1,409
ore-39,true,1.00,22,474,17,1,941
ore-40,true,1.00,15,434,13,1,832
ore-41,true,1.00,12,435,7,1,447
ore-42,true,1.00,24,463,21,1,1315
ore-43,true,1.00,134,444,130,4,9648
ore-44,true,1.00,18,479,13,1,917
ore-45,true,1.00,8875,448,8873,270,525648
ore-46,false,0.19,1337,62,1337,62,101481
ore-47,true,1.00,9171,495,9170,280,667535
ore-48,true,1.00,11,383,7,1,418
ore-49,true,1.00,12,412,9,1,362
ore-50,true,1.00,13,434,9,1,516
ore-51,true,1.00,18,495,14,1,1092
ore-52,true,1.00,23,458,20,1,1062
ore-53,true,1.00,14,429,8,1,566
ore-54,true,1.00,8085,435,8083,246,562677
ore-55,true,1.00,11,391,7,1,532
ore-56,true,1.00,17,408,13,1,500
ore-57,true,1.00,10,433,8,1,328
ore-58,true,1.00,13,458,9,1,644
ore-59,true,1.00,13,461,8,1,327
ore-60,true,1.00,16,372,13,1,871
ore-61,true,1.00,14,415,10,1,569
ore-62,true,1.00,32,388,30,1,1973
ore-63,true,1.00,13,420,10,1,763
ore-64,true,1.00,16,455,13,1,571
ore-65,true,1.00,11,431,8,1,562
ore-66,true,1.00,21,465,15,1,1032
ore-67,true,1.00,10,396,7,1,327
ore-68,true,1.00,11,471,8,1,462
ore-69,true,1.00,45,401,41,2,2668
ore-70,true,1.00,9866,474,9864,302,714280
ore-71,true,1.00,16,443,13,1,734
ore-72,true,1.00,15,433,12,1,545
ore-73,true,1.00,11,474,6,1,422
ore-74,true,1.00,95,441,92,3,6390
ore-75,true,1.00,15,495,9,1,612
ore-76,true,1.00,11,388,7,1,342
ore-77,true,1.00,12,434,9,1,617
ore-78,true,1.00,11,437,7,1,450
ore-79,true,1.00,11,432,7,1,305
ore-80,true,1.00,10,379,7,1,394
ore-81,true,1.00,11,443,8,1,528
ore-82,true,1.00,10,463,6,1,416
ore-83,true,1.00,13,462,9,1,380
ore-84,true,1.00,1237,457,1233,38,83765
ore-85,true,1.00,14,437,10,1,525
ore-86,true,1.00,5395,451,5392,164,419968
ore-87,true,1.00,10,424,6,1,387
ore-88,true,1.00,21,425,17,1,1097
ore-89,true,1.00,5183,414,5182,157,340791
ore-90,true,1.00,13,452,9,1,553
ore-91,true,1.00,14,410,11,1,518
ore-92,true,1.00,14,429,11,1,758
ore-93,true,1.00,2798,400,2796,97,188992
ore-94,true,1.00,15,459,9,1,688
ore-95,true,1.00,21,470,16,1,972
ore-96,true,1.00,17,429,14,1,947
ore-97,true,1.00,134,486,129,4,9346
ore-98,true,1.00,14,435,9,1,606
ore-99,true,1.00,16,450,12,1,654
ore-100,true,1.00,10,428,6,1,401
