level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternCount-1,true,1.00,13509,489,13508,423,995872
patternCount-2,true,1.00,9,423,5,1,279
patternCount-3,true,1.00,15,473,12,1,507
patternCount-4,true,1.00,13,448,8,1,344
patternCount-5,true,1.00,9,427,6,1,251
patternCount-6,true,1.00,9,429,6,1,325
patternCount-7,true,1.00,11,455,8,1,410
patternCount-8,true,1.00,14,454,9,1,447
patternCount-9,true,1.00,13,474,9,1,320
patternCount-10,true,1.00,10,429,6,1,271
patternCount-11,true,1.00,12,514,7,1,457
patternCount-12,true,1.00,13,443,8,1,557
patternCount-13,true,1.00,7,447,3,1,307
patternCount-14,true,1.00,10,397,8,1,420
patternCount-15,true,1.00,8,429,5,1,270
patternCount-16,true,1.00,10,453,6,1,361
patternCount-17,true,1.00,10,460,8,1,350
patternCount-18,true,1.00,9,418,5,1,273
patternCount-19,true,1.00,11,396,7,1,302
patternCount-20,true,1.00,13,434,8,1,346
patternCount-21,true,1.00,9,420,6,1,243
patternCount-22,true,1.00,12,524,7,1,369
patternCount-23,true,1.00,35,504,30,1,1937
patternCount-24,true,1.00,13,478,10,1,664
patternCount-25,true,1.00,8,426,6,1,234
patternCount-26,true,1.00,11,412,6,1,323
patternCount-27,true,1.00,11,417,7,1,296
patternCount-28,true,1.00,13,476,10,1,402
patternCount-29,true,1.00,9,408,6,1,307
patternCount-30,true,1.00,10,488,5,1,346
patternCount-31,true,1.00,11,404,6,1,354
patternCount-32,true,1.00,15,459,10,1,461
patternCount-33,true,1.00,14,483,10,1,604
patternCount-34,true,1.00,12,455,8,1,518
patternCount-35,true,1.00,13,480,9,1,381
patternCount-36,true,1.00,10,374,6,1,214
patternCount-37,true,1.00,8,368,5,1,202
patternCount-38,true,1.00,12,482,9,1,501
patternCount-39,true,1.00,9,428,5,1,273
patternCount-40,true,1.00,20,502,14,1,678
patternCount-41,true,1.00,11,469,6,1,320
patternCount-42,true,1.00,9,443,5,1,289
patternCount-43,true,1.00,9,464,8,1,295
patternCount-44,true,1.00,10,436,4,1,228
patternCount-45,true,1.00,27,435,25,1,1115
patternCount-46,true,1.00,9,406,6,1,312
patternCount-47,true,1.00,12,445,6,1,413
patternCount-48,true,1.00,13,471,8,1,363
patternCount-49,true,1.00,10,437,6,1,287
patternCount-50,true,1.00,10,467,7,1,371
patternCount-51,true,1.00,14,445,9,1,558
patternCount-52,true,1.00,11,418,7,1,281
patternCount-53,true,1.00,13,453,10,1,396
patternCount-54,true,1.00,11,456,8,1,450
patternCount-55,true,1.00,18,444,14,1,1034
patternCount-56,true,1.00,11,426,8,1,308
patternCount-57,true,1.00,9,440,6,1,277
patternCount-58,false,0.86,11660,385,11660,385,763896
patternCount-59,true,1.00,11,484,7,1,357
patternCount-60,true,1.00,12,424,8,1,306
patternCount-61,true,1.00,10,422,6,1,332
patternCount-62,true,1.00,9,450,6,1,308
patternCount-63,true,1.00,8,420,6,1,253
patternCount-64,true,1.00,9,396,4,1,251
patternCount-65,true,1.00,11,413,6,1,286
patternCount-66,true,1.00,11,487,6,1,346
patternCount-67,true,1.00,11,452,6,1,417
patternCount-68,true,1.00,14,403,9,1,400
patternCount-69,true,1.00,10,475,7,1,363
patternCount-70,true,1.00,10,442,6,1,318
patternCount-71,true,1.00,12,478,8,1,358
patternCount-72,true,1.00,21,433,19,1,1063
patternCount-73,true,1.00,13,488,7,1,465
patternCount-74,true,1.00,17,466,14,1,580
patternCount-75,true,1.00,10,416,6,1,340
patternCount-76,true,1.00,13,439,9,1,375
patternCount-77,true,1.00,11,431,7,1,269
patternCount-78,true,1.00,11,489,7,1,359
patternCount-79,true,1.00,25,495,21,1,1131
patternCount-80,true,1.00,11,420,8,1,481
patternCount-81,true,1.00,12,464,9,1,326
patternCount-82,true,1.00,12,471,10,1,330
patternCount-83,true,1.00,11,439,7,1,415
patternCount-84,true,1.00,10,440,8,1,391
patternCount-85,true,1.00,12,455,8,1,357
patternCount-86,true,1.00,10,410,8,1,280
patternCount-87,true,1.00,11,468,7,1,491
patternCount-88,true,1.00,13,489,10,1,463
patternCount-89,true,1.00,10,410,6,1,268
patternCount-90,true,1.00,8,420,4,1,280
patternCount-91,true,1.00,9,396,6,1,397
patternCount-92,true,1.00,13,418,7,1,257
patternCount-93,true,1.00,12,479,8,1,516
patternCount-94,true,1.00,9,426,6,1,274
patternCount-95,true,1.00,12,499,6,1,403
patternCount-96,true,1.00,12,390,8,1,351
patternCount-97,false,0.88,13538,432,13536,432,988637
patternCount-98,true,1.00,9,447,6,1,287
patternCount-99,true,1.00,12,454,7,1,315
patternCount-100,true,1.00,9,397,6,1,286
