level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternOccur-1,true,1.00,13,468,8,1,319
patternOccur-2,true,1.00,19,440,15,1,654
patternOccur-3,true,1.00,11,492,7,1,375
patternOccur-4,true,1.00,10,462,7,1,378
patternOccur-5,true,1.00,12,485,7,1,336
patternOccur-6,true,1.00,13,444,9,1,366
patternOccur-7,true,1.00,15,504,11,1,506
patternOccur-8,true,1.00,11,534,7,1,403
patternOccur-9,true,1.00,11,490,5,1,334
patternOccur-10,true,1.00,14,473,9,1,381
patternOccur-11,true,1.00,23,526,19,1,1183
patternOccur-12,true,1.00,12,496,8,1,377
patternOccur-13,true,1.00,17,482,11,1,512
patternOccur-14,true,1.00,16,477,11,1,536
patternOccur-15,true,1.00,9,405,6,1,354
patternOccur-16,true,1.00,15,503,10,1,631
patternOccur-17,true,1.00,13,453,9,1,399
patternOccur-18,true,1.00,13,495,9,1,382
patternOccur-19,false,0.90,13508,432,13508,432,904540
patternOccur-20,true,1.00,11,397,7,1,382
patternOccur-21,true,1.00,14,521,9,1,330
patternOccur-22,true,1.00,14193,538,14192,432,989336
patternOccur-23,true,1.00,10,463,8,1,317
patternOccur-24,true,1.00,18,499,13,1,539
patternOccur-25,true,1.00,12,496,8,1,391
patternOccur-26,true,1.00,8,466,5,1,279
patternOccur-27,true,1.00,17,518,12,1,658
patternOccur-28,true,1.00,16,500,12,1,486
patternOccur-29,true,1.00,9,463,5,1,281
patternOccur-30,true,1.00,11,500,9,1,408
patternOccur-31,true,1.00,13,463,7,1,323
patternOccur-32,true,1.00,27,508,22,1,1241
patternOccur-33,true,1.00,11,478,8,1,382
patternOccur-34,true,1.00,13,489,9,1,306
patternOccur-35,true,1.00,14,483,9,1,346
patternOccur-36,true,1.00,11,495,7,1,470
patternOccur-37,true,1.00,13,520,8,1,527
patternOccur-38,true,1.00,11,437,8,1,332
patternOccur-39,true,1.00,20,453,17,1,987
patternOccur-40,true,1.00,11,504,7,1,333
patternOccur-41,true,1.00,14,520,8,1,395
patternOccur-42,false,0.95,15159,482,15159,482,1011591
patternOccur-43,true,1.00,10,449,7,1,316
patternOccur-44,true,1.00,13,496,10,1,325
patternOccur-45,true,1.00,14,487,9,1,340
patternOccur-46,true,1.00,11,492,8,1,371
patternOccur-47,true,1.00,11,471,8,1,360
patternOccur-48,true,1.00,10,472,6,1,304
patternOccur-49,true,1.00,16,469,13,1,479
patternOccur-50,true,1.00,12,481,7,1,421
patternOccur-51,true,1.00,13,506,8,1,356
patternOccur-52,true,1.00,18,548,13,1,641
patternOccur-53,true,1.00,11,452,7,1,436
patternOccur-54,true,1.00,13,509,8,1,409
patternOccur-55,true,1.00,13,466,8,1,318
patternOccur-56,true,1.00,11,500,6,1,312
patternOccur-57,true,1.00,13,504,8,1,349
patternOccur-58,true,1.00,18,502,13,1,650
patternOccur-59,true,1.00,10,489,8,1,358
patternOccur-60,true,1.00,12,493,9,1,412
patternOccur-61,true,1.00,9,447,4,1,255
patternOccur-62,true,1.00,14,491,9,1,380
patternOccur-63,true,1.00,13,517,10,1,532
patternOccur-64,true,1.00,14,572,8,1,447
patternOccur-65,true,1.00,19,530,14,1,652
patternOccur-66,true,1.00,15,518,10,1,547
patternOccur-67,true,1.00,13200,467,13199,400,988212
patternOccur-68,true,1.00,12,491,8,1,363
patternOccur-69,true,1.00,88,510,83,3,5616
patternOccur-70,true,1.00,5028,451,5025,153,328081
patternOccur-71,true,1.00,10,446,6,1,328
patternOccur-72,true,1.00,12178,520,12176,369,785762
patternOccur-73,true,1.00,13,518,8,1,445
patternOccur-74,true,1.00,23,521,17,1,820
patternOccur-75,true,1.00,11,501,8,1,422
patternOccur-76,true,1.00,13,491,8,1,415
patternOccur-77,true,1.00,15,468,10,1,424
patternOccur-78,true,1.00,10,453,7,1,312
patternOccur-79,true,1.00,14,494,11,1,409
patternOccur-80,true,1.00,14,571,11,1,378
patternOccur-81,true,1.00,16,493,11,1,606
patternOccur-82,true,1.00,14,513,10,1,450
patternOccur-83,true,1.00,67,438,64,2,4087
patternOccur-84,true,1.00,11,479,7,1,349
patternOccur-85,true,1.00,15,465,9,1,389
patternOccur-86,true,1.00,15,501,11,1,677
patternOccur-87,true,1.00,12,446,8,1,318
patternOccur-88,true,1.00,11,464,7,1,331
patternOccur-89,true,1.00,12,488,8,1,350
patternOccur-90,true,1.00,15,532,11,1,455
patternOccur-91,true,1.00,11,479,6,1,422
patternOccur-92,true,1.00,16,448,7,1,301
patternOccur-93,true,1.00,12,480,7,1,351
patternOccur-94,true,1.00,65,547,61,2,3649
patternOccur-95,true,1.00,13,475,8,1,416
patternOccur-96,true,1.00,17,520,13,1,577
patternOccur-97,true,1.00,11,453,7,1,422
patternOccur-98,false,0.95,14495,459,14495,459,896716
patternOccur-99,true,1.00,10,481,9,1,349
patternOccur-100,true,1.00,13,495,9,1,318
