level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternWeightCount-1,true,1.00,17,503,11,1,515
patternWeightCount-2,true,1.00,12,470,8,1,337
patternWeightCount-3,true,1.00,10,421,6,1,257
patternWeightCount-4,true,1.00,11,476,9,1,370
patternWeightCount-5,true,1.00,11,495,6,1,350
patternWeightCount-6,true,1.00,14,468,9,1,337
patternWeightCount-7,true,1.00,12,473,7,1,281
patternWeightCount-8,true,1.00,10,390,6,1,200
patternWeightCount-9,true,1.00,13,482,10,1,449
patternWeightCount-10,true,1.00,10,450,6,1,339
patternWeightCount-11,true,1.00,8,458,5,1,243
patternWeightCount-12,true,1.00,12,506,8,1,391
patternWeightCount-13,true,1.00,12,449,7,1,291
patternWeightCount-14,true,1.00,14,477,9,1,324
patternWeightCount-15,true,1.00,10,401,7,1,336
patternWeightCount-16,true,1.00,15,512,9,1,462
patternWeightCount-17,true,1.00,16,507,12,1,428
patternWeightCount-18,true,1.00,11,472,8,1,346
patternWeightCount-19,true,1.00,9,442,5,1,296
patternWeightCount-20,true,1.00,28,402,23,1,1153
patternWeightCount-21,true,1.00,14,522,10,1,522
patternWeightCount-22,true,1.00,15,541,10,1,511
patternWeightCount-23,true,1.00,13,449,10,1,380
patternWeightCount-24,true,1.00,10,405,6,1,264
patternWeightCount-25,true,1.00,11,509,6,1,382
patternWeightCount-26,true,1.00,16,497,10,1,475
patternWeightCount-27,true,1.00,16,485,12,1,480
patternWeightCount-28,true,1.00,10,488,7,1,342
patternWeightCount-29,true,1.00,14,430,9,1,424
patternWeightCount-30,true,1.00,18,495,12,1,577
patternWeightCount-31,true,1.00,23,424,18,1,1264
patternWeightCount-32,true,1.00,14,506,8,1,320
patternWeightCount-33,true,1.00,12,460,9,1,395
patternWeightCount-34,true,1.00,11,431,7,1,385
patternWeightCount-35,true,1.00,201,414,198,6,9948
patternWeightCount-36,true,1.00,12,490,8,1,431
patternWeightCount-37,true,1.00,12,464,7,1,277
patternWeightCount-38,true,1.00,26,474,22,1,1177
patternWeightCount-39,true,1.00,9,373,5,1,262
patternWeightCount-40,true,1.00,9,461,5,1,262
patternWeightCount-41,true,1.00,14,497,9,1,334
patternWeightCount-42,false,0.93,14003,443,14003,443,894965
patternWeightCount-43,true,1.00,11,459,7,1,337
patternWeightCount-44,true,1.00,14,539,8,1,362
patternWeightCount-45,true,1.00,13,504,9,1,413
patternWeightCount-46,true,1.00,11,511,8,1,415
patternWeightCount-47,true,1.00,11,472,6,1,351
patternWeightCount-48,true,1.00,12,420,8,1,299
patternWeightCount-49,true,1.00,11,448,7,1,252
patternWeightCount-50,true,1.00,9,436,5,1,247
patternWeightCount-51,true,1.00,10,457,7,1,358
patternWeightCount-52,true,1.00,15,521,11,1,415
patternWeightCount-53,true,1.00,17,500,12,1,647
patternWeightCount-54,true,1.00,14,502,9,1,478
patternWeightCount-55,true,1.00,13,447,8,1,331
patternWeightCount-56,true,1.00,15,511,13,1,521
patternWeightCount-57,true,1.00,11,421,6,1,305
patternWeightCount-58,true,1.00,13,475,7,1,345
patternWeightCount-59,true,1.00,10,451,7,1,281
patternWeightCount-60,true,1.00,16,513,12,1,648
patternWeightCount-61,true,1.00,12,416,7,1,326
patternWeightCount-62,true,1.00,16,538,13,1,595
patternWeightCount-63,true,1.00,12,482,7,1,332
patternWeightCount-64,true,1.00,12,422,7,1,314
patternWeightCount-65,true,1.00,10,480,6,1,287
patternWeightCount-66,true,1.00,12,469,6,1,373
patternWeightCount-67,true,1.00,25,437,22,1,966
patternWeightCount-68,true,1.00,7,405,3,1,200
patternWeightCount-69,true,1.00,17,510,13,1,441
patternWeightCount-70,true,1.00,11,494,7,1,361
patternWeightCount-71,true,1.00,10,428,8,1,328
patternWeightCount-72,true,1.00,30,508,25,1,1384
patternWeightCount-73,true,1.00,19,509,13,1,617
patternWeightCount-74,true,1.00,11,494,7,1,303
patternWeightCount-75,true,1.00,11,479,7,1,347
patternWeightCount-76,true,1.00,13,493,7,1,310
patternWeightCount-77,true,1.00,11,420,7,1,333
patternWeightCount-78,true,1.00,12,491,6,1,333
patternWeightCount-79,true,1.00,12,400,8,1,290
patternWeightCount-80,true,1.00,14,526,10,1,425
patternWeightCount-81,true,1.00,15,430,10,1,541
patternWeightCount-82,true,1.00,11,449,6,1,236
patternWeightCount-83,true,1.00,8,426,7,1,297
patternWeightCount-84,true,1.00,12,463,8,1,337
patternWeightCount-85,true,1.00,13,466,9,1,322
patternWeightCount-86,false,0.99,13472,430,13472,430,1002169
patternWeightCount-87,true,1.00,20,477,15,1,941
patternWeightCount-88,true,1.00,12,447,9,1,355
patternWeightCount-89,true,1.00,11,479,7,1,391
patternWeightCount-90,true,1.00,13,495,8,1,542
patternWeightCount-91,true,1.00,16,520,10,1,441
patternWeightCount-92,true,1.00,13,478,10,1,436
patternWeightCount-93,true,1.00,14,534,10,1,575
patternWeightCount-94,true,1.00,9,410,4,1,273
patternWeightCount-95,true,1.00,15,450,10,1,417
patternWeightCount-96,true,1.00,12,458,9,1,381
patternWeightCount-97,true,1.00,10,411,8,1,425
patternWeightCount-98,true,1.00,29,495,24,1,1540
patternWeightCount-99,true,1.00,15,506,12,1,596
patternWeightCount-100,true,1.00,9,421,6,1,287
