level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ge-1,true,1.00,19,242,18,2,1892
ge-2,true,1.00,7,231,5,2,378
ge-3,true,1.00,9,215,7,2,511
ge-4,true,1.00,10,240,8,2,1065
ge-5,true,1.00,4,199,2,2,273
ge-6,true,1.00,14,247,12,2,1385
ge-7,true,1.00,7,210,7,2,367
ge-8,true,1.00,4,211,2,2,242
ge-9,true,1.00,6,206,4,2,370
ge-10,true,1.00,4,199,2,2,175
ge-11,true,1.00,6,223,5,2,381
ge-12,true,1.00,4,199,2,2,176
ge-13,true,1.00,13,239,11,2,1485
ge-14,true,1.00,4,218,3,2,359
ge-15,true,1.00,6,215,5,2,572
ge-16,true,1.00,30,253,29,2,3171
ge-17,true,1.00,5,218,3,2,265
ge-18,true,1.00,20,255,18,2,1975
ge-19,true,1.00,4,227,2,2,366
ge-20,true,1.00,4,223,2,2,290
ge-21,true,1.00,3,199,1,2,133
ge-22,true,1.00,4,214,2,2,210
ge-23,true,1.00,9,207,7,2,971
ge-24,true,1.00,9,238,6,2,744
ge-25,true,1.00,6,207,5,2,554
ge-26,true,1.00,3,199,2,2,168
ge-27,true,1.00,3,211,1,2,192
ge-28,true,1.00,3,207,2,2,182
ge-29,true,1.00,7,209,5,2,664
ge-30,true,1.00,24,245,24,2,2731
ge-31,true,1.00,15,238,13,2,1979
ge-32,true,1.00,19,226,17,2,1613
ge-33,true,1.00,6,216,4,2,464
ge-34,true,1.00,4,207,2,2,256
ge-35,true,1.00,16,226,15,2,1816
ge-36,true,1.00,13,238,12,2,1418
ge-37,true,1.00,4,206,2,2,219
ge-38,true,1.00,9,226,8,2,1298
ge-39,true,1.00,12,215,9,2,1027
ge-40,true,1.00,3,199,2,2,167
ge-41,true,1.00,3,199,1,2,168
ge-42,true,1.00,11,227,9,42,1040
ge-43,false,0.10,1,43,1,43,42
ge-44,true,1.00,6,230,4,2,544
ge-45,true,1.00,10,227,8,2,1194
ge-46,true,1.00,8,231,5,2,501
ge-47,true,1.00,6,218,5,2,423
ge-48,true,1.00,7,231,7,2,544
ge-49,true,1.00,3,206,2,2,153
ge-50,true,1.00,6,219,5,2,618
ge-51,true,1.00,6,215,4,2,506
ge-52,true,1.00,17,243,17,2,1895
ge-53,true,1.00,4,219,2,2,249
ge-54,true,1.00,9,242,7,2,947
ge-55,true,1.00,18,230,16,2,1991
ge-56,true,1.00,6,216,4,2,520
ge-57,true,1.00,7,218,6,2,916
ge-58,true,1.00,21,270,19,2,2221
ge-59,true,1.00,5,202,4,2,312
ge-60,true,1.00,4,215,3,2,355
ge-61,true,1.00,3,199,3,2,213
ge-62,true,1.00,4,211,3,2,263
ge-63,true,1.00,4,207,3,2,390
ge-64,true,1.00,13,226,12,2,1311
ge-65,true,1.00,5,220,4,2,341
ge-66,true,1.00,18,226,17,2,2707
ge-67,true,1.00,5,218,4,2,492
ge-68,true,1.00,3,211,2,2,270
ge-69,true,1.00,3,211,1,2,199
ge-70,true,1.00,7,210,5,2,550
ge-71,true,1.00,14,239,12,2,1512
ge-72,true,1.00,19,237,18,2,2245
ge-73,true,1.00,4,199,2,2,278
ge-74,true,1.00,10,227,9,2,1267
ge-75,true,1.00,8,222,5,2,655
ge-76,true,1.00,6,221,3,2,420
ge-77,true,1.00,8,224,5,2,574
ge-78,true,1.00,14,242,14,2,1571
ge-79,true,1.00,5,210,4,2,539
ge-80,true,1.00,19,218,16,2,1529
ge-81,true,1.00,6,215,4,2,536
ge-82,true,1.00,20,233,14,2,1702
ge-83,true,1.00,14,239,13,2,1242
ge-84,true,1.00,4,209,2,2,257
ge-85,true,1.00,4,199,2,2,267
ge-86,true,1.00,8,218,6,2,863
ge-87,true,1.00,7,225,5,2,580
ge-88,true,1.00,15,221,15,2,1335
ge-89,true,1.00,18,273,15,2,2139
ge-90,true,1.00,4,199,2,2,167
ge-91,true,1.00,4,199,3,2,208
ge-92,true,1.00,4,203,3,2,190
ge-93,true,1.00,6,211,4,2,455
ge-94,true,1.00,6,207,4,2,552
ge-95,true,1.00,30,245,28,2,3394
ge-96,true,1.00,5,244,3,2,352
ge-97,true,1.00,11,218,9,2,1295
ge-98,true,1.00,3,199,1,2,112
ge-99,true,1.00,3,199,1,2,130
ge-100,true,1.00,3,199,1,2,118
