level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
hopper-1,true,1.00,6,329,3,2,456
hopper-2,true,1.00,5,301,3,2,309
hopper-3,true,1.00,57,309,54,3,8429
hopper-4,true,1.00,90,324,88,4,13827
hopper-5,true,1.00,5,304,3,2,373
hopper-6,true,1.00,6,309,3,2,439
hopper-7,true,1.00,59,321,58,3,8731
hopper-8,true,1.00,58,325,55,3,8500
hopper-9,true,1.00,9,308,8,2,869
hopper-10,true,1.00,6,325,3,2,453
hopper-11,true,1.00,5,301,2,2,343
hopper-12,true,1.00,7,313,5,2,529
hopper-13,true,1.00,7,305,5,2,694
hopper-14,true,1.00,5,297,3,2,549
hopper-15,true,1.00,6,321,3,2,403
hopper-16,true,1.00,58,317,55,3,8996
hopper-17,true,1.00,7,333,5,2,597
hopper-18,true,1.00,5,305,3,2,318
hopper-19,true,1.00,5,309,3,2,340
hopper-20,true,1.00,5,309,2,2,242
hopper-21,true,1.00,54,316,52,3,8832
hopper-22,true,1.00,58,332,55,3,9177
hopper-23,true,1.00,5,301,3,2,350
hopper-24,true,1.00,6,309,5,2,450
hopper-25,true,1.00,5,313,2,2,322
hopper-26,true,1.00,5,297,4,2,265
hopper-27,true,1.00,6,301,4,2,473
hopper-28,true,1.00,54,330,52,3,8604
hopper-29,true,1.00,63,309,60,3,9391
hopper-30,true,1.00,7,325,5,2,406
hopper-31,true,1.00,71,333,69,4,10444
hopper-32,true,1.00,6,297,3,2,313
hopper-33,true,1.00,84,321,82,4,12211
hopper-34,true,1.00,53,321,51,3,7855
hopper-35,true,1.00,6,313,4,2,504
hopper-36,true,1.00,6,301,4,2,403
hopper-37,true,1.00,70,333,67,4,10625
hopper-38,true,1.00,6,305,3,2,466
hopper-39,true,1.00,45,313,42,3,7268
hopper-40,true,1.00,5,317,3,2,296
hopper-41,true,1.00,5,297,3,2,341
hopper-42,true,1.00,6,321,3,2,261
hopper-43,true,1.00,74,329,72,4,11421
hopper-44,true,1.00,5,325,3,2,399
hopper-45,true,1.00,67,325,66,3,10664
hopper-46,true,1.00,88,317,85,4,14439
hopper-47,true,1.00,5,297,2,2,222
hopper-48,true,1.00,5,297,2,2,239
hopper-49,true,1.00,6,317,4,2,442
hopper-50,true,1.00,53,317,51,3,8209
hopper-51,true,1.00,59,321,58,3,8986
hopper-52,true,1.00,5,311,2,2,297
hopper-53,true,1.00,66,329,66,3,10040
hopper-54,true,1.00,7,317,5,2,392
hopper-55,true,1.00,5,337,3,2,317
hopper-56,true,1.00,5,313,3,2,276
hopper-57,true,1.00,5,329,2,2,356
hopper-58,true,1.00,49,309,47,3,7532
hopper-59,true,1.00,5,301,3,2,383
hopper-60,true,1.00,7,325,4,2,559
hopper-61,true,1.00,50,317,47,3,7575
hopper-62,true,1.00,8,317,5,2,752
hopper-63,true,1.00,8,309,7,2,774
hopper-64,true,1.00,5,313,3,2,246
hopper-65,true,1.00,6,313,4,2,537
hopper-66,true,1.00,49,309,48,3,7671
hopper-67,true,1.00,5,317,4,2,371
hopper-68,true,1.00,6,317,4,2,454
hopper-69,true,1.00,55,326,53,3,8574
hopper-70,true,1.00,6,317,5,2,357
hopper-71,true,1.00,7,313,4,2,571
hopper-72,true,1.00,6,313,4,2,427
hopper-73,true,1.00,6,313,3,2,406
hopper-74,true,1.00,5,301,4,2,415
hopper-75,true,1.00,5,301,3,2,311
hopper-76,true,1.00,47,322,45,3,7524
hopper-77,true,1.00,6,341,5,2,369
hopper-78,true,1.00,6,313,4,2,401
hopper-79,true,1.00,5,316,3,2,339
hopper-80,true,1.00,6,301,3,2,317
hopper-81,true,1.00,66,317,64,3,9773
hopper-82,true,1.00,10,317,7,2,1051
hopper-83,true,1.00,5,309,4,2,345
hopper-84,true,1.00,6,309,3,2,457
hopper-85,true,1.00,9,320,6,2,872
hopper-86,true,1.00,5,297,2,2,360
hopper-87,true,1.00,6,309,3,2,366
hopper-88,true,1.00,6,305,3,2,367
hopper-89,true,1.00,6,325,3,2,471
hopper-90,true,1.00,6,305,6,2,396
hopper-91,true,1.00,6,317,3,2,339
hopper-92,true,1.00,5,305,3,2,382
hopper-93,true,1.00,6,309,3,2,448
hopper-94,true,1.00,50,321,47,3,7379
hopper-95,true,1.00,7,313,4,2,433
hopper-96,true,1.00,10,301,7,2,1180
hopper-97,true,1.00,5,313,3,2,344
hopper-98,true,1.00,6,313,3,2,454
hopper-99,true,1.00,6,301,2,2,337
hopper-100,true,1.00,6,316,4,2,453
