level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notch-1,true,1.00,5,256,3,2,338
notch-2,true,1.00,4,267,2,2,332
notch-3,true,1.00,8,257,5,2,410
notch-4,true,1.00,5,245,3,2,323
notch-5,true,1.00,6,252,3,2,312
notch-6,true,1.00,5,270,3,2,411
notch-7,true,1.00,6,260,3,2,384
notch-8,true,1.00,6,272,4,2,560
notch-9,true,1.00,10,276,7,2,728
notch-10,true,1.00,6,279,4,2,393
notch-11,true,1.00,5,246,3,2,342
notch-12,true,1.00,5,244,3,2,333
notch-13,true,1.00,7,279,4,2,406
notch-14,true,1.00,6,258,3,2,387
notch-15,true,1.00,6,251,4,2,367
notch-16,true,1.00,5,264,3,2,332
notch-17,true,1.00,6,262,4,2,493
notch-18,true,1.00,18,288,15,2,1873
notch-19,true,1.00,5,253,3,2,316
notch-20,true,1.00,8,287,5,2,774
notch-21,true,1.00,5,272,3,2,396
notch-22,true,1.00,6,239,5,2,287
notch-23,true,1.00,5,250,3,2,365
notch-24,true,1.00,5,261,3,2,285
notch-25,true,1.00,4,269,3,2,317
notch-26,true,1.00,6,257,5,2,566
notch-27,true,1.00,8,276,5,2,797
notch-28,true,1.00,9,257,7,2,800
notch-29,true,1.00,5,267,3,2,340
notch-30,false,0.18,0,49,0,49,64
notch-31,true,1.00,4,243,2,2,267
notch-32,true,1.00,5,274,4,2,456
notch-33,true,1.00,5,241,3,2,341
notch-34,true,1.00,5,257,2,2,256
notch-35,true,1.00,5,242,2,2,235
notch-36,true,1.00,7,266,5,2,407
notch-37,true,1.00,5,267,3,2,469
notch-38,true,1.00,5,275,3,2,367
notch-39,false,0.16,1,47,1,47,125
notch-40,true,1.00,5,265,2,2,395
notch-41,true,1.00,4,244,3,2,322
notch-42,true,1.00,5,250,3,2,329
notch-43,true,1.00,5,258,3,2,361
notch-44,true,1.00,4,255,2,2,364
notch-45,false,0.17,1,47,1,47,40
notch-46,true,1.00,5,269,3,2,377
notch-47,true,1.00,7,249,5,2,550
notch-48,true,1.00,6,269,4,2,466
notch-49,true,1.00,9,259,7,2,779
notch-50,true,1.00,7,274,4,2,567
notch-51,true,1.00,4,251,2,2,330
notch-52,true,1.00,4,272,2,2,279
notch-53,true,1.00,7,264,6,2,433
notch-54,true,1.00,6,265,3,2,304
notch-55,true,1.00,7,276,4,2,431
notch-56,true,1.00,5,254,3,2,379
notch-57,true,1.00,5,264,3,2,389
notch-58,true,1.00,9,290,6,2,886
notch-59,true,1.00,6,254,4,2,382
notch-60,true,1.00,6,271,3,2,362
notch-61,true,1.00,6,245,3,2,344
notch-62,true,1.00,12,277,9,2,1093
notch-63,true,1.00,6,268,4,2,403
notch-64,true,1.00,5,247,3,2,338
notch-65,true,1.00,10,301,7,2,833
notch-66,true,1.00,10,289,7,2,1120
notch-67,true,1.00,4,233,3,2,280
notch-68,true,1.00,4,238,3,2,268
notch-69,true,1.00,8,267,7,2,657
notch-70,true,1.00,7,271,5,2,551
notch-71,true,1.00,5,258,5,2,407
notch-72,true,1.00,5,269,3,2,404
notch-73,true,1.00,5,259,3,2,314
notch-74,true,1.00,5,245,3,2,322
notch-75,true,1.00,6,261,4,2,380
notch-76,true,1.00,7,283,4,2,546
notch-77,true,1.00,7,275,5,2,438
notch-78,true,1.00,5,252,4,2,381
notch-79,true,1.00,6,297,3,2,417
notch-80,true,1.00,4,234,3,2,242
notch-81,true,1.00,5,254,2,2,265
notch-82,true,1.00,7,276,5,2,429
notch-83,true,1.00,6,256,3,2,324
notch-84,true,1.00,5,251,4,2,246
notch-85,true,1.00,4,250,2,2,268
notch-86,true,1.00,5,265,3,2,340
notch-87,true,1.00,5,251,2,2,336
notch-88,true,1.00,9,262,7,2,799
notch-89,true,1.00,8,283,6,2,658
notch-90,true,1.00,5,253,3,2,319
notch-91,true,1.00,6,246,4,2,458
notch-92,true,1.00,6,249,3,2,374
notch-93,true,1.00,6,285,4,2,381
notch-94,true,1.00,7,278,4,2,530
notch-95,true,1.00,5,254,3,2,262
notch-96,true,1.00,5,238,3,2,295
notch-97,true,1.00,5,263,2,2,328
notch-98,true,1.00,6,269,3,2,545
notch-99,true,1.00,5,279,3,2,400
notch-100,true,1.00,6,245,3,2,272
