level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParam-1,true,1.00,7,320,5,2,867
notchParam-2,true,1.00,11,310,8,2,1320
notchParam-3,true,1.00,7,322,5,2,484
notchParam-4,true,1.00,7,318,4,2,423
notchParam-5,true,1.00,5,310,3,2,403
notchParam-6,true,1.00,6,306,4,2,363
notchParam-7,true,1.00,18,318,16,2,2240
notchParam-8,true,1.00,11,335,8,2,1328
notchParam-9,true,1.00,11,331,8,2,1230
notchParam-10,true,1.00,7,335,4,2,361
notchParam-11,true,1.00,5,310,3,2,299
notchParam-12,true,1.00,6,335,4,2,520
notchParam-13,true,1.00,5,314,2,2,296
notchParam-14,true,1.00,6,298,5,2,315
notchParam-15,true,1.00,6,302,4,2,311
notchParam-16,true,1.00,7,317,5,2,471
notchParam-17,true,1.00,7,306,5,2,797
notchParam-18,true,1.00,6,327,4,2,366
notchParam-19,true,1.00,5,307,2,2,211
notchParam-20,true,1.00,5,306,3,2,250
notchParam-21,true,1.00,5,302,2,2,190
notchParam-22,true,1.00,7,316,6,2,463
notchParam-23,true,1.00,10,350,7,2,1143
notchParam-24,true,1.00,8,326,4,2,579
notchParam-25,true,1.00,9,326,6,2,751
notchParam-26,true,1.00,15,338,14,2,1822
notchParam-27,true,1.00,5,314,3,2,260
notchParam-28,true,1.00,12,333,9,2,1077
notchParam-29,true,1.00,7,327,4,2,431
notchParam-30,true,1.00,6,298,3,2,315
notchParam-31,true,1.00,7,315,5,2,811
notchParam-32,true,1.00,18,318,15,2,2239
notchParam-33,true,1.00,5,306,2,2,235
notchParam-34,false,0.14,1,50,0,50,64
notchParam-35,true,1.00,10,310,9,2,1220
notchParam-36,true,1.00,11,310,9,2,1195
notchParam-37,true,1.00,4,294,1,2,156
notchParam-38,true,1.00,6,302,4,2,234
notchParam-39,true,1.00,7,302,5,2,626
notchParam-40,true,1.00,5,314,3,2,308
notchParam-41,true,1.00,6,335,4,2,485
notchParam-42,true,1.00,4,306,2,2,216
notchParam-43,true,1.00,6,326,3,2,428
notchParam-44,true,1.00,8,338,5,2,518
notchParam-45,true,1.00,10,326,8,2,1086
notchParam-46,true,1.00,9,334,6,2,1116
notchParam-47,true,1.00,6,306,4,2,255
notchParam-48,true,1.00,9,337,6,2,640
notchParam-49,true,1.00,10,321,7,2,673
notchParam-50,true,1.00,4,298,2,2,177
notchParam-51,true,1.00,4,302,1,2,220
notchParam-52,true,1.00,8,314,5,2,743
notchParam-53,true,1.00,10,310,7,2,919
notchParam-54,true,1.00,7,307,4,2,472
notchParam-55,true,1.00,8,320,5,2,593
notchParam-56,true,1.00,4,294,2,2,246
notchParam-57,true,1.00,6,323,3,2,457
notchParam-58,true,1.00,9,330,7,2,757
notchParam-59,true,1.00,10,347,6,2,769
notchParam-60,true,1.00,5,330,3,2,370
notchParam-61,true,1.00,13,349,11,2,1694
notchParam-62,true,1.00,7,302,6,2,627
notchParam-63,true,1.00,9,334,8,2,753
notchParam-64,true,1.00,5,314,2,2,293
notchParam-65,true,1.00,6,322,4,2,567
notchParam-66,true,1.00,7,330,4,2,500
notchParam-67,true,1.00,12,317,9,2,1005
notchParam-68,true,1.00,12,310,9,2,1307
notchParam-69,true,1.00,7,320,5,2,711
notchParam-70,true,1.00,7,306,6,2,805
notchParam-71,true,1.00,6,327,5,2,419
notchParam-72,true,1.00,8,322,5,2,578
notchParam-73,true,1.00,7,319,4,2,473
notchParam-74,true,1.00,7,330,6,2,656
notchParam-75,true,1.00,8,344,6,2,662
notchParam-76,true,1.00,10,322,7,2,1006
notchParam-77,true,1.00,9,314,5,2,599
notchParam-78,true,1.00,8,327,6,2,654
notchParam-79,true,1.00,6,315,3,2,459
notchParam-80,true,1.00,5,315,3,2,271
notchParam-81,true,1.00,10,357,6,2,862
notchParam-82,true,1.00,6,303,3,2,340
notchParam-83,true,1.00,6,294,3,2,220
notchParam-84,true,1.00,13,332,11,2,1376
notchParam-85,true,1.00,14,334,11,2,1935
notchParam-86,true,1.00,9,318,8,2,980
notchParam-87,true,1.00,4,294,2,2,223
notchParam-88,true,1.00,4,303,2,2,184
notchParam-89,true,1.00,5,294,3,2,323
notchParam-90,true,1.00,6,306,3,2,305
notchParam-91,true,1.00,7,314,5,2,430
notchParam-92,true,1.00,10,318,8,2,988
notchParam-93,true,1.00,8,334,6,2,789
notchParam-94,true,1.00,7,336,6,2,746
notchParam-95,true,1.00,16,335,13,2,1919
notchParam-96,true,1.00,6,314,3,2,372
notchParam-97,true,1.00,6,306,4,2,385
notchParam-98,true,1.00,4,325,2,2,313
notchParam-99,true,1.00,5,313,4,2,483
notchParam-100,true,1.00,6,306,5,2,440
