level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParamRand-1,true,1.00,7,314,5,2,631
notchParamRand-2,true,1.00,6,306,3,2,209
notchParamRand-3,true,1.00,12,318,9,2,1291
notchParamRand-4,true,1.00,7,346,4,2,522
notchParamRand-5,true,1.00,4,302,2,2,263
notchParamRand-6,true,1.00,6,310,3,2,350
notchParamRand-7,true,1.00,5,304,5,2,221
notchParamRand-8,true,1.00,4,317,1,2,209
notchParamRand-9,true,1.00,6,324,3,2,355
notchParamRand-10,true,1.00,10,322,8,2,914
notchParamRand-11,true,1.00,5,308,2,2,190
notchParamRand-12,true,1.00,6,319,3,2,377
notchParamRand-13,true,1.00,13,322,11,2,1457
notchParamRand-14,true,1.00,8,322,7,2,871
notchParamRand-15,true,1.00,5,306,2,2,376
notchParamRand-16,true,1.00,5,314,4,2,292
notchParamRand-17,true,1.00,5,302,2,2,213
notchParamRand-18,true,1.00,11,330,8,2,1001
notchParamRand-19,true,1.00,5,320,2,2,257
notchParamRand-20,true,1.00,15,350,12,2,1640
notchParamRand-21,true,1.00,6,316,5,2,185
notchParamRand-22,true,1.00,8,314,5,2,568
notchParamRand-23,true,1.00,8,341,5,2,819
notchParamRand-24,true,1.00,5,320,4,2,338
notchParamRand-25,true,1.00,4,294,1,2,154
notchParamRand-26,true,1.00,7,342,5,2,379
notchParamRand-27,true,1.00,5,302,2,2,247
notchParamRand-28,true,1.00,6,321,4,2,467
notchParamRand-29,true,1.00,3,294,2,2,162
notchParamRand-30,true,1.00,6,334,4,2,616
notchParamRand-31,true,1.00,6,310,3,2,304
notchParamRand-32,true,1.00,6,302,4,2,198
notchParamRand-33,true,1.00,9,314,8,2,780
notchParamRand-34,true,1.00,5,310,3,2,306
notchParamRand-35,true,1.00,5,327,3,2,350
notchParamRand-36,true,1.00,5,294,2,2,157
notchParamRand-37,true,1.00,5,310,4,2,377
notchParamRand-38,true,1.00,9,318,7,2,831
notchParamRand-39,true,1.00,8,306,5,2,596
notchParamRand-40,true,1.00,8,327,6,2,871
notchParamRand-41,true,1.00,4,294,3,2,142
notchParamRand-42,true,1.00,4,302,2,2,399
notchParamRand-43,true,1.00,5,302,2,2,206
notchParamRand-44,true,1.00,6,312,3,2,316
notchParamRand-45,true,1.00,7,306,5,2,305
notchParamRand-46,true,1.00,9,314,7,2,990
notchParamRand-47,true,1.00,7,329,5,2,493
notchParamRand-48,true,1.00,10,326,6,2,1007
notchParamRand-49,true,1.00,6,314,4,2,422
notchParamRand-50,true,1.00,11,341,8,2,889
notchParamRand-51,true,1.00,5,311,4,2,301
notchParamRand-52,true,1.00,7,310,6,2,838
notchParamRand-53,true,1.00,6,318,5,2,591
notchParamRand-54,true,1.00,24,342,20,2,2542
notchParamRand-55,true,1.00,7,323,5,2,722
notchParamRand-56,true,1.00,6,302,5,2,630
notchParamRand-57,true,1.00,6,306,3,2,471
notchParamRand-58,true,1.00,7,338,5,2,473
notchParamRand-59,true,1.00,6,306,3,2,369
notchParamRand-60,true,1.00,6,294,5,2,465
notchParamRand-61,true,1.00,5,310,3,2,313
notchParamRand-62,true,1.00,6,314,3,2,499
notchParamRand-63,true,1.00,9,310,6,2,907
notchParamRand-64,true,1.00,5,298,2,2,196
notchParamRand-65,true,1.00,8,338,6,2,529
notchParamRand-66,true,1.00,7,325,3,2,228
notchParamRand-67,true,1.00,5,310,3,2,228
notchParamRand-68,true,1.00,6,334,4,2,528
notchParamRand-69,true,1.00,4,302,2,2,220
notchParamRand-70,true,1.00,9,334,6,2,730
notchParamRand-71,true,1.00,7,310,4,2,430
notchParamRand-72,true,1.00,5,298,4,2,176
notchParamRand-73,true,1.00,5,312,3,2,184
notchParamRand-74,true,1.00,4,298,3,2,160
notchParamRand-75,true,1.00,4,294,2,2,156
notchParamRand-76,true,1.00,6,326,3,2,342
notchParamRand-77,true,1.00,9,338,7,2,666
notchParamRand-78,true,1.00,6,318,3,2,404
notchParamRand-79,true,1.00,6,315,4,2,311
notchParamRand-80,true,1.00,4,310,3,2,199
notchParamRand-81,true,1.00,4,302,2,2,293
notchParamRand-82,true,1.00,5,312,3,2,469
notchParamRand-83,true,1.00,8,318,5,2,479
notchParamRand-84,true,1.00,6,306,4,2,399
notchParamRand-85,true,1.00,5,294,2,2,142
notchParamRand-86,true,1.00,9,351,7,2,505
notchParamRand-87,true,1.00,9,334,6,2,888
notchParamRand-88,true,1.00,5,306,3,2,376
notchParamRand-89,true,1.00,4,294,3,2,281
notchParamRand-90,true,1.00,5,316,3,2,220
notchParamRand-91,true,1.00,5,302,3,2,158
notchParamRand-92,true,1.00,7,331,4,2,363
notchParamRand-93,true,1.00,6,309,3,2,255
notchParamRand-94,true,1.00,7,326,6,2,729
notchParamRand-95,true,1.00,5,326,3,2,410
notchParamRand-96,true,1.00,7,316,6,2,489
notchParamRand-97,true,1.00,9,344,6,2,782
notchParamRand-98,true,1.00,6,306,3,2,240
notchParamRand-99,true,1.00,7,298,4,2,387
notchParamRand-100,true,1.00,10,322,7,2,1189
