level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ore-1,true,1.00,32,392,29,2,2373
ore-2,true,1.00,2604,379,2602,82,253639
ore-3,true,1.00,14,391,10,2,823
ore-4,true,1.00,15,363,12,2,784
ore-5,true,1.00,15,387,13,2,1070
ore-6,true,1.00,13,409,9,2,677
ore-7,true,1.00,16,399,13,2,893
ore-8,true,1.00,62,362,59,3,6017
ore-9,true,1.00,12,381,9,2,848
ore-10,true,1.00,74,413,70,4,6635
ore-11,false,0.08,2,46,2,46,84
ore-12,true,1.00,104,424,101,5,10043
ore-13,true,1.00,14,403,9,2,843
ore-14,true,1.00,30,372,27,2,2438
ore-15,true,1.00,18,408,13,2,1209
ore-16,true,1.00,101,378,98,4,9431
ore-17,true,1.00,13,368,10,2,1007
ore-18,true,1.00,18,407,14,2,1048
ore-19,true,1.00,12,383,9,2,882
ore-20,true,1.00,21,418,16,2,1375
ore-21,true,1.00,14,402,10,2,812
ore-22,true,1.00,56,351,53,3,4872
ore-23,true,1.00,106,368,102,5,8955
ore-24,true,1.00,54,414,51,3,5024
ore-25,true,1.00,14,365,10,2,914
ore-26,true,1.00,55,384,51,3,4246
ore-27,true,1.00,107,420,102,5,10003
ore-28,true,1.00,44,360,41,3,3313
ore-29,true,1.00,71,385,68,3,6101
ore-30,true,1.00,13,371,10,2,764
ore-31,true,1.00,17,415,14,2,970
ore-32,true,1.00,16,391,12,2,1273
ore-33,true,1.00,18,379,14,2,1109
ore-34,true,1.00,22,416,19,2,1647
ore-35,true,1.00,16,389,11,2,894
ore-36,true,1.00,35,396,32,2,3097
ore-37,true,1.00,464,440,461,15,40793
ore-38,true,1.00,9,374,8,2,515
ore-39,true,1.00,36,407,32,2,2875
ore-40,true,1.00,32,381,30,2,2371
ore-41,true,1.00,25,403,21,2,2195
ore-42,true,1.00,63,414,60,3,5362
ore-43,true,1.00,101,387,98,4,10149
ore-44,true,1.00,37,414,36,3,3003
ore-45,true,1.00,107,429,104,5,10949
ore-46,true,1.00,113,411,108,5,10776
ore-47,true,1.00,159,410,155,6,16952
ore-48,true,1.00,31,354,28,2,2553
ore-49,true,1.00,12,373,9,2,862
ore-50,true,1.00,11,389,8,2,724
ore-51,true,1.00,50,426,46,3,4187
ore-52,true,1.00,38,393,34,3,3122
ore-53,true,1.00,26,383,23,2,1713
ore-54,true,1.00,124,408,120,5,11646
ore-55,true,1.00,53,385,51,3,5031
ore-56,true,1.00,20,374,16,2,1383
ore-57,true,1.00,23,397,21,2,1724
ore-58,true,1.00,18,386,13,2,1290
ore-59,true,1.00,16,411,11,2,809
ore-60,true,1.00,10,333,7,2,669
ore-61,true,1.00,22,396,19,2,1546
ore-62,true,1.00,56,345,53,3,4904
ore-63,true,1.00,91,407,88,4,8175
ore-64,true,1.00,21,381,17,2,1764
ore-65,true,1.00,17,369,15,2,940
ore-66,true,1.00,69,392,65,3,6075
ore-67,true,1.00,14,376,10,2,873
ore-68,true,1.00,18,365,15,2,957
ore-69,true,1.00,61,457,57,3,4962
ore-70,true,1.00,97,373,94,4,8762
ore-71,true,1.00,19,394,16,2,1312
ore-72,true,1.00,20,405,17,2,1263
ore-73,true,1.00,13,397,10,2,851
ore-74,true,1.00,165,417,161,6,14430
ore-75,true,1.00,21,405,17,2,1320
ore-76,true,1.00,17,368,13,2,1173
ore-77,true,1.00,15,412,12,2,1087
ore-78,true,1.00,16,403,12,2,925
ore-79,true,1.00,27,400,24,2,1999
ore-80,true,1.00,21,364,17,2,1148
ore-81,true,1.00,24,396,21,2,1918
ore-82,true,1.00,17,401,14,2,855
ore-83,true,1.00,12,391,9,2,764
ore-84,true,1.00,50,376,46,3,3733
ore-85,true,1.00,16,383,13,2,863
ore-86,true,1.00,19,372,15,2,1395
ore-87,true,1.00,31,392,28,2,2582
ore-88,true,1.00,25,377,21,2,1868
ore-89,true,1.00,30,385,25,2,2153
ore-90,true,1.00,24,399,20,2,1478
ore-91,true,1.00,33,398,30,2,2456
ore-92,true,1.00,29,386,24,2,2183
ore-93,true,1.00,123,396,120,5,10959
ore-94,false,0.07,5,52,5,52,335
ore-95,true,1.00,40,432,36,3,2869
ore-96,true,1.00,53,381,50,3,4691
ore-97,true,1.00,107,420,103,5,9918
ore-98,true,1.00,13,370,10,2,828
ore-99,true,1.00,52,377,47,3,4644
ore-100,true,1.00,20,389,16,2,1352
