level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternCount-1,true,1.00,906,418,903,29,90843
patternCount-2,true,1.00,11,388,7,2,517
patternCount-3,true,1.00,166,397,162,6,14037
patternCount-4,false,0.08,1,45,1,45,43
patternCount-5,true,1.00,10,369,7,2,545
patternCount-6,true,1.00,13,390,10,2,529
patternCount-7,true,1.00,14,391,12,2,728
patternCount-8,false,0.09,1,54,1,54,55
patternCount-9,true,1.00,9,364,5,2,404
patternCount-10,false,0.11,2,48,1,48,40
patternCount-11,true,1.00,18,390,15,2,994
patternCount-12,true,1.00,14,370,11,2,923
patternCount-13,false,0.09,1,48,1,48,51
patternCount-14,true,1.00,18,401,15,2,1209
patternCount-15,true,1.00,17,403,15,2,724
patternCount-16,true,1.00,12,369,9,2,771
patternCount-17,true,1.00,16,418,11,2,716
patternCount-18,true,1.00,11,388,7,2,405
patternCount-19,true,1.00,9,342,6,2,399
patternCount-20,true,1.00,23,388,20,2,1164
patternCount-21,true,1.00,17,389,12,2,947
patternCount-22,true,1.00,15,413,10,2,701
patternCount-23,true,1.00,301,405,296,10,30430
patternCount-24,true,1.00,18,399,13,2,1251
patternCount-25,true,1.00,11,354,7,2,424
patternCount-26,true,1.00,8,350,6,2,438
patternCount-27,true,1.00,11,395,7,2,721
patternCount-28,true,1.00,23,393,18,2,1216
patternCount-29,true,1.00,10,387,7,2,492
patternCount-30,true,1.00,13,421,10,2,819
patternCount-31,true,1.00,11,362,9,2,466
patternCount-32,true,1.00,12,370,9,2,528
patternCount-33,true,1.00,17,397,13,2,1287
patternCount-34,false,0.10,1,51,0,51,46
patternCount-35,true,1.00,16,433,13,2,837
patternCount-36,false,0.10,2,51,1,51,46
patternCount-37,false,0.11,2,54,2,54,49
patternCount-38,false,0.10,2,45,1,45,56
patternCount-39,true,1.00,10,369,6,2,392
patternCount-40,true,1.00,21,432,17,2,1520
patternCount-41,true,1.00,14,409,10,2,604
patternCount-42,true,1.00,20,380,17,2,1054
patternCount-43,true,1.00,18,389,15,2,1238
patternCount-44,true,1.00,11,362,8,2,484
patternCount-45,true,1.00,31,374,30,2,1988
patternCount-46,true,1.00,14,405,13,2,570
patternCount-47,true,1.00,14,386,10,2,623
patternCount-48,true,1.00,16,394,12,2,970
patternCount-49,false,0.08,1,45,0,45,44
patternCount-50,true,1.00,19,426,15,2,921
patternCount-51,true,1.00,17,360,13,2,982
patternCount-52,true,1.00,12,364,9,2,428
patternCount-53,true,1.00,18,407,14,2,1056
patternCount-54,true,1.00,27,407,23,2,1380
patternCount-55,true,1.00,18,388,14,2,1360
patternCount-56,true,1.00,17,391,13,2,817
patternCount-57,true,1.00,11,361,8,2,580
patternCount-58,true,1.00,550,421,548,18,46014
patternCount-59,true,1.00,14,382,10,2,668
patternCount-60,true,1.00,13,356,9,2,575
patternCount-61,true,1.00,11,365,7,2,519
patternCount-62,true,1.00,14,400,11,2,901
patternCount-63,true,1.00,17,414,12,2,864
patternCount-64,true,1.00,14,362,11,2,620
patternCount-65,true,1.00,9,356,7,2,453
patternCount-66,true,1.00,10,409,7,2,571
patternCount-67,true,1.00,16,392,12,2,707
patternCount-68,true,1.00,11,372,7,2,456
patternCount-69,true,1.00,17,435,13,2,961
patternCount-70,true,1.00,19,398,14,2,855
patternCount-71,true,1.00,12,396,9,2,664
patternCount-72,true,1.00,46,378,43,3,3173
patternCount-73,true,1.00,26,456,21,2,1318
patternCount-74,true,1.00,22,395,18,2,1442
patternCount-75,true,1.00,22,386,19,2,1113
patternCount-76,false,0.08,1,45,1,45,69
patternCount-77,true,1.00,21,396,18,2,1261
patternCount-78,true,1.00,17,409,14,2,838
patternCount-79,true,1.00,47,421,45,3,3808
patternCount-80,true,1.00,14,367,10,2,748
patternCount-81,true,1.00,14,392,11,2,613
patternCount-82,true,1.00,14,386,11,2,816
patternCount-83,true,1.00,15,380,11,2,654
patternCount-84,true,1.00,14,373,11,2,612
patternCount-85,true,1.00,15,388,10,2,847
patternCount-86,true,1.00,18,375,13,2,773
patternCount-87,true,1.00,14,383,11,2,739
patternCount-88,true,1.00,18,407,17,2,917
patternCount-89,true,1.00,20,372,16,2,1229
patternCount-90,true,1.00,11,374,6,2,449
patternCount-91,false,0.08,2,45,2,45,57
patternCount-92,true,1.00,13,387,10,2,454
patternCount-93,true,1.00,25,434,19,2,1688
patternCount-94,true,1.00,18,379,13,2,812
patternCount-95,true,1.00,10,385,6,2,468
patternCount-96,true,1.00,10,352,6,2,428
patternCount-97,true,1.00,687,404,684,22,67229
patternCount-98,true,1.00,11,382,7,2,603
patternCount-99,true,1.00,13,369,9,2,543
patternCount-100,true,1.00,17,391,13,2,948
