level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternOccur-1,true,1.00,10,388,6,2,487
patternOccur-2,true,1.00,20,394,16,2,1203
patternOccur-3,true,1.00,15,392,14,2,818
patternOccur-4,true,1.00,15,430,11,2,924
patternOccur-5,true,1.00,16,395,11,2,653
patternOccur-6,true,1.00,16,387,13,2,874
patternOccur-7,false,0.09,2,53,1,53,141
patternOccur-8,true,1.00,15,431,12,2,982
patternOccur-9,true,1.00,15,416,10,2,620
patternOccur-10,true,1.00,14,415,10,2,844
patternOccur-11,true,1.00,20,446,14,2,1288
patternOccur-12,true,1.00,23,436,19,2,1269
patternOccur-13,true,1.00,15,405,12,2,1020
patternOccur-14,true,1.00,22,436,18,2,1156
patternOccur-15,true,1.00,14,393,10,2,676
patternOccur-16,true,1.00,51,402,49,3,4470
patternOccur-17,true,1.00,15,410,13,2,871
patternOccur-18,true,1.00,19,425,15,2,1037
patternOccur-19,true,1.00,4847,444,4845,152,424663
patternOccur-20,true,1.00,16,403,12,2,865
patternOccur-21,true,1.00,15,423,10,2,640
patternOccur-22,true,1.00,463,394,459,15,45606
patternOccur-23,true,1.00,19,419,15,2,1287
patternOccur-24,true,1.00,23,421,20,2,1376
patternOccur-25,true,1.00,18,419,14,2,1070
patternOccur-26,true,1.00,14,390,11,2,620
patternOccur-27,true,1.00,24,432,21,2,1742
patternOccur-28,true,1.00,18,424,13,2,880
patternOccur-29,true,1.00,14,406,11,2,788
patternOccur-30,true,1.00,14,397,10,2,722
patternOccur-31,true,1.00,16,413,13,2,877
patternOccur-32,true,1.00,28,407,24,2,1761
patternOccur-33,true,1.00,17,421,13,2,959
patternOccur-34,true,1.00,21,412,17,2,1022
patternOccur-35,true,1.00,11,412,9,2,544
patternOccur-36,false,0.08,2,52,1,52,117
patternOccur-37,true,1.00,27,429,22,2,1597
patternOccur-38,true,1.00,13,421,9,2,720
patternOccur-39,true,1.00,249,420,245,9,21473
patternOccur-40,true,1.00,15,402,10,2,834
patternOccur-41,true,1.00,19,418,14,2,843
patternOccur-42,true,1.00,2574,439,2571,80,220599
patternOccur-43,true,1.00,13,400,9,2,700
patternOccur-44,true,1.00,13,408,9,2,641
patternOccur-45,true,1.00,17,393,13,2,822
patternOccur-46,true,1.00,14,427,11,2,706
patternOccur-47,true,1.00,18,398,15,2,862
patternOccur-48,true,1.00,17,407,16,2,982
patternOccur-49,true,1.00,25,384,21,2,1324
patternOccur-50,true,1.00,27,430,23,2,1799
patternOccur-51,true,1.00,23,461,19,2,1183
patternOccur-52,true,1.00,25,435,20,2,1422
patternOccur-53,true,1.00,15,403,12,2,851
patternOccur-54,true,1.00,19,443,15,2,983
patternOccur-55,true,1.00,17,427,14,2,1030
patternOccur-56,true,1.00,27,423,22,2,1468
patternOccur-57,true,1.00,15,435,11,2,906
patternOccur-58,true,1.00,82,415,78,4,6011
patternOccur-59,true,1.00,14,402,11,2,712
patternOccur-60,true,1.00,22,412,19,2,1269
patternOccur-61,true,1.00,20,407,16,2,1009
patternOccur-62,true,1.00,13,399,11,2,598
patternOccur-63,true,1.00,14,441,9,2,811
patternOccur-64,true,1.00,25,461,21,2,1279
patternOccur-65,true,1.00,21,407,16,2,1307
patternOccur-66,true,1.00,18,414,16,2,804
patternOccur-67,true,1.00,266,408,264,9,24409
patternOccur-68,true,1.00,17,406,13,2,936
patternOccur-69,true,1.00,17,440,13,2,889
patternOccur-70,true,1.00,330,381,327,11,28267
patternOccur-71,true,1.00,18,403,15,2,1041
patternOccur-72,true,1.00,56,428,51,3,4315
patternOccur-73,false,0.07,1,48,1,48,36
patternOccur-74,true,1.00,23,462,18,2,1208
patternOccur-75,true,1.00,14,407,11,2,874
patternOccur-76,true,1.00,17,380,13,2,862
patternOccur-77,true,1.00,14,408,11,2,574
patternOccur-78,true,1.00,11,394,8,2,622
patternOccur-79,true,1.00,14,420,9,2,743
patternOccur-80,true,1.00,20,436,16,2,896
patternOccur-81,true,1.00,23,439,19,2,1826
patternOccur-82,true,1.00,31,420,28,2,1781
patternOccur-83,true,1.00,91,415,87,4,7777
patternOccur-84,false,0.06,1,45,1,45,42
patternOccur-85,true,1.00,24,410,19,2,1559
patternOccur-86,true,1.00,23,374,20,2,1237
patternOccur-87,true,1.00,15,431,11,2,975
patternOccur-88,true,1.00,14,426,8,2,668
patternOccur-89,true,1.00,23,430,19,2,1137
patternOccur-90,true,1.00,18,437,14,2,1173
patternOccur-91,true,1.00,23,415,18,2,1177
patternOccur-92,true,1.00,13,372,10,2,636
patternOccur-93,true,1.00,18,442,14,2,1185
patternOccur-94,true,1.00,79,434,76,4,5826
patternOccur-95,true,1.00,18,414,17,2,1186
patternOccur-96,true,1.00,13,411,9,2,780
patternOccur-97,true,1.00,20,417,15,2,895
patternOccur-98,true,1.00,2304,435,2301,72,200411
patternOccur-99,true,1.00,13,398,10,2,756
patternOccur-100,true,1.00,25,422,21,2,1303
