level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternWeightCount-1,true,1.00,23,438,19,2,1401
patternWeightCount-2,true,1.00,11,404,8,2,663
patternWeightCount-3,true,1.00,16,393,12,2,764
patternWeightCount-4,true,1.00,12,391,8,2,449
patternWeightCount-5,true,1.00,20,414,16,2,1146
patternWeightCount-6,true,1.00,21,435,17,2,1252
patternWeightCount-7,true,1.00,13,413,9,2,532
patternWeightCount-8,true,1.00,35,391,30,2,2196
patternWeightCount-9,true,1.00,15,429,12,2,641
patternWeightCount-10,true,1.00,13,429,9,2,624
patternWeightCount-11,true,1.00,11,401,7,2,444
patternWeightCount-12,true,1.00,21,435,17,2,1087
patternWeightCount-13,true,1.00,10,396,6,2,495
patternWeightCount-14,true,1.00,17,412,12,2,725
patternWeightCount-15,true,1.00,12,378,9,2,660
patternWeightCount-16,true,1.00,17,424,14,2,833
patternWeightCount-17,true,1.00,15,401,13,2,662
patternWeightCount-18,true,1.00,12,363,9,2,602
patternWeightCount-19,true,1.00,14,379,9,2,532
patternWeightCount-20,true,1.00,10,345,7,2,464
patternWeightCount-21,true,1.00,19,437,14,2,1045
patternWeightCount-22,true,1.00,23,475,20,2,1237
patternWeightCount-23,true,1.00,15,404,10,2,733
patternWeightCount-24,true,1.00,12,370,8,2,471
patternWeightCount-25,true,1.00,19,420,15,2,1186
patternWeightCount-26,true,1.00,29,423,25,2,1662
patternWeightCount-27,true,1.00,24,444,19,2,1379
patternWeightCount-28,true,1.00,12,406,10,2,548
patternWeightCount-29,true,1.00,15,377,10,2,895
patternWeightCount-30,true,1.00,31,414,28,2,1997
patternWeightCount-31,true,1.00,30,385,26,2,2031
patternWeightCount-32,true,1.00,11,403,7,2,555
patternWeightCount-33,true,1.00,14,407,10,2,577
patternWeightCount-34,true,1.00,17,399,14,2,865
patternWeightCount-35,true,1.00,70,398,67,4,5272
patternWeightCount-36,true,1.00,16,411,12,2,819
patternWeightCount-37,true,1.00,15,437,10,2,684
patternWeightCount-38,true,1.00,72,384,68,4,5247
patternWeightCount-39,true,1.00,13,383,9,2,557
patternWeightCount-40,true,1.00,15,438,12,2,802
patternWeightCount-41,true,1.00,19,415,15,2,1123
patternWeightCount-42,true,1.00,599,380,595,19,50630
patternWeightCount-43,true,1.00,11,377,8,2,638
patternWeightCount-44,true,1.00,15,450,12,2,664
patternWeightCount-45,true,1.00,17,453,13,2,1063
patternWeightCount-46,true,1.00,18,452,13,2,1099
patternWeightCount-47,true,1.00,20,407,16,2,950
patternWeightCount-48,true,1.00,14,409,10,2,766
patternWeightCount-49,true,1.00,9,409,6,2,453
patternWeightCount-50,true,1.00,10,393,8,2,542
patternWeightCount-51,true,1.00,18,406,14,2,843
patternWeightCount-52,true,1.00,15,428,12,2,720
patternWeightCount-53,true,1.00,19,424,17,2,1352
patternWeightCount-54,true,1.00,21,426,18,2,997
patternWeightCount-55,true,1.00,14,410,11,2,592
patternWeightCount-56,true,1.00,13,370,9,2,775
patternWeightCount-57,true,1.00,10,377,8,2,354
patternWeightCount-58,true,1.00,18,422,13,2,752
patternWeightCount-59,true,1.00,10,401,8,2,490
patternWeightCount-60,true,1.00,23,438,18,2,1119
patternWeightCount-61,false,0.07,2,48,2,48,60
patternWeightCount-62,true,1.00,18,393,15,2,1053
patternWeightCount-63,true,1.00,15,396,10,2,710
patternWeightCount-64,true,1.00,15,392,12,2,572
patternWeightCount-65,true,1.00,16,421,12,2,915
patternWeightCount-66,true,1.00,21,400,16,2,995
patternWeightCount-67,true,1.00,33,414,29,2,2181
patternWeightCount-68,true,1.00,63,380,60,3,4187
patternWeightCount-69,true,1.00,15,405,11,2,916
patternWeightCount-70,true,1.00,20,425,15,2,904
patternWeightCount-71,true,1.00,14,379,10,2,597
patternWeightCount-72,true,1.00,21,398,18,2,1495
patternWeightCount-73,true,1.00,26,435,21,2,1431
patternWeightCount-74,true,1.00,15,445,11,2,785
patternWeightCount-75,true,1.00,18,412,15,2,891
patternWeightCount-76,true,1.00,18,426,14,2,758
patternWeightCount-77,true,1.00,11,380,7,2,600
patternWeightCount-78,true,1.00,25,431,20,2,1347
patternWeightCount-79,true,1.00,12,388,9,2,604
patternWeightCount-80,true,1.00,16,413,13,2,802
patternWeightCount-81,true,1.00,58,412,56,3,3958
patternWeightCount-82,true,1.00,15,408,11,2,835
patternWeightCount-83,true,1.00,16,372,12,2,894
patternWeightCount-84,true,1.00,15,424,11,2,580
patternWeightCount-85,true,1.00,12,386,8,2,600
patternWeightCount-86,true,1.00,482,444,477,16,44017
patternWeightCount-87,true,1.00,22,410,18,2,1377
patternWeightCount-88,true,1.00,21,420,17,2,1218
patternWeightCount-89,true,1.00,16,399,12,2,1097
patternWeightCount-90,true,1.00,36,426,31,2,2132
patternWeightCount-91,true,1.00,14,403,11,2,801
patternWeightCount-92,true,1.00,14,450,11,2,900
patternWeightCount-93,true,1.00,24,421,19,2,1143
patternWeightCount-94,true,1.00,21,403,17,2,1227
patternWeightCount-95,true,1.00,17,380,12,2,786
patternWeightCount-96,true,1.00,18,412,14,2,944
patternWeightCount-97,true,1.00,11,363,7,2,462
patternWeightCount-98,true,1.00,25,443,22,2,1547
patternWeightCount-99,true,1.00,17,432,12,2,975
patternWeightCount-100,true,1.00,20,390,15,2,876
