level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ge-1,true,1.00,398,234,397,209,58080
ge-2,true,1.00,399,226,397,210,57097
ge-3,true,1.00,145,215,144,199,20121
ge-4,true,1.00,1237,244,1236,229,175693
ge-5,true,1.00,27,199,26,183,3210
ge-6,true,1.00,299,248,297,231,41661
ge-7,true,1.00,98,223,97,207,13383
ge-8,true,1.00,145,228,144,212,19581
ge-9,true,1.00,448,221,448,205,62499
ge-10,true,1.00,22,199,21,183,2807
ge-11,true,1.00,134,214,133,198,18952
ge-12,true,1.00,25,199,21,183,2987
ge-13,true,1.00,254,250,254,233,36105
ge-14,true,1.00,181,237,179,213,23910
ge-15,true,1.00,499,219,499,203,67827
ge-16,true,1.00,470,290,468,274,72911
ge-17,true,1.00,319,214,315,198,46640
ge-18,true,1.00,722,254,718,238,112076
ge-19,true,1.00,512,267,508,241,72253
ge-20,true,1.00,381,231,380,215,52803
ge-21,true,1.00,192,201,189,185,26109
ge-22,true,1.00,263,210,262,194,35698
ge-23,true,1.00,591,218,591,190,81405
ge-24,true,1.00,439,228,439,202,58899
ge-25,true,1.00,326,203,321,187,44965
ge-26,true,1.00,162,205,161,189,23550
ge-27,true,1.00,34,207,32,191,4559
ge-28,true,1.00,522,209,522,193,68808
ge-29,true,1.00,196,229,195,197,27331
ge-30,true,1.00,882,231,882,215,129209
ge-31,true,1.00,636,228,631,212,87479
ge-32,true,1.00,82,220,78,204,11943
ge-33,true,1.00,97,219,96,193,13494
ge-34,true,1.00,729,220,727,203,101248
ge-35,true,1.00,267,263,266,247,35524
ge-36,true,1.00,1039,271,1038,242,140921
ge-37,true,1.00,322,212,321,196,42795
ge-38,true,1.00,1621,280,1619,264,217590
ge-39,true,1.00,212,227,212,211,29218
ge-40,true,1.00,26,199,22,183,3294
ge-41,true,1.00,193,205,192,189,27391
ge-42,true,1.00,517,242,517,226,69892
ge-43,true,1.00,254,228,253,211,35768
ge-44,true,1.00,595,220,594,204,80778
ge-45,true,1.00,339,215,337,199,44557
ge-46,true,1.00,656,272,655,256,90507
ge-47,true,1.00,740,240,734,224,100435
ge-48,true,1.00,382,227,380,211,53030
ge-49,true,1.00,126,201,125,185,17431
ge-50,true,1.00,562,218,561,202,75217
ge-51,true,1.00,75,216,74,200,10673
ge-52,true,1.00,289,248,286,232,40023
ge-53,true,1.00,202,229,201,213,28008
ge-54,true,1.00,420,239,420,223,64434
ge-55,true,1.00,281,224,279,207,38595
ge-56,true,1.00,411,236,409,210,56405
ge-57,true,1.00,657,229,655,211,95384
ge-58,true,1.00,117,230,117,214,16131
ge-59,true,1.00,994,229,993,213,136484
ge-60,true,1.00,1547,238,1546,222,197635
ge-61,true,1.00,224,201,224,185,31857
ge-62,true,1.00,430,209,429,193,59597
ge-63,true,1.00,922,234,922,218,131555
ge-64,false,1.00,282,236,280,207,37257
ge-65,true,1.00,581,236,579,220,79130
ge-66,true,1.00,509,226,506,207,71173
ge-67,true,1.00,151,239,150,222,20680
ge-68,true,1.00,100,220,100,204,13285
ge-69,true,1.00,186,199,186,183,25481
ge-70,true,1.00,294,204,293,188,40398
ge-71,true,1.00,1000,235,1000,219,140067
ge-72,true,1.00,124,251,122,231,17548
ge-73,true,1.00,361,214,360,195,52071
ge-74,true,1.00,970,239,968,223,128418
ge-75,true,1.00,218,247,217,211,31175
ge-76,true,1.00,840,235,838,219,115670
ge-77,true,1.00,1433,246,1433,230,201295
ge-78,true,1.00,755,248,751,231,103848
ge-79,true,1.00,137,228,133,199,19530
ge-80,true,1.00,40,214,39,197,5103
ge-81,true,1.00,40,210,39,194,5659
ge-82,true,1.00,55,235,51,198,7602
ge-83,true,1.00,607,256,604,222,93798
ge-84,true,1.00,624,211,622,195,88231
ge-85,true,1.00,698,221,697,205,102555
ge-86,true,1.00,2023,274,2021,252,277332
ge-87,true,1.00,609,225,609,209,84920
ge-88,true,1.00,446,231,445,213,62080
ge-89,true,1.00,94,232,93,216,13732
ge-90,true,1.00,25,199,25,183,3333
ge-91,true,1.00,226,212,225,196,30983
ge-92,true,1.00,32,205,30,189,4399
ge-93,true,1.00,559,213,557,197,78084
ge-94,true,1.00,554,211,551,195,79167
ge-95,true,1.00,57,235,54,219,8243
ge-96,true,1.00,673,243,669,225,93683
ge-97,true,1.00,1247,243,1239,227,175397
ge-98,true,1.00,27,199,23,183,3250
ge-99,true,1.00,121,199,118,183,15104
ge-100,true,1.00,492,219,492,203,67831
