level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
hopper-1,true,1.00,1269,337,1267,321,175486
hopper-2,true,1.00,1304,348,1302,332,171520
hopper-3,true,1.00,1098,347,1096,331,156563
hopper-4,true,1.00,1795,370,1791,354,266916
hopper-5,true,1.00,901,324,898,308,116359
hopper-6,true,1.00,898,317,897,301,117068
hopper-7,true,1.00,911,352,907,336,125270
hopper-8,true,1.00,812,350,810,332,109228
hopper-9,true,1.00,1091,315,1089,300,147857
hopper-10,true,1.00,969,331,966,315,129839
hopper-11,true,1.00,739,331,737,315,98000
hopper-12,true,1.00,1141,340,1138,323,155548
hopper-13,true,1.00,1383,363,1380,347,195981
hopper-14,true,1.00,1166,334,1165,316,153413
hopper-15,true,1.00,1098,321,1098,305,147719
hopper-16,true,1.00,1260,365,1259,338,173313
hopper-17,true,1.00,963,313,963,297,127304
hopper-18,true,1.00,1100,316,1099,300,139414
hopper-19,true,1.00,1012,333,1011,317,143027
hopper-20,true,1.00,1336,342,1334,326,177335
hopper-21,true,1.00,731,344,729,328,103153
hopper-22,true,1.00,1199,367,1198,349,164665
hopper-23,true,1.00,1026,322,1023,306,136769
hopper-24,true,1.00,605,331,604,315,80328
hopper-25,true,1.00,1126,311,1125,295,145966
hopper-26,true,1.00,1022,305,1019,289,131150
hopper-27,true,1.00,1005,315,1003,299,132553
hopper-28,true,1.00,3309,429,3306,413,510922
hopper-29,true,1.00,1351,364,1351,348,186392
hopper-30,true,1.00,1531,371,1527,345,204655
hopper-31,true,1.00,1089,341,1088,325,160894
hopper-32,true,1.00,1850,327,1848,311,248094
hopper-33,true,1.00,1127,372,1121,355,148497
hopper-34,true,1.00,968,341,964,325,137451
hopper-35,true,1.00,1490,363,1487,347,203486
hopper-36,true,1.00,769,320,764,304,97940
hopper-37,true,1.00,1553,375,1551,359,209745
hopper-38,true,1.00,1534,346,1533,330,217409
hopper-39,true,1.00,1123,345,1121,329,156374
hopper-40,true,1.00,1004,350,1003,333,126184
hopper-41,true,1.00,1668,353,1662,337,220625
hopper-42,true,1.00,929,313,927,297,112844
hopper-43,true,1.00,1594,390,1591,374,206329
hopper-44,true,1.00,1401,323,1400,307,177894
hopper-45,true,1.00,1345,375,1343,359,178003
hopper-46,true,1.00,1614,389,1612,373,218444
hopper-47,true,1.00,2341,347,2338,331,300909
hopper-48,true,1.00,1195,313,1191,297,151852
hopper-49,true,1.00,1888,341,1886,325,247579
hopper-50,true,1.00,1196,343,1191,327,162268
hopper-51,true,1.00,1007,346,1004,330,134602
hopper-52,true,1.00,731,313,729,297,96731
hopper-53,true,1.00,1703,390,1700,374,224633
hopper-54,true,1.00,558,301,558,282,73185
hopper-55,true,1.00,738,331,736,314,97982
hopper-56,true,1.00,695,301,688,285,91482
hopper-57,true,1.00,928,305,927,289,114099
hopper-58,true,1.00,1207,329,1204,313,168987
hopper-59,true,1.00,790,301,787,285,106981
hopper-60,true,1.00,1039,324,1034,308,138121
hopper-61,true,1.00,1306,337,1301,321,174170
hopper-62,true,1.00,1182,340,1180,324,153196
hopper-63,true,1.00,1035,341,1032,325,145950
hopper-64,true,1.00,1137,333,1134,317,140443
hopper-65,true,1.00,979,319,975,301,127837
hopper-66,true,1.00,899,354,897,338,123707
hopper-67,true,1.00,845,320,841,304,111152
hopper-68,true,1.00,653,326,652,310,83738
hopper-69,true,1.00,1053,373,1051,357,135052
hopper-70,true,1.00,1368,325,1367,309,178402
hopper-71,true,1.00,639,305,635,289,78563
hopper-72,true,1.00,1995,352,1992,334,254716
hopper-73,true,1.00,1007,327,1005,311,129568
hopper-74,true,1.00,726,307,724,291,91073
hopper-75,true,1.00,922,303,920,287,116084
hopper-76,true,1.00,1289,355,1289,339,176871
hopper-77,true,1.00,1208,354,1207,338,151388
hopper-78,true,1.00,1124,318,1122,302,155239
hopper-79,true,1.00,729,317,727,300,94763
hopper-80,true,1.00,776,319,774,303,100205
hopper-81,true,1.00,1610,393,1607,377,223840
hopper-82,true,1.00,1700,359,1697,343,235063
hopper-83,true,1.00,1368,331,1366,315,185124
hopper-84,true,1.00,1130,313,1129,297,146421
hopper-85,true,1.00,1827,387,1827,371,220718
hopper-86,true,1.00,1542,357,1539,341,203255
hopper-87,true,1.00,1240,331,1238,315,156798
hopper-88,true,1.00,670,323,666,307,90467
hopper-89,true,1.00,800,334,798,318,105648
hopper-90,true,1.00,829,325,827,309,108783
hopper-91,true,1.00,1009,328,1006,312,133853
hopper-92,true,1.00,1260,327,1256,311,157626
hopper-93,true,1.00,688,323,684,307,89887
hopper-94,true,1.00,1285,349,1284,333,175984
hopper-95,true,1.00,892,299,888,283,115652
hopper-96,true,1.00,1170,358,1169,342,158047
hopper-97,true,1.00,1255,307,1253,291,161563
hopper-98,true,1.00,1625,337,1624,321,209213
hopper-99,true,1.00,2081,366,2080,350,280142
hopper-100,true,1.00,2141,383,2139,366,276871
