level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notch-1,true,1.00,764,257,760,241,105388
notch-2,true,1.00,1108,280,1108,264,165783
notch-3,true,1.00,1000,265,998,249,135341
notch-4,true,1.00,998,268,994,247,135826
notch-5,true,1.00,798,254,796,237,109012
notch-6,true,1.00,1100,302,1096,286,157501
notch-7,true,1.00,548,292,548,276,81701
notch-8,true,1.00,688,277,688,261,95074
notch-9,true,1.00,1080,272,1079,256,147786
notch-10,true,1.00,957,279,954,263,132830
notch-11,true,1.00,834,266,830,250,114681
notch-12,true,1.00,577,251,574,235,77743
notch-13,true,1.00,868,288,864,272,119625
notch-14,true,1.00,763,253,762,237,104441
notch-15,true,1.00,771,273,771,257,104172
notch-16,true,1.00,954,288,953,261,132832
notch-17,true,1.00,1131,286,1127,270,157148
notch-18,true,1.00,1082,321,1081,304,155418
notch-19,true,1.00,1111,260,1110,243,153832
notch-20,true,1.00,935,286,933,270,130993
notch-21,true,1.00,797,293,793,277,110950
notch-22,true,1.00,467,241,465,225,61880
notch-23,true,1.00,1025,252,1023,236,138996
notch-24,true,1.00,743,281,738,265,102449
notch-25,true,1.00,1011,305,1008,278,143464
notch-26,true,1.00,665,266,661,249,91573
notch-27,true,1.00,1905,304,1905,288,276622
notch-28,true,1.00,748,254,748,237,105902
notch-29,true,1.00,2045,333,2042,317,284324
notch-30,true,1.00,821,249,820,233,109661
notch-31,true,1.00,670,270,669,254,90243
notch-32,true,1.00,645,284,641,263,89461
notch-33,true,1.00,757,255,755,239,101942
notch-34,true,1.00,616,255,614,239,85779
notch-35,true,1.00,619,267,617,251,86386
notch-36,true,1.00,934,284,933,268,128762
notch-37,true,1.00,1732,314,1729,292,248694
notch-38,true,1.00,850,305,849,274,116878
notch-39,true,1.00,564,232,561,215,76961
notch-40,true,1.00,1176,297,1172,279,166556
notch-41,true,1.00,1226,296,1224,270,169716
notch-42,true,1.00,938,262,936,246,127124
notch-43,true,1.00,700,260,697,244,98820
notch-44,true,1.00,732,249,732,233,100794
notch-45,true,1.00,761,252,760,236,104415
notch-46,true,1.00,776,261,776,245,106376
notch-47,true,1.00,921,288,918,272,128236
notch-48,true,1.00,1672,287,1672,271,233046
notch-49,true,1.00,739,272,736,250,99498
notch-50,true,1.00,622,290,622,270,89592
notch-51,true,1.00,868,260,868,239,120853
notch-52,true,1.00,811,267,809,251,111568
notch-53,true,1.00,314,264,309,246,42657
notch-54,true,1.00,1337,316,1333,298,187781
notch-55,true,1.00,1007,295,1007,279,137709
notch-56,true,1.00,720,278,720,262,98128
notch-57,true,1.00,663,288,661,272,90197
notch-58,true,1.00,1076,284,1074,268,150253
notch-59,true,1.00,1061,282,1060,261,144219
notch-60,true,1.00,970,272,969,256,132353
notch-61,true,1.00,729,241,727,225,101737
notch-62,true,1.00,780,290,776,274,109981
notch-63,true,1.00,1701,314,1698,298,251210
notch-64,true,1.00,895,246,893,230,121276
notch-65,true,1.00,1162,316,1160,296,167490
notch-66,true,1.00,880,283,877,267,124184
notch-67,true,1.00,914,245,912,229,120278
notch-68,true,1.00,526,263,523,247,71268
notch-69,true,1.00,1196,283,1193,267,166722
notch-70,true,1.00,1469,327,1466,311,209750
notch-71,true,1.00,972,247,972,231,135842
notch-72,true,1.00,732,253,731,237,102814
notch-73,true,1.00,730,258,726,242,102768
notch-74,true,1.00,580,248,580,232,84091
notch-75,true,1.00,1748,307,1745,289,248939
notch-76,true,1.00,936,289,934,272,129097
notch-77,true,1.00,1407,281,1406,265,197529
notch-78,true,1.00,858,248,855,231,119014
notch-79,true,1.00,891,290,889,273,124053
notch-80,true,1.00,402,234,401,218,52924
notch-81,true,1.00,1804,277,1804,261,250649
notch-82,true,1.00,757,258,756,242,102321
notch-83,true,1.00,960,282,958,263,134650
notch-84,true,1.00,926,260,925,244,119751
notch-85,true,1.00,1022,294,1021,276,145937
notch-86,true,1.00,899,257,898,241,125922
notch-87,true,1.00,965,249,963,233,133519
notch-88,true,1.00,1172,293,1171,276,167051
notch-89,true,1.00,1130,274,1129,258,157158
notch-90,true,1.00,1113,255,1111,239,154422
notch-91,true,1.00,1230,302,1227,286,169053
notch-92,true,1.00,907,272,907,256,126513
notch-93,true,1.00,847,278,847,262,119088
notch-94,true,1.00,1196,274,1193,257,163720
notch-95,true,1.00,563,244,561,228,75922
notch-96,true,1.00,540,258,537,242,76705
notch-97,true,1.00,1172,292,1171,276,164528
notch-98,true,1.00,1185,265,1180,248,165312
notch-99,true,1.00,1177,300,1176,278,165791
notch-100,true,1.00,651,294,649,276,91099
