level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParam-1,true,1.00,779,314,778,298,104249
notchParam-2,true,1.00,1172,338,1168,322,153060
notchParam-3,true,1.00,545,320,543,304,74810
notchParam-4,true,1.00,524,323,523,307,70269
notchParam-5,true,1.00,613,326,611,310,84568
notchParam-6,true,1.00,589,330,586,314,80553
notchParam-7,true,1.00,877,316,876,300,117346
notchParam-8,true,1.00,1107,343,1106,327,151932
notchParam-9,true,1.00,591,355,589,339,79986
notchParam-10,true,1.00,1210,337,1207,321,161458
notchParam-11,true,1.00,579,324,575,308,77289
notchParam-12,true,1.00,1254,340,1252,324,172829
notchParam-13,true,1.00,180,312,180,296,25454
notchParam-14,true,1.00,211,308,208,292,29178
notchParam-15,true,1.00,1130,314,1127,298,146090
notchParam-16,true,1.00,1151,319,1151,303,160992
notchParam-17,true,1.00,871,306,867,290,115562
notchParam-18,true,1.00,226,335,224,319,31555
notchParam-19,true,1.00,210,314,210,298,29032
notchParam-20,true,1.00,245,308,244,292,32998
notchParam-21,true,1.00,204,306,201,290,26644
notchParam-22,true,1.00,244,326,242,310,35090
notchParam-23,true,1.00,1123,341,1121,325,155236
notchParam-24,true,1.00,1299,336,1296,320,177037
notchParam-25,true,1.00,1112,328,1106,312,147841
notchParam-26,true,1.00,1123,348,1122,332,153359
notchParam-27,true,1.00,277,324,274,308,38197
notchParam-28,true,1.00,552,329,550,313,76554
notchParam-29,true,1.00,654,339,651,323,88610
notchParam-30,true,1.00,214,308,214,292,29402
notchParam-31,true,1.00,1162,332,1159,316,156087
notchParam-32,true,1.00,872,310,868,294,118592
notchParam-33,true,1.00,216,306,213,290,30106
notchParam-34,true,1.00,854,310,851,294,114690
notchParam-35,true,1.00,1155,349,1152,333,154824
notchParam-36,true,1.00,959,306,958,290,128477
notchParam-37,true,1.00,203,300,201,284,26610
notchParam-38,true,1.00,208,304,207,288,29543
notchParam-39,true,1.00,913,327,909,311,121620
notchParam-40,true,1.00,606,324,603,308,81840
notchParam-41,true,1.00,578,327,574,311,77770
notchParam-42,true,1.00,214,315,211,299,29837
notchParam-43,true,1.00,1083,341,1079,325,145884
notchParam-44,true,1.00,1121,356,1119,340,155200
notchParam-45,true,1.00,1304,344,1301,322,178286
notchParam-46,true,1.00,1076,318,1075,302,141302
notchParam-47,true,1.00,241,304,240,288,34109
notchParam-48,true,1.00,188,332,188,316,27541
notchParam-49,true,1.00,252,328,250,311,35475
notchParam-50,true,1.00,225,332,225,316,30185
notchParam-51,true,1.00,215,310,211,294,29377
notchParam-52,true,1.00,918,330,915,314,123107
notchParam-53,true,1.00,1770,370,1769,354,251671
notchParam-54,true,1.00,1202,340,1199,324,162306
notchParam-55,true,1.00,274,355,273,339,38499
notchParam-56,true,1.00,210,308,207,292,29467
notchParam-57,true,1.00,1354,353,1353,337,187307
notchParam-58,true,1.00,588,347,585,331,80532
notchParam-59,true,1.00,1350,363,1347,347,182684
notchParam-60,true,1.00,558,355,554,339,74462
notchParam-61,true,1.00,1217,339,1217,323,168678
notchParam-62,true,1.00,742,316,739,300,96817
notchParam-63,true,1.00,546,333,543,317,73020
notchParam-64,true,1.00,543,332,541,316,74894
notchParam-65,true,1.00,551,328,549,312,75986
notchParam-66,true,1.00,547,339,545,323,74836
notchParam-67,true,1.00,946,322,942,306,125245
notchParam-68,true,1.00,1002,322,999,306,128160
notchParam-69,true,1.00,858,300,855,284,109177
notchParam-70,true,1.00,1067,324,1064,308,139153
notchParam-71,true,1.00,611,334,606,318,85736
notchParam-72,true,1.00,582,334,579,318,82189
notchParam-73,true,1.00,618,328,615,312,83218
notchParam-74,true,1.00,590,342,589,326,78309
notchParam-75,true,1.00,586,322,585,306,83850
notchParam-76,true,1.00,1438,348,1437,332,194821
notchParam-77,true,1.00,544,320,541,304,74733
notchParam-78,true,1.00,1241,332,1237,316,168097
notchParam-79,true,1.00,553,328,553,312,76701
notchParam-80,true,1.00,220,310,217,294,31588
notchParam-81,true,1.00,583,337,580,321,83259
notchParam-82,true,1.00,206,305,205,289,28834
notchParam-83,true,1.00,210,302,209,286,30211
notchParam-84,true,1.00,2097,356,2096,340,277087
notchParam-85,true,1.00,1255,339,1252,323,163170
notchParam-86,true,1.00,1176,328,1174,312,159747
notchParam-87,true,1.00,249,320,245,304,35286
notchParam-88,true,1.00,239,310,236,294,31556
notchParam-89,true,1.00,213,308,211,292,29184
notchParam-90,true,1.00,211,312,209,296,30018
notchParam-91,true,1.00,1259,340,1257,324,164224
notchParam-92,true,1.00,1111,322,1109,306,147276
notchParam-93,true,1.00,1288,340,1285,324,173476
notchParam-94,true,1.00,1501,340,1499,324,200724
notchParam-95,true,1.00,1151,351,1149,335,158529
notchParam-96,true,1.00,563,328,558,312,81576
notchParam-97,true,1.00,571,320,569,304,75041
notchParam-98,true,1.00,212,308,211,292,29494
notchParam-99,true,1.00,1204,340,1200,324,162506
notchParam-100,true,1.00,909,308,906,292,118620
