level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParamRand-1,true,1.00,1373,338,1371,322,187496
notchParamRand-2,true,1.00,109,308,106,292,14887
notchParamRand-3,true,1.00,921,319,920,303,130278
notchParamRand-4,true,1.00,1575,366,1573,350,216480
notchParamRand-5,true,1.00,238,306,234,290,31512
notchParamRand-6,true,1.00,409,314,408,298,54923
notchParamRand-7,true,1.00,202,296,200,280,27514
notchParamRand-8,true,1.00,440,304,437,288,55529
notchParamRand-9,true,1.00,595,356,594,340,83233
notchParamRand-10,true,1.00,840,316,838,300,115464
notchParamRand-11,true,1.00,102,296,100,280,13018
notchParamRand-12,true,1.00,278,310,276,294,37893
notchParamRand-13,true,1.00,1646,326,1644,310,218609
notchParamRand-14,true,1.00,982,322,978,306,128528
notchParamRand-15,true,1.00,618,324,617,308,84988
notchParamRand-16,true,1.00,404,306,403,290,58380
notchParamRand-17,true,1.00,40,294,37,278,3903
notchParamRand-18,true,1.00,2096,348,2094,332,279396
notchParamRand-19,true,1.00,123,326,120,310,18097
notchParamRand-20,true,1.00,1453,349,1448,333,202879
notchParamRand-21,true,1.00,35,296,32,280,4112
notchParamRand-22,true,1.00,772,316,767,300,103982
notchParamRand-23,true,1.00,949,329,948,313,129736
notchParamRand-24,true,1.00,149,328,145,312,20681
notchParamRand-25,true,1.00,41,312,39,296,5333
notchParamRand-26,true,1.00,287,336,285,320,39022
notchParamRand-27,true,1.00,199,300,198,284,29019
notchParamRand-28,true,1.00,381,312,378,296,51490
notchParamRand-29,true,1.00,36,300,32,284,4124
notchParamRand-30,true,1.00,2693,358,2690,342,356403
notchParamRand-31,true,1.00,386,321,384,305,52827
notchParamRand-32,true,1.00,103,296,100,280,14380
notchParamRand-33,true,1.00,1739,328,1737,312,232589
notchParamRand-34,true,1.00,911,318,908,302,123041
notchParamRand-35,true,1.00,455,320,453,304,63001
notchParamRand-36,true,1.00,35,303,33,283,4064
notchParamRand-37,true,1.00,345,316,342,300,49149
notchParamRand-38,true,1.00,2752,368,2748,352,363541
notchParamRand-39,true,1.00,1935,349,1933,333,260076
notchParamRand-40,true,1.00,2520,344,2518,328,336332
notchParamRand-41,true,1.00,35,294,34,278,4044
notchParamRand-42,true,1.00,419,320,417,304,58291
notchParamRand-43,true,1.00,233,306,231,290,33506
notchParamRand-44,true,1.00,249,316,244,300,35301
notchParamRand-45,true,1.00,1083,332,1080,316,140922
notchParamRand-46,true,1.00,705,319,705,303,97235
notchParamRand-47,true,1.00,782,336,777,320,102629
notchParamRand-48,true,1.00,1504,336,1504,320,198234
notchParamRand-49,true,1.00,607,308,602,292,80410
notchParamRand-50,true,1.00,1379,354,1377,338,187751
notchParamRand-51,true,1.00,146,312,143,296,19939
notchParamRand-52,true,1.00,935,324,935,308,124277
notchParamRand-53,true,1.00,1036,330,1032,314,138697
notchParamRand-54,true,1.00,1986,370,1985,354,263020
notchParamRand-55,true,1.00,1793,324,1792,308,227165
notchParamRand-56,true,1.00,515,313,514,297,69741
notchParamRand-57,true,1.00,1040,322,1039,306,143804
notchParamRand-58,true,1.00,642,327,641,311,88793
notchParamRand-59,true,1.00,416,317,415,301,57217
notchParamRand-60,true,1.00,579,316,578,300,78010
notchParamRand-61,true,1.00,371,306,368,290,50047
notchParamRand-62,true,1.00,358,322,356,306,49759
notchParamRand-63,true,1.00,1600,340,1596,324,211224
notchParamRand-64,true,1.00,304,302,300,286,41744
notchParamRand-65,true,1.00,2170,355,2168,339,287348
notchParamRand-66,true,1.00,224,323,223,307,29860
notchParamRand-67,true,1.00,238,300,236,284,30841
notchParamRand-68,true,1.00,1584,359,1580,343,213802
notchParamRand-69,true,1.00,346,315,345,299,49284
notchParamRand-70,true,1.00,694,340,693,324,97217
notchParamRand-71,true,1.00,259,314,257,298,36125
notchParamRand-72,true,1.00,97,294,95,278,12823
notchParamRand-73,true,1.00,1651,339,1646,323,225674
notchParamRand-74,true,1.00,37,296,31,280,4240
notchParamRand-75,true,1.00,31,294,29,278,3594
notchParamRand-76,true,1.00,1036,341,1034,325,138902
notchParamRand-77,true,1.00,1976,369,1972,353,251995
notchParamRand-78,true,1.00,1170,324,1168,308,155447
notchParamRand-79,true,1.00,247,314,244,298,33669
notchParamRand-80,true,1.00,235,304,235,288,30681
notchParamRand-81,true,1.00,244,302,240,286,36168
notchParamRand-82,true,1.00,711,320,711,304,98819
notchParamRand-83,true,1.00,1272,334,1269,318,168642
notchParamRand-84,true,1.00,245,302,244,286,33659
notchParamRand-85,true,1.00,33,294,30,278,3764
notchParamRand-86,true,1.00,492,331,489,315,66730
notchParamRand-87,true,1.00,1608,335,1605,319,216308
notchParamRand-88,true,1.00,301,302,300,286,41876
notchParamRand-89,true,1.00,410,323,409,307,57131
notchParamRand-90,true,1.00,941,328,938,312,123184
notchParamRand-91,true,1.00,33,299,33,278,3666
notchParamRand-92,true,1.00,778,326,776,310,105121
notchParamRand-93,true,1.00,276,325,276,298,38683
notchParamRand-94,true,1.00,1612,324,1612,308,208966
notchParamRand-95,true,1.00,814,326,812,310,113658
notchParamRand-96,true,1.00,360,330,357,314,49128
notchParamRand-97,true,1.00,1420,376,1417,360,187641
notchParamRand-98,true,1.00,267,304,266,288,37550
notchParamRand-99,true,1.00,247,314,245,298,33329
notchParamRand-100,true,1.00,1707,330,1704,314,229997
