level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ore-1,true,1.00,2508,475,2508,457,299578
ore-2,false,0.70,2955,348,2952,348,301656
ore-3,true,1.00,1512,474,1511,450,168182
ore-4,true,1.00,3093,494,3089,472,367092
ore-5,true,1.00,1729,403,1725,387,194027
ore-6,true,1.00,2133,445,2131,417,235287
ore-7,true,1.00,1542,415,1538,398,170721
ore-8,true,1.00,3127,425,3124,398,310445
ore-9,true,1.00,1344,381,1339,364,150355
ore-10,true,1.00,1157,436,1152,414,136997
ore-11,true,1.00,2322,460,2321,441,274297
ore-12,true,1.00,2590,457,2588,439,297211
ore-13,true,1.00,2396,525,2389,495,276752
ore-14,true,1.00,1483,427,1478,400,173526
ore-15,true,1.00,3709,476,3705,450,404674
ore-16,true,1.00,1391,459,1385,442,175153
ore-17,true,1.00,1645,529,1642,504,200725
ore-18,true,1.00,2156,498,2147,469,257826
ore-19,true,1.00,2727,465,2726,449,316112
ore-20,true,1.00,1646,447,1642,430,186185
ore-21,true,1.00,2000,496,1996,477,239889
ore-22,true,1.00,1651,452,1647,434,188927
ore-23,true,1.00,1047,374,1045,358,119967
ore-24,true,1.00,1395,421,1392,397,170375
ore-25,true,1.00,1773,435,1769,417,215491
ore-26,true,1.00,1406,461,1403,444,155514
ore-27,true,1.00,2364,479,2360,458,283081
ore-28,true,1.00,2377,489,2375,473,268235
ore-29,true,1.00,2791,441,2785,424,309837
ore-30,true,1.00,1778,410,1777,393,192064
ore-31,true,1.00,1632,442,1628,409,185988
ore-32,true,1.00,1494,441,1490,421,177641
ore-33,true,1.00,1173,442,1169,417,135920
ore-34,true,1.00,4312,556,4308,519,485889
ore-35,true,1.00,1646,413,1642,397,194165
ore-36,true,1.00,1643,453,1641,432,191211
ore-37,false,0.34,2151,174,2150,174,175854
ore-38,true,1.00,1574,453,1570,426,185262
ore-39,true,1.00,1833,457,1830,439,216494
ore-40,true,1.00,1474,402,1468,384,169683
ore-41,true,1.00,1561,427,1551,408,181438
ore-42,true,1.00,1769,471,1767,454,209690
ore-43,true,1.00,2463,462,2459,445,279176
ore-44,true,1.00,1557,441,1550,413,193491
ore-45,false,0.74,22591,999,22586,999,1588927
ore-46,false,0.12,1524,84,1522,84,138842
ore-47,true,1.00,2014,484,2010,465,242395
ore-48,true,1.00,1924,416,1918,400,242024
ore-49,true,1.00,1751,447,1749,424,201918
ore-50,true,1.00,2397,485,2392,469,261524
ore-51,true,1.00,1476,404,1474,382,177180
ore-52,true,1.00,1645,464,1642,433,199204
ore-53,true,1.00,1715,407,1709,390,189642
ore-54,true,1.00,2684,545,2678,522,319146
ore-55,true,1.00,1566,437,1563,419,190880
ore-56,true,1.00,1520,396,1519,373,175094
ore-57,true,1.00,1444,439,1436,404,168585
ore-58,true,1.00,3174,471,3174,455,373037
ore-59,true,1.00,1976,470,1973,452,230760
ore-60,true,1.00,2863,428,2859,410,319518
ore-61,true,1.00,1223,440,1218,411,133380
ore-62,true,1.00,1535,386,1531,370,167981
ore-63,true,1.00,2604,465,2600,442,294838
ore-64,true,1.00,1499,429,1497,412,178566
ore-65,true,1.00,2070,449,2062,430,243847
ore-66,true,1.00,1680,478,1676,460,200701
ore-67,true,1.00,1904,440,1899,408,212479
ore-68,true,1.00,1267,404,1264,379,142270
ore-69,true,1.00,2531,530,2529,514,302216
ore-70,true,1.00,5187,628,5182,610,556499
ore-71,true,1.00,1927,449,1922,433,219674
ore-72,true,1.00,1774,445,1773,425,213974
ore-73,true,1.00,2106,455,2103,435,260346
ore-74,true,1.00,2549,455,2545,433,307618
ore-75,true,1.00,1755,461,1752,445,201434
ore-76,true,1.00,1659,431,1655,411,199338
ore-77,true,1.00,1486,417,1483,400,178052
ore-78,true,1.00,2467,465,2463,449,303859
ore-79,true,1.00,1357,437,1355,421,158310
ore-80,true,1.00,2095,452,2092,435,243916
ore-81,true,1.00,1665,462,1658,446,198096
ore-82,true,1.00,1807,429,1799,413,218169
ore-83,true,1.00,2163,439,2162,423,247729
ore-84,false,0.13,801,67,801,67,60169
ore-85,true,1.00,2040,501,2035,476,233659
ore-86,true,1.00,3037,517,3030,499,361790
ore-87,true,1.00,1286,415,1285,393,144747
ore-88,true,1.00,1737,433,1735,417,206362
ore-89,true,1.00,1757,463,1755,447,203011
ore-90,true,1.00,2316,503,2312,484,277201
ore-91,true,1.00,1686,414,1683,392,201917
ore-92,true,1.00,1618,424,1616,408,185143
ore-93,true,1.00,1850,427,1843,402,215404
ore-94,true,1.00,1578,478,1574,454,184967
ore-95,true,1.00,2422,493,2420,476,275580
ore-96,true,1.00,1381,454,1378,438,166691
ore-97,true,1.00,1611,455,1608,438,178992
ore-98,true,1.00,2165,440,2164,423,245872
ore-99,true,1.00,1799,448,1797,426,203436
ore-100,true,1.00,1414,405,1409,389,170574
