level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternCount-1,false,0.90,10794,777,10789,777,1106128
patternCount-2,true,1.00,886,430,881,414,94387
patternCount-3,false,0.92,2433,456,2432,456,244635
patternCount-4,true,1.00,1231,421,1230,405,130555
patternCount-5,true,1.00,739,447,735,429,79443
patternCount-6,true,1.00,485,403,482,387,52637
patternCount-7,true,1.00,1668,461,1667,445,180878
patternCount-8,true,1.00,3457,468,3456,443,350767
patternCount-9,true,1.00,979,436,976,420,108751
patternCount-10,true,1.00,252,394,247,378,30021
patternCount-11,true,1.00,7989,638,7983,620,804768
patternCount-12,true,1.00,546,419,543,403,58359
patternCount-13,true,1.00,550,419,545,403,61208
patternCount-14,true,1.00,1433,418,1430,369,150752
patternCount-15,true,1.00,956,428,952,412,110445
patternCount-16,true,1.00,730,432,724,416,78320
patternCount-17,true,1.00,1002,442,999,426,107538
patternCount-18,true,1.00,1016,417,1012,401,110593
patternCount-19,true,1.00,572,407,567,391,61501
patternCount-20,true,1.00,926,417,922,398,103123
patternCount-21,true,1.00,677,445,675,429,75693
patternCount-22,true,1.00,3510,472,3509,455,364122
patternCount-23,false,0.92,8670,618,8668,618,814525
patternCount-24,true,1.00,6695,555,6690,539,696816
patternCount-25,true,1.00,1355,461,1351,445,147217
patternCount-26,true,1.00,444,461,444,445,50630
patternCount-27,true,1.00,955,463,950,447,102419
patternCount-28,true,1.00,831,460,830,429,88939
patternCount-29,true,1.00,953,427,949,411,101128
patternCount-30,true,1.00,1094,466,1087,450,119996
patternCount-31,true,1.00,1101,444,1096,428,116238
patternCount-32,true,1.00,1137,478,1133,462,116218
patternCount-33,true,1.00,3740,504,3738,473,365429
patternCount-34,true,1.00,2844,517,2842,493,290659
patternCount-35,true,1.00,889,435,887,419,96227
patternCount-36,true,1.00,2374,519,2367,491,238883
patternCount-37,true,1.00,627,373,626,357,67307
patternCount-38,true,1.00,3357,515,3354,499,337708
patternCount-39,true,1.00,638,455,632,439,70771
patternCount-40,true,1.00,6422,550,6418,532,640668
patternCount-41,true,1.00,2160,459,2158,443,236635
patternCount-42,true,1.00,656,435,655,420,71245
patternCount-43,true,1.00,401,410,398,394,45895
patternCount-44,true,1.00,457,397,457,381,52745
patternCount-45,true,1.00,1023,487,1017,461,103053
patternCount-46,true,1.00,1287,407,1284,391,140743
patternCount-47,true,1.00,1786,471,1785,455,187894
patternCount-48,true,1.00,835,447,828,431,94124
patternCount-49,true,1.00,1022,488,1017,472,108016
patternCount-50,true,1.00,6307,602,6304,586,660368
patternCount-51,true,1.00,497,406,494,389,54749
patternCount-52,true,1.00,714,391,709,375,76989
patternCount-53,true,1.00,7046,544,7044,522,696854
patternCount-54,true,1.00,1613,506,1607,490,174374
patternCount-55,false,0.75,3314,372,3313,372,327187
patternCount-56,true,1.00,993,434,989,418,106963
patternCount-57,true,1.00,807,456,801,439,86345
patternCount-58,true,1.00,809,458,805,442,92972
patternCount-59,true,1.00,1852,425,1850,409,195368
patternCount-60,true,1.00,1360,443,1356,427,140950
patternCount-61,true,1.00,1203,446,1202,422,121809
patternCount-62,true,1.00,930,416,922,395,100414
patternCount-63,true,1.00,380,432,376,416,46090
patternCount-64,true,1.00,709,410,707,394,77783
patternCount-65,true,1.00,699,447,695,430,77404
patternCount-66,true,1.00,1569,456,1561,440,172636
patternCount-67,true,1.00,1859,466,1854,448,195162
patternCount-68,true,1.00,848,429,843,413,95719
patternCount-69,true,1.00,619,432,617,416,71773
patternCount-70,true,1.00,919,421,913,405,101357
patternCount-71,true,1.00,955,462,950,446,102460
patternCount-72,false,0.92,7718,573,7715,573,784114
patternCount-73,true,1.00,2298,500,2292,484,241777
patternCount-74,false,0.79,6795,535,6792,535,686822
patternCount-75,true,1.00,987,455,982,438,103350
patternCount-76,true,1.00,762,440,753,424,86041
patternCount-77,true,1.00,930,414,926,398,97594
patternCount-78,true,1.00,1493,467,1489,451,170012
patternCount-79,true,1.00,4080,476,4076,453,422652
patternCount-80,true,1.00,3325,488,3324,464,322327
patternCount-81,true,1.00,1264,484,1264,468,130233
patternCount-82,true,1.00,1256,447,1252,431,135446
patternCount-83,true,1.00,628,442,626,426,67867
patternCount-84,true,1.00,567,434,564,418,62730
patternCount-85,true,1.00,854,443,851,427,97895
patternCount-86,true,1.00,1327,477,1321,461,151526
patternCount-87,true,1.00,1137,455,1136,439,120378
patternCount-88,true,1.00,1627,488,1621,462,177518
patternCount-89,true,1.00,794,421,792,405,86929
patternCount-90,true,1.00,612,441,610,425,69246
patternCount-91,true,1.00,1986,481,1982,465,204606
patternCount-92,true,1.00,768,431,764,415,82065
patternCount-93,true,1.00,9254,619,9248,603,914664
patternCount-94,true,1.00,1113,445,1105,427,121282
patternCount-95,true,1.00,1344,455,1343,439,143764
patternCount-96,true,1.00,807,490,803,474,88456
patternCount-97,false,0.82,5952,475,5950,475,567365
patternCount-98,true,1.00,838,465,836,449,92205
patternCount-99,true,1.00,765,456,763,440,85497
patternCount-100,true,1.00,477,411,474,395,53060
