level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternOccur-1,true,1.00,628,451,627,435,69405
patternOccur-2,true,1.00,486,403,486,387,57463
patternOccur-3,true,1.00,1116,437,1114,421,128751
patternOccur-4,true,1.00,1141,465,1137,449,128292
patternOccur-5,true,1.00,1088,486,1084,470,120292
patternOccur-6,true,1.00,1381,492,1379,476,154642
patternOccur-7,true,1.00,1137,478,1132,461,122550
patternOccur-8,true,1.00,2140,458,2138,442,242143
patternOccur-9,true,1.00,2112,483,2107,465,225837
patternOccur-10,true,1.00,653,484,647,468,73259
patternOccur-11,false,0.87,2285,428,2283,428,235999
patternOccur-12,true,1.00,1269,460,1266,441,143038
patternOccur-13,true,1.00,891,485,890,469,100289
patternOccur-14,true,1.00,4668,536,4664,519,459777
patternOccur-15,true,1.00,1316,441,1309,425,144149
patternOccur-16,false,0.92,3294,465,3290,465,333097
patternOccur-17,true,1.00,1714,474,1711,458,187231
patternOccur-18,true,1.00,988,461,985,445,104157
patternOccur-19,false,0.83,6923,567,6920,567,708230
patternOccur-20,true,1.00,1383,499,1381,483,157194
patternOccur-21,true,1.00,1586,503,1581,486,180890
patternOccur-22,false,0.84,3467,471,3465,471,344848
patternOccur-23,true,1.00,1210,489,1202,473,128175
patternOccur-24,true,1.00,766,507,761,491,89138
patternOccur-25,true,1.00,1252,473,1246,457,134301
patternOccur-26,true,1.00,440,381,435,365,47174
patternOccur-27,true,1.00,5390,538,5388,516,532471
patternOccur-28,true,1.00,1503,510,1499,494,166880
patternOccur-29,true,1.00,734,459,732,433,79308
patternOccur-30,true,1.00,718,430,709,414,80183
patternOccur-31,true,1.00,10959,712,10959,692,1034004
patternOccur-32,true,1.00,5649,545,5643,528,562285
patternOccur-33,true,1.00,1534,494,1530,478,169179
patternOccur-34,true,1.00,1536,504,1531,484,165189
patternOccur-35,true,1.00,1033,452,1031,436,114705
patternOccur-36,true,1.00,4031,555,4029,536,409158
patternOccur-37,true,1.00,5596,598,5592,580,568769
patternOccur-38,true,1.00,1710,477,1707,461,194916
patternOccur-39,true,1.00,3158,496,3156,480,309016
patternOccur-40,true,1.00,1531,503,1526,487,171656
patternOccur-41,true,1.00,1337,476,1331,452,153065
patternOccur-42,false,0.88,2614,442,2611,442,261879
patternOccur-43,true,1.00,771,447,765,431,86699
patternOccur-44,true,1.00,1287,443,1282,427,141225
patternOccur-45,true,1.00,3487,556,3483,529,331178
patternOccur-46,true,1.00,1320,515,1316,499,149765
patternOccur-47,true,1.00,3652,498,3651,476,378697
patternOccur-48,true,1.00,1368,448,1366,432,152529
patternOccur-49,true,1.00,770,402,768,386,84135
patternOccur-50,true,1.00,1660,477,1654,461,176780
patternOccur-51,true,1.00,1322,508,1319,490,148306
patternOccur-52,true,1.00,1145,458,1141,442,129394
patternOccur-53,true,1.00,2171,466,2164,450,238175
patternOccur-54,true,1.00,2326,446,2321,425,255596
patternOccur-55,true,1.00,1246,455,1242,439,139531
patternOccur-56,true,1.00,1074,504,1072,488,117976
patternOccur-57,true,1.00,1643,483,1641,455,179280
patternOccur-58,true,1.00,6220,590,6217,568,599921
patternOccur-59,true,1.00,1132,484,1127,468,128667
patternOccur-60,true,1.00,2748,512,2742,484,271780
patternOccur-61,true,1.00,1314,468,1311,451,147932
patternOccur-62,true,1.00,1068,434,1061,418,122117
patternOccur-63,true,1.00,857,444,848,425,97755
patternOccur-64,true,1.00,1320,480,1316,463,142983
patternOccur-65,true,1.00,1142,473,1140,457,131663
patternOccur-66,true,1.00,1292,448,1288,432,142228
patternOccur-67,true,1.00,1509,493,1505,477,173780
patternOccur-68,true,1.00,909,441,907,425,96012
patternOccur-69,true,1.00,5446,591,5440,552,514298
patternOccur-70,false,0.87,7369,564,7368,564,744274
patternOccur-71,true,1.00,2430,474,2429,458,289381
patternOccur-72,false,0.86,2092,424,2088,424,199790
patternOccur-73,true,1.00,5903,569,5902,552,581907
patternOccur-74,true,1.00,3691,511,3686,483,358893
patternOccur-75,true,1.00,1675,471,1670,452,171769
patternOccur-76,true,1.00,1244,424,1242,408,137600
patternOccur-77,true,1.00,636,448,633,432,68947
patternOccur-78,true,1.00,602,435,598,419,66876
patternOccur-79,true,1.00,1513,503,1508,487,168387
patternOccur-80,true,1.00,4844,564,4839,542,497743
patternOccur-81,false,0.90,5153,513,5149,513,536554
patternOccur-82,true,1.00,1532,484,1531,465,150322
patternOccur-83,false,0.82,2145,392,2144,392,219378
patternOccur-84,true,1.00,1038,412,1035,396,111509
patternOccur-85,true,1.00,3336,532,3336,504,353843
patternOccur-86,true,1.00,5052,518,5048,496,489628
patternOccur-87,true,1.00,679,431,677,415,76521
patternOccur-88,true,1.00,1429,440,1426,424,158977
patternOccur-89,true,1.00,1429,486,1425,470,155922
patternOccur-90,true,1.00,1483,504,1480,485,174674
patternOccur-91,true,1.00,1808,485,1804,466,200977
patternOccur-92,true,1.00,654,420,648,404,69910
patternOccur-93,true,1.00,1246,454,1239,438,137397
patternOccur-94,false,0.91,4991,526,4986,526,483998
patternOccur-95,true,1.00,1368,492,1365,475,163543
patternOccur-96,false,0.87,4134,512,4133,512,376016
patternOccur-97,true,1.00,1284,433,1281,417,148263
patternOccur-98,false,0.90,3649,498,3643,498,345451
patternOccur-99,true,1.00,474,418,471,402,55424
patternOccur-100,true,1.00,1326,482,1323,466,138268
