level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternWeightCount-1,true,1.00,2987,524,2983,505,328363
patternWeightCount-2,true,1.00,454,418,450,396,51270
patternWeightCount-3,true,1.00,564,388,556,372,60060
patternWeightCount-4,true,1.00,832,416,829,400,91346
patternWeightCount-5,true,1.00,1817,505,1814,489,196988
patternWeightCount-6,true,1.00,2151,515,2150,499,237099
patternWeightCount-7,true,1.00,991,425,989,409,106761
patternWeightCount-8,true,1.00,582,431,579,415,53705
patternWeightCount-9,true,1.00,999,460,998,444,115085
patternWeightCount-10,true,1.00,998,442,998,426,105378
patternWeightCount-11,true,1.00,474,441,472,425,54316
patternWeightCount-12,true,1.00,904,472,903,456,97262
patternWeightCount-13,true,1.00,1062,448,1059,432,119072
patternWeightCount-14,true,1.00,629,432,624,415,71683
patternWeightCount-15,true,1.00,1465,391,1463,375,160810
patternWeightCount-16,true,1.00,3022,523,3016,503,352392
patternWeightCount-17,true,1.00,502,424,499,408,57418
patternWeightCount-18,true,1.00,984,436,982,420,112550
patternWeightCount-19,true,1.00,548,432,543,416,60932
patternWeightCount-20,false,0.62,2274,302,2270,302,239375
patternWeightCount-21,true,1.00,272,445,268,429,32147
patternWeightCount-22,true,1.00,3239,569,3236,544,370282
patternWeightCount-23,true,1.00,768,477,766,459,87888
patternWeightCount-24,true,1.00,941,448,940,424,104454
patternWeightCount-25,true,1.00,1529,434,1524,418,173762
patternWeightCount-26,true,1.00,1013,474,1010,451,118384
patternWeightCount-27,true,1.00,1634,468,1630,430,186565
patternWeightCount-28,true,1.00,1003,487,996,471,113656
patternWeightCount-29,true,1.00,1091,465,1088,449,123080
patternWeightCount-30,true,1.00,5365,528,5364,509,543110
patternWeightCount-31,true,1.00,787,456,783,440,84663
patternWeightCount-32,true,1.00,429,433,428,417,47819
patternWeightCount-33,true,1.00,733,479,731,463,84635
patternWeightCount-34,true,1.00,1292,417,1290,401,143557
patternWeightCount-35,true,1.00,1653,489,1649,473,172004
patternWeightCount-36,true,1.00,1427,473,1424,457,165330
patternWeightCount-37,true,1.00,522,420,520,404,55824
patternWeightCount-38,true,1.00,4515,531,4511,488,414307
patternWeightCount-39,true,1.00,977,439,977,422,103419
patternWeightCount-40,true,1.00,969,472,965,456,107218
patternWeightCount-41,true,1.00,1342,492,1342,474,150040
patternWeightCount-42,false,0.87,4304,474,4302,474,401755
patternWeightCount-43,true,1.00,1080,422,1078,406,117135
patternWeightCount-44,true,1.00,1179,456,1175,431,142257
patternWeightCount-45,true,1.00,3540,558,3535,509,364517
patternWeightCount-46,false,0.85,4883,511,4882,511,479339
patternWeightCount-47,true,1.00,740,450,738,434,79506
patternWeightCount-48,true,1.00,513,400,510,384,55203
patternWeightCount-49,true,1.00,710,415,708,399,76535
patternWeightCount-50,true,1.00,1255,421,1254,405,131685
patternWeightCount-51,true,1.00,1009,429,1002,402,111584
patternWeightCount-52,true,1.00,1873,470,1865,444,215219
patternWeightCount-53,true,1.00,4618,542,4615,522,465911
patternWeightCount-54,true,1.00,530,440,526,424,56788
patternWeightCount-55,true,1.00,959,417,955,401,97212
patternWeightCount-56,true,1.00,1025,471,1022,447,114455
patternWeightCount-57,true,1.00,302,401,299,385,36239
patternWeightCount-58,true,1.00,701,438,699,422,80166
patternWeightCount-59,true,1.00,323,400,319,384,35842
patternWeightCount-60,true,1.00,1016,517,1011,492,114778
patternWeightCount-61,true,1.00,955,446,951,422,107700
patternWeightCount-62,true,1.00,2715,522,2710,493,301793
patternWeightCount-63,true,1.00,1023,452,1021,436,108258
patternWeightCount-64,true,1.00,1472,459,1468,443,161399
patternWeightCount-65,true,1.00,1202,506,1197,490,130608
patternWeightCount-66,true,1.00,1469,467,1468,451,157695
patternWeightCount-67,true,1.00,756,471,752,455,78984
patternWeightCount-68,true,1.00,888,513,882,497,75394
patternWeightCount-69,true,1.00,1772,449,1770,421,190260
patternWeightCount-70,true,1.00,903,483,901,465,101355
patternWeightCount-71,true,1.00,571,399,568,382,60687
patternWeightCount-72,true,1.00,5387,521,5385,496,530915
patternWeightCount-73,true,1.00,8866,626,8861,589,909809
patternWeightCount-74,true,1.00,892,436,886,420,98604
patternWeightCount-75,true,1.00,1082,451,1079,435,124693
patternWeightCount-76,true,1.00,1597,477,1595,461,184134
patternWeightCount-77,true,1.00,1218,430,1217,414,136426
patternWeightCount-78,true,1.00,2024,506,2023,490,203630
patternWeightCount-79,true,1.00,948,421,946,405,105886
patternWeightCount-80,true,1.00,1670,494,1664,478,186450
patternWeightCount-81,true,1.00,5571,572,5570,552,538081
patternWeightCount-82,true,1.00,212,404,207,387,23775
patternWeightCount-83,true,1.00,630,399,623,383,71215
patternWeightCount-84,true,1.00,615,453,613,437,70732
patternWeightCount-85,true,1.00,1958,554,1951,524,218978
patternWeightCount-86,false,0.94,3082,451,3079,451,327056
patternWeightCount-87,false,0.78,2218,378,2217,378,219667
patternWeightCount-88,true,1.00,1973,455,1971,439,222115
patternWeightCount-89,true,1.00,584,418,580,402,65290
patternWeightCount-90,true,1.00,3847,468,3843,452,403200
patternWeightCount-91,true,1.00,856,417,851,400,96589
patternWeightCount-92,true,1.00,4516,519,4509,495,478820
patternWeightCount-93,true,1.00,4315,507,4311,485,458751
patternWeightCount-94,true,1.00,1291,466,1290,450,140850
patternWeightCount-95,true,1.00,1744,458,1740,442,189008
patternWeightCount-96,true,1.00,658,475,655,459,74458
patternWeightCount-97,true,1.00,962,377,958,361,103713
patternWeightCount-98,false,0.93,5760,511,5758,511,572197
patternWeightCount-99,true,1.00,903,442,901,426,103256
patternWeightCount-100,true,1.00,650,401,644,385,70706
