level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ge-1,false,0.40,446,85,446,85,12364
ge-2,true,1.00,579,199,577,199,15244
ge-3,true,1.00,517,199,516,199,14923
ge-4,false,0.99,719,213,718,213,20500
ge-5,true,1.00,516,199,514,199,14664
ge-6,false,0.18,410,43,409,43,11470
ge-7,true,1.00,594,201,594,201,16250
ge-8,true,1.00,515,199,515,199,14637
ge-9,true,1.00,525,199,523,199,12933
ge-10,true,1.00,518,199,517,199,14474
ge-11,false,0.18,377,42,377,42,11037
ge-12,true,1.00,516,199,515,199,14769
ge-13,false,0.48,870,109,870,109,25039
ge-14,true,1.00,522,199,522,199,15025
ge-15,true,1.00,698,206,696,206,19570
ge-16,false,0.35,466,76,465,76,12847
ge-17,true,1.00,650,202,649,202,18061
ge-18,false,0.35,463,80,461,80,12180
ge-19,true,1.00,759,216,758,216,21202
ge-20,true,1.00,519,199,518,199,14434
ge-21,true,1.00,516,199,515,199,14380
ge-22,true,1.00,516,199,516,199,14438
ge-23,false,0.81,395,163,392,163,11330
ge-24,false,0.28,377,62,377,62,11117
ge-25,true,1.00,584,205,582,205,15880
ge-26,false,1.00,445,199,444,199,12380
ge-27,true,1.00,930,212,930,212,25825
ge-28,true,1.00,517,199,513,199,14532
ge-29,true,1.00,524,201,524,201,14445
ge-30,false,0.13,360,33,360,33,10624
ge-31,false,0.29,366,63,365,63,11395
ge-32,false,0.51,424,105,423,105,11718
ge-33,true,1.00,1182,215,1182,215,32184
ge-34,true,1.00,526,199,525,199,14984
ge-35,false,0.41,390,86,390,86,10751
ge-36,false,0.81,460,167,458,167,13436
ge-37,true,1.00,519,199,519,199,14163
ge-38,false,0.79,628,175,627,175,18245
ge-39,false,0.83,491,173,490,173,13565
ge-40,true,1.00,513,199,512,199,14551
ge-41,true,1.00,511,199,510,199,13964
ge-42,false,0.22,363,51,363,51,11516
ge-43,false,0.13,358,33,357,33,11045
ge-44,false,1.00,541,206,541,206,14832
ge-45,false,0.40,431,85,431,85,12236
ge-46,true,1.00,1161,226,1161,226,31833
ge-47,true,1.00,522,199,522,199,14203
ge-48,false,0.67,667,147,667,147,19162
ge-49,true,1.00,516,199,516,199,14607
ge-50,true,1.00,749,214,748,214,20449
ge-51,true,1.00,896,212,896,212,24249
ge-52,false,0.79,423,164,423,164,12499
ge-53,true,1.00,587,203,587,203,16595
ge-54,true,1.00,1425,231,1425,231,40720
ge-55,false,0.62,404,126,404,126,10960
ge-56,true,1.00,621,204,617,204,17163
ge-57,false,0.98,411,199,411,199,11958
ge-58,false,0.48,381,99,381,99,11206
ge-59,false,0.87,362,175,361,175,10789
ge-60,true,1.00,531,201,531,201,14632
ge-61,true,1.00,522,199,522,199,14560
ge-62,true,1.00,516,199,513,199,14737
ge-63,true,1.00,524,199,523,199,15089
ge-64,false,0.62,384,127,382,127,10896
ge-65,true,1.00,708,202,706,202,19274
ge-66,false,0.30,419,67,419,67,13399
ge-67,false,0.74,445,151,443,151,12485
ge-68,true,1.00,607,202,604,202,17290
ge-69,true,1.00,511,199,509,199,14269
ge-70,false,0.89,403,179,402,179,11496
ge-71,false,0.34,409,77,408,77,13046
ge-72,false,0.69,507,145,504,145,14101
ge-73,false,1.00,404,199,402,199,11916
ge-74,false,0.25,454,60,453,60,12663
ge-75,false,0.99,766,210,765,210,21458
ge-76,true,1.00,611,201,609,201,17152
ge-77,true,1.00,1239,228,1235,228,34529
ge-78,false,0.61,436,125,436,125,12879
ge-79,true,1.00,716,213,715,213,19742
ge-80,false,0.88,443,177,441,177,12260
ge-81,true,1.00,526,199,525,199,14873
ge-82,false,0.42,416,89,416,89,11736
ge-83,false,0.45,432,95,430,95,12046
ge-84,false,0.17,363,41,362,41,10908
ge-85,false,1.00,453,199,450,199,12498
ge-86,false,0.98,448,203,444,203,13470
ge-87,true,1.00,654,209,654,209,18668
ge-88,false,0.88,583,180,580,180,16021
ge-89,false,0.36,370,77,370,77,10829
ge-90,true,1.00,514,199,511,199,14205
ge-91,true,1.00,515,199,515,199,14704
ge-92,true,1.00,526,201,525,201,14487
ge-93,true,1.00,521,199,518,199,14758
ge-94,false,0.80,395,161,391,161,11500
ge-95,false,0.56,448,116,446,116,12646
ge-96,true,1.00,704,203,703,203,19359
ge-97,false,0.82,406,166,405,166,11854
ge-98,true,1.00,513,199,513,199,13912
ge-99,true,1.00,516,199,515,199,14163
ge-100,true,1.00,518,199,517,199,13997
