level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
hopper-1,true,1.00,641,304,640,304,19179
hopper-2,true,1.00,599,298,596,298,16989
hopper-3,false,0.29,372,93,372,93,11077
hopper-4,false,0.33,385,103,385,103,12313
hopper-5,true,1.00,607,299,605,299,16781
hopper-6,true,1.00,606,297,605,297,16768
hopper-7,false,0.88,419,263,418,263,11840
hopper-8,false,0.47,391,143,390,143,11606
hopper-9,true,1.00,606,297,605,297,16811
hopper-10,true,1.00,598,297,595,297,16487
hopper-11,true,1.00,603,299,601,299,16767
hopper-12,false,1.00,436,297,433,297,12524
hopper-13,true,1.00,602,297,602,297,16595
hopper-14,true,1.00,599,297,597,297,17384
hopper-15,true,1.00,602,297,601,297,16743
hopper-16,false,0.59,400,179,400,179,11626
hopper-17,true,1.00,606,297,606,297,16724
hopper-18,true,1.00,600,297,597,297,17130
hopper-19,true,1.00,603,297,599,297,17075
hopper-20,true,1.00,604,297,602,297,16649
hopper-21,false,0.67,407,201,405,201,11668
hopper-22,false,0.38,386,117,386,117,11141
hopper-23,true,1.00,602,297,601,297,16544
hopper-24,true,1.00,606,297,605,297,16761
hopper-25,true,1.00,514,303,511,303,14019
hopper-26,true,1.00,596,297,596,297,17726
hopper-27,true,1.00,548,298,544,298,14867
hopper-28,false,0.91,501,283,500,283,14668
hopper-29,false,0.31,372,97,372,97,11574
hopper-30,true,1.00,621,301,619,301,17521
hopper-31,false,0.83,423,247,422,247,12173
hopper-32,true,1.00,599,297,594,297,16690
hopper-33,false,0.55,409,173,406,173,12467
hopper-34,false,0.36,384,113,384,113,11492
hopper-35,true,1.00,648,308,644,308,17456
hopper-36,true,1.00,605,298,604,298,16656
hopper-37,false,0.57,410,173,409,173,12880
hopper-38,true,1.00,602,297,600,297,17172
hopper-39,false,0.57,396,173,396,173,11761
hopper-40,true,1.00,663,307,661,307,18437
hopper-41,true,1.00,599,297,597,297,16913
hopper-42,true,1.00,603,297,602,297,16486
hopper-43,false,0.50,394,153,394,153,11916
hopper-44,true,1.00,608,297,607,297,16573
hopper-45,false,0.48,396,147,395,147,12024
hopper-46,false,0.73,409,219,408,219,12486
hopper-47,true,1.00,601,297,599,297,16667
hopper-48,true,1.00,597,297,597,297,16708
hopper-49,true,1.00,642,305,637,305,18587
hopper-50,false,0.67,413,203,412,203,12078
hopper-51,false,0.38,384,119,383,119,11629
hopper-52,true,1.00,613,297,611,297,16769
hopper-53,false,0.69,412,207,411,207,12100
hopper-54,true,1.00,601,297,601,297,16300
hopper-55,true,1.00,773,306,772,306,21259
hopper-56,true,1.00,608,300,607,300,17302
hopper-57,true,1.00,613,301,612,301,16946
hopper-58,false,0.63,403,189,403,189,11824
hopper-59,true,1.00,599,297,597,297,16389
hopper-60,true,1.00,611,298,611,298,17202
hopper-61,false,0.87,422,261,421,261,12192
hopper-62,true,1.00,613,299,609,299,17303
hopper-63,true,1.00,605,297,603,297,16686
hopper-64,true,1.00,600,297,597,297,16535
hopper-65,true,1.00,606,297,605,297,16816
hopper-66,false,0.79,410,237,410,237,12111
hopper-67,true,1.00,600,297,599,297,16792
hopper-68,true,1.00,610,298,608,298,16644
hopper-69,false,0.89,419,265,417,265,12525
hopper-70,true,1.00,506,297,504,297,14043
hopper-71,true,1.00,627,303,627,303,17603
hopper-72,true,1.00,605,297,603,297,16744
hopper-73,true,1.00,607,297,606,297,17078
hopper-74,true,1.00,602,297,602,297,17481
hopper-75,false,1.00,428,297,427,297,11841
hopper-76,false,0.52,396,159,395,159,11310
hopper-77,false,1.00,454,301,453,301,12764
hopper-78,true,1.00,602,297,600,297,17361
hopper-79,true,1.00,613,299,613,299,16563
hopper-80,true,1.00,601,297,598,297,16807
hopper-81,false,0.44,392,135,391,135,11369
hopper-82,false,1.00,448,301,447,301,13758
hopper-83,true,1.00,610,300,608,300,16813
hopper-84,true,1.00,638,307,638,307,17461
hopper-85,true,1.00,710,307,709,307,20531
hopper-86,true,1.00,600,297,599,297,16957
hopper-87,true,1.00,622,299,620,299,17351
hopper-88,true,1.00,605,297,601,297,16634
hopper-89,true,1.00,611,298,611,298,17049
hopper-90,true,1.00,604,297,601,297,16705
hopper-91,true,1.00,604,297,602,297,16704
hopper-92,true,1.00,606,297,604,297,16548
hopper-93,true,1.00,617,301,617,301,16980
hopper-94,false,0.69,409,209,407,209,11669
hopper-95,true,1.00,486,297,485,297,13394
hopper-96,false,0.51,404,157,403,157,11690
hopper-97,true,1.00,583,301,576,301,15585
hopper-98,true,1.00,508,297,506,297,14754
hopper-99,true,1.00,505,297,502,297,13908
hopper-100,true,1.00,603,298,603,298,16618
