level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notch-1,true,1.00,632,237,632,237,20205
notch-2,true,1.00,779,243,779,243,22123
notch-3,true,1.00,591,229,589,229,16413
notch-4,true,1.00,539,223,536,223,14977
notch-5,true,1.00,591,229,591,229,17218
notch-6,true,1.00,597,231,597,231,16880
notch-7,true,1.00,594,229,593,229,16626
notch-8,true,1.00,605,231,604,231,17152
notch-9,true,1.00,600,235,598,235,16895
notch-10,true,1.00,604,243,602,243,16908
notch-11,true,1.00,597,229,595,229,16388
notch-12,true,1.00,737,224,737,224,20542
notch-13,true,1.00,627,231,627,231,18506
notch-14,true,1.00,593,231,591,231,16493
notch-15,true,1.00,590,223,590,223,16614
notch-16,true,1.00,629,233,628,233,17898
notch-17,true,1.00,625,226,625,226,17462
notch-18,false,0.54,447,126,447,126,12999
notch-19,true,1.00,536,225,534,225,14805
notch-20,true,1.00,638,241,637,241,17686
notch-21,true,1.00,610,244,610,244,17244
notch-22,true,1.00,588,223,588,223,16746
notch-23,true,1.00,535,227,534,227,14632
notch-24,true,1.00,609,237,608,237,17257
notch-25,true,1.00,602,239,601,239,17491
notch-26,true,1.00,813,235,812,235,23103
notch-27,true,1.00,826,239,825,239,22921
notch-28,true,1.00,797,240,797,240,22171
notch-29,true,1.00,626,229,624,229,17360
notch-30,true,1.00,601,225,600,225,16399
notch-31,true,1.00,623,227,623,227,17742
notch-32,true,1.00,609,229,609,229,16811
notch-33,true,1.00,530,221,529,221,14620
notch-34,true,1.00,588,229,587,229,16345
notch-35,true,1.00,621,227,621,227,17581
notch-36,true,1.00,603,233,603,233,16871
notch-37,true,1.00,605,231,603,231,16968
notch-38,true,1.00,669,241,667,241,19363
notch-39,true,1.00,598,225,598,225,17039
notch-40,true,1.00,542,227,542,227,15487
notch-41,true,1.00,709,235,707,235,19965
notch-42,true,1.00,540,229,539,229,15081
notch-43,true,1.00,613,227,611,227,16859
notch-44,true,1.00,634,223,632,223,18095
notch-45,true,1.00,644,237,642,237,17956
notch-46,true,1.00,606,231,606,231,16974
notch-47,true,1.00,677,233,677,233,18725
notch-48,true,1.00,534,225,533,225,15262
notch-49,true,1.00,676,237,675,237,19084
notch-50,true,1.00,1568,255,1566,255,44717
notch-51,true,1.00,643,225,641,225,17996
notch-52,true,1.00,654,235,653,235,18519
notch-53,true,1.00,941,250,940,250,25798
notch-54,true,1.00,821,245,818,245,23313
notch-55,true,1.00,1196,249,1196,249,33401
notch-56,true,1.00,672,237,671,237,18533
notch-57,true,1.00,612,233,612,233,17700
notch-58,false,0.67,678,170,678,170,18787
notch-59,true,1.00,596,227,595,227,16598
notch-60,true,1.00,596,237,595,237,16972
notch-61,true,1.00,529,221,529,221,14884
notch-62,false,0.49,413,116,413,116,11548
notch-63,true,1.00,676,241,675,241,19086
notch-64,true,1.00,588,223,586,223,17547
notch-65,true,1.00,1581,273,1579,273,43700
notch-66,true,1.00,644,233,643,233,18516
notch-67,true,1.00,587,225,586,225,16404
notch-68,true,1.00,527,227,526,227,14708
notch-69,true,1.00,1127,245,1125,245,31781
notch-70,false,0.75,443,178,441,178,12713
notch-71,true,1.00,604,225,603,225,16744
notch-72,true,1.00,613,237,612,237,17643
notch-73,true,1.00,680,235,679,235,19224
notch-74,true,1.00,621,237,621,237,17394
notch-75,true,1.00,884,237,884,237,25701
notch-76,true,1.00,724,237,721,237,20376
notch-77,true,1.00,606,221,604,221,16406
notch-78,true,1.00,865,237,863,237,24564
notch-79,true,1.00,917,243,916,243,25313
notch-80,true,1.00,590,223,589,223,16993
notch-81,true,1.00,764,233,763,233,21391
notch-82,true,1.00,725,243,724,243,20339
notch-83,true,1.00,627,233,625,233,17949
notch-84,true,1.00,589,221,587,221,16541
notch-85,true,1.00,607,227,606,227,16784
notch-86,true,1.00,607,231,604,231,17290
notch-87,true,1.00,591,232,591,232,16324
notch-88,true,1.00,632,229,632,229,18455
notch-89,true,1.00,649,239,647,239,18169
notch-90,true,1.00,803,231,802,231,22722
notch-91,true,1.00,965,246,965,246,26806
notch-92,true,1.00,593,222,591,222,16746
notch-93,true,1.00,693,231,693,231,19211
notch-94,true,1.00,894,245,894,245,25146
notch-95,true,1.00,534,229,532,229,15430
notch-96,true,1.00,589,234,587,234,16343
notch-97,true,1.00,584,231,584,231,16713
notch-98,true,1.00,929,241,926,241,26178
notch-99,true,1.00,537,225,536,225,14924
notch-100,true,1.00,722,239,720,239,20548
