level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParam-1,true,1.00,640,303,639,303,19854
notchParam-2,false,1.00,719,311,718,311,20028
notchParam-3,true,1.00,653,297,652,297,18345
notchParam-4,false,1.00,476,295,474,295,13447
notchParam-5,true,1.00,609,295,608,295,16968
notchParam-6,true,1.00,607,295,606,295,16758
notchParam-7,false,1.00,790,317,788,317,21989
notchParam-8,false,0.60,533,191,532,191,15888
notchParam-9,true,1.00,1048,325,1047,325,29412
notchParam-10,true,1.00,650,299,649,299,18358
notchParam-11,true,1.00,606,295,604,295,16744
notchParam-12,false,1.00,586,308,585,308,16255
notchParam-13,true,1.00,608,295,607,295,17182
notchParam-14,true,1.00,602,295,602,295,16623
notchParam-15,true,1.00,654,301,652,301,18225
notchParam-16,false,0.71,636,227,634,227,19106
notchParam-17,false,0.39,385,121,381,121,11550
notchParam-18,false,0.09,359,33,359,33,10354
notchParam-19,true,1.00,635,297,631,297,17602
notchParam-20,true,1.00,605,295,604,295,16774
notchParam-21,true,1.00,600,295,600,295,16659
notchParam-22,false,1.00,726,311,723,311,19951
notchParam-23,false,0.73,805,239,805,239,24788
notchParam-24,true,1.00,661,300,658,300,18479
notchParam-25,false,0.86,422,253,419,253,12101
notchParam-26,true,1.00,828,312,828,312,22812
notchParam-27,true,1.00,614,297,613,297,17370
notchParam-28,false,1.00,952,334,951,334,26381
notchParam-29,true,1.00,621,297,621,297,17538
notchParam-30,true,1.00,606,295,604,295,16918
notchParam-31,false,1.00,527,303,525,303,14954
notchParam-32,false,0.39,376,121,376,121,11406
notchParam-33,true,1.00,608,295,606,295,16898
notchParam-34,true,1.00,626,299,624,299,17944
notchParam-35,false,0.71,656,221,656,221,19734
notchParam-36,false,0.39,387,121,386,121,11456
notchParam-37,true,1.00,596,295,593,295,16990
notchParam-38,true,1.00,606,295,606,295,16729
notchParam-39,true,1.00,674,301,674,301,18822
notchParam-40,true,1.00,616,295,614,295,17066
notchParam-41,true,1.00,812,311,810,311,22957
notchParam-42,true,1.00,613,297,612,297,17621
notchParam-43,true,1.00,615,295,614,295,17306
notchParam-44,true,1.00,642,303,639,303,17786
notchParam-45,false,0.35,434,109,433,109,13028
notchParam-46,false,0.60,456,181,456,181,13445
notchParam-47,true,1.00,607,295,607,295,16849
notchParam-48,false,1.00,731,311,728,311,19884
notchParam-49,true,1.00,614,297,613,297,17034
notchParam-50,false,1.00,491,295,491,295,13436
notchParam-51,true,1.00,606,295,605,295,16989
notchParam-52,false,0.39,385,121,385,121,11514
notchParam-53,true,1.00,692,301,689,301,18970
notchParam-54,false,1.00,488,299,487,299,13540
notchParam-55,false,1.00,757,313,756,313,20658
notchParam-56,true,1.00,613,295,612,295,17005
notchParam-57,true,1.00,630,299,628,299,18035
notchParam-58,false,1.00,708,311,705,311,19123
notchParam-59,false,1.00,784,319,781,319,21388
notchParam-60,true,1.00,1008,315,1007,315,27896
notchParam-61,false,0.35,506,121,505,121,14991
notchParam-62,false,0.70,404,209,402,209,11842
notchParam-63,false,1.00,678,309,675,309,18934
notchParam-64,true,1.00,614,295,611,295,16862
notchParam-65,true,1.00,620,295,618,295,17274
notchParam-66,true,1.00,829,310,829,310,23173
notchParam-67,false,0.40,460,128,459,128,13463
notchParam-68,false,1.00,520,303,519,303,14767
notchParam-69,false,0.70,406,209,405,209,12261
notchParam-70,false,0.70,419,211,417,211,12766
notchParam-71,true,1.00,703,299,699,299,19580
notchParam-72,true,1.00,837,310,834,310,22840
notchParam-73,true,1.00,611,295,610,295,18200
notchParam-74,false,1.00,682,311,680,311,18829
notchParam-75,true,1.00,971,314,966,314,26757
notchParam-76,false,1.00,610,305,608,305,16700
notchParam-77,false,1.00,724,311,724,311,19835
notchParam-78,false,0.86,427,253,427,253,12841
notchParam-79,true,1.00,638,297,637,297,17855
notchParam-80,false,0.09,360,33,360,33,10446
notchParam-81,true,1.00,823,309,821,309,23016
notchParam-82,true,1.00,621,297,619,297,17463
notchParam-83,true,1.00,605,295,602,295,16474
notchParam-84,false,1.00,806,319,805,319,22466
notchParam-85,false,1.00,727,315,726,315,20350
notchParam-86,false,0.46,398,143,397,143,11799
notchParam-87,true,1.00,606,295,605,295,16614
notchParam-88,true,1.00,623,297,622,297,17749
notchParam-89,true,1.00,602,295,599,295,17448
notchParam-90,true,1.00,609,295,609,295,16737
notchParam-91,true,1.00,616,295,614,295,16893
notchParam-92,false,0.73,471,221,471,221,14526
notchParam-93,false,0.46,408,145,407,145,12303
notchParam-94,false,1.00,530,301,528,301,14676
notchParam-95,false,0.34,650,125,650,125,18410
notchParam-96,true,1.00,614,295,612,295,16916
notchParam-97,true,1.00,614,295,611,295,16935
notchParam-98,true,1.00,606,295,604,295,16816
notchParam-99,false,1.00,495,299,494,299,13989
notchParam-100,true,1.00,673,305,671,305,18832
