level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParamRand-1,false,0.32,376,99,376,99,12513
notchParamRand-2,true,1.00,604,295,600,295,17302
notchParamRand-3,false,0.27,374,85,374,85,11481
notchParamRand-4,true,1.00,727,303,727,303,20168
notchParamRand-5,true,1.00,604,295,603,295,16793
notchParamRand-6,true,1.00,613,295,611,295,17439
notchParamRand-7,true,1.00,607,295,604,295,16651
notchParamRand-8,true,1.00,605,295,601,295,17006
notchParamRand-9,false,1.00,760,307,759,307,20997
notchParamRand-10,true,1.00,815,305,812,305,22174
notchParamRand-11,true,1.00,603,295,599,295,16523
notchParamRand-12,true,1.00,643,301,642,301,18330
notchParamRand-13,false,0.65,408,195,407,195,12456
notchParamRand-14,false,0.83,465,247,460,247,14064
notchParamRand-15,false,0.32,382,99,382,99,11242
notchParamRand-16,true,1.00,616,295,614,295,17380
notchParamRand-17,true,1.00,606,295,604,295,16489
notchParamRand-18,false,0.60,382,183,381,183,11101
notchParamRand-19,true,1.00,605,295,604,295,17333
notchParamRand-20,false,0.48,749,161,747,161,21835
notchParamRand-21,true,1.00,604,295,601,295,16588
notchParamRand-22,true,1.00,615,295,613,295,17269
notchParamRand-23,false,0.65,476,197,475,197,14785
notchParamRand-24,false,1.00,820,311,817,311,22127
notchParamRand-25,true,1.00,595,295,593,295,16318
notchParamRand-26,true,1.00,911,305,910,305,25086
notchParamRand-27,true,1.00,611,295,611,295,17057
notchParamRand-28,true,1.00,623,297,620,297,17151
notchParamRand-29,true,1.00,606,295,603,295,17082
notchParamRand-30,false,0.35,366,111,365,111,10736
notchParamRand-31,false,1.00,497,297,497,297,13575
notchParamRand-32,true,1.00,607,295,604,295,17102
notchParamRand-33,true,1.00,668,307,665,307,19049
notchParamRand-34,true,1.00,605,295,605,295,16786
notchParamRand-35,true,1.00,613,295,612,295,17287
notchParamRand-36,true,1.00,604,295,602,295,16877
notchParamRand-37,true,1.00,608,295,608,295,17153
notchParamRand-38,true,1.00,802,317,800,317,22064
notchParamRand-39,true,1.00,628,299,627,299,17983
notchParamRand-40,false,0.42,400,131,400,131,11908
notchParamRand-41,true,1.00,597,295,596,295,16864
notchParamRand-42,true,1.00,613,295,610,295,17208
notchParamRand-43,true,1.00,602,295,602,295,17278
notchParamRand-44,true,1.00,611,295,608,295,16763
notchParamRand-45,false,0.32,383,99,382,99,10951
notchParamRand-46,false,0.39,385,121,385,121,11391
notchParamRand-47,true,1.00,617,295,615,295,17651
notchParamRand-48,false,0.73,461,219,460,219,13854
notchParamRand-49,true,1.00,609,295,608,295,16782
notchParamRand-50,false,1.00,532,299,530,299,14757
notchParamRand-51,true,1.00,606,295,605,295,16692
notchParamRand-52,false,0.78,415,231,415,231,12322
notchParamRand-53,true,1.00,624,297,621,297,18056
notchParamRand-54,false,0.25,388,80,388,80,11213
notchParamRand-55,false,0.73,472,227,471,227,14831
notchParamRand-56,false,1.00,619,295,618,295,16734
notchParamRand-57,true,1.00,616,295,614,295,16917
notchParamRand-58,true,1.00,614,295,611,295,17845
notchParamRand-59,true,1.00,608,295,607,295,17139
notchParamRand-60,false,0.55,398,165,397,165,11536
notchParamRand-61,true,1.00,612,295,609,295,17156
notchParamRand-62,true,1.00,614,295,610,295,18152
notchParamRand-63,false,0.21,367,69,367,69,11251
notchParamRand-64,true,1.00,607,295,606,295,17047
notchParamRand-65,false,1.00,790,316,788,316,21880
notchParamRand-66,true,1.00,816,305,815,305,22406
notchParamRand-67,true,1.00,607,295,605,295,16556
notchParamRand-68,false,1.00,488,297,487,297,13929
notchParamRand-69,true,1.00,603,295,601,295,16720
notchParamRand-70,true,1.00,617,295,615,295,17265
notchParamRand-71,true,1.00,609,295,608,295,16897
notchParamRand-72,true,1.00,604,295,602,295,17668
notchParamRand-73,true,1.00,666,299,664,299,18534
notchParamRand-74,true,1.00,607,295,607,295,16793
notchParamRand-75,true,1.00,606,295,605,295,16565
notchParamRand-76,true,1.00,616,295,615,295,16908
notchParamRand-77,true,1.00,682,305,682,305,18610
notchParamRand-78,true,1.00,613,295,611,295,17448
notchParamRand-79,true,1.00,609,295,609,295,16867
notchParamRand-80,true,1.00,626,299,624,299,17351
notchParamRand-81,true,1.00,606,295,606,295,16865
notchParamRand-82,true,1.00,607,295,607,295,17362
notchParamRand-83,true,1.00,617,295,615,295,17172
notchParamRand-84,true,1.00,609,295,606,295,17661
notchParamRand-85,true,1.00,598,295,594,295,17002
notchParamRand-86,true,1.00,825,299,824,299,22462
notchParamRand-87,false,0.32,387,99,386,99,11476
notchParamRand-88,true,1.00,606,295,605,295,17350
notchParamRand-89,true,1.00,617,299,616,299,17110
notchParamRand-90,true,1.00,614,299,611,299,17039
notchParamRand-91,true,1.00,596,295,595,295,17001
notchParamRand-92,true,1.00,616,295,615,295,17168
notchParamRand-93,true,1.00,606,295,605,295,17593
notchParamRand-94,false,1.00,573,303,573,303,16272
notchParamRand-95,true,1.00,612,295,612,295,17450
notchParamRand-96,false,1.00,596,301,596,301,16308
notchParamRand-97,false,0.54,414,165,414,165,12075
notchParamRand-98,true,1.00,603,295,601,295,17138
notchParamRand-99,true,1.00,612,295,611,295,16922
notchParamRand-100,false,0.24,371,77,370,77,11402
