level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ore-1,true,1.00,787,315,786,315,22666
ore-2,false,0.75,462,225,462,225,13337
ore-3,true,1.00,962,331,960,331,27070
ore-4,true,1.00,749,303,747,303,20790
ore-5,false,0.38,395,117,393,117,11388
ore-6,true,1.00,1890,341,1889,341,52752
ore-7,true,1.00,649,297,646,297,18678
ore-8,false,0.19,549,71,548,71,16383
ore-9,true,1.00,913,307,911,307,26152
ore-10,false,0.37,493,125,491,125,14997
ore-11,true,1.00,983,317,980,317,25946
ore-12,false,0.51,431,159,431,159,12604
ore-13,true,1.00,681,309,679,309,19333
ore-14,true,1.00,825,317,824,317,23308
ore-15,true,1.00,1047,315,1044,315,29541
ore-16,false,0.67,482,211,481,211,13900
ore-17,true,1.00,636,295,633,295,17776
ore-18,true,1.00,690,314,688,314,19763
ore-19,true,1.00,953,328,952,328,26455
ore-20,true,1.00,1087,319,1086,319,29803
ore-21,true,1.00,757,305,755,305,21729
ore-22,false,1.00,614,315,612,315,18018
ore-23,false,0.71,437,213,435,213,12609
ore-24,true,1.00,696,305,695,305,20166
ore-25,true,1.00,782,319,780,319,21675
ore-26,false,0.40,1561,163,1561,163,44189
ore-27,false,0.30,393,95,393,95,11927
ore-28,false,0.28,454,89,452,89,12199
ore-29,false,0.09,367,35,367,35,11222
ore-30,true,1.00,635,297,633,297,18055
ore-31,true,1.00,632,295,632,295,17960
ore-32,true,1.00,1061,339,1059,339,29885
ore-33,true,1.00,674,301,673,301,18550
ore-34,false,0.28,483,99,482,99,13946
ore-35,true,1.00,647,299,646,299,18797
ore-36,false,0.84,737,274,737,274,20695
ore-37,false,0.10,377,38,377,38,10614
ore-38,true,1.00,616,291,614,291,17354
ore-39,true,1.00,1076,319,1075,319,30942
ore-40,true,1.00,1360,335,1356,335,37962
ore-41,false,0.98,512,299,511,299,14584
ore-42,false,0.66,532,207,528,207,15360
ore-43,false,0.43,658,147,655,147,19201
ore-44,true,1.00,765,319,762,319,21575
ore-45,false,0.74,26141,999,26139,999,715062
ore-46,false,0.19,386,62,385,62,10876
ore-47,false,0.10,408,37,407,37,11569
ore-48,false,0.94,503,291,501,291,14929
ore-49,true,1.00,551,305,548,305,16133
ore-50,true,1.00,670,315,670,315,18991
ore-51,false,0.14,364,47,364,47,10542
ore-52,true,1.00,917,317,916,317,27089
ore-53,true,1.00,668,303,666,303,19059
ore-54,false,0.78,565,241,563,241,16060
ore-55,true,1.00,1111,325,1110,325,31153
ore-56,false,0.99,602,311,602,311,17077
ore-57,true,1.00,1203,337,1202,337,34571
ore-58,true,1.00,843,323,842,323,23617
ore-59,true,1.00,919,321,913,321,25805
ore-60,true,1.00,1032,311,1029,311,28937
ore-61,true,1.00,806,313,804,313,22978
ore-62,false,0.84,464,249,463,249,13428
ore-63,false,0.37,626,135,626,135,18280
ore-64,false,0.71,479,221,479,221,14382
ore-65,true,1.00,738,308,734,308,22080
ore-66,false,0.33,971,123,970,123,27325
ore-67,true,1.00,1083,314,1083,314,30385
ore-68,true,1.00,838,314,836,314,24224
ore-69,true,1.00,1021,325,1016,325,29492
ore-70,false,0.98,783,310,781,310,21966
ore-71,true,1.00,1117,319,1117,319,31432
ore-72,false,0.38,791,151,790,151,22424
ore-73,false,0.22,633,77,633,77,18094
ore-74,false,0.23,402,75,400,75,11629
ore-75,false,0.40,419,127,416,127,12265
ore-76,true,1.00,683,307,683,307,20017
ore-77,true,1.00,653,295,652,295,18243
ore-78,true,1.00,652,299,651,299,19077
ore-79,true,1.00,1058,317,1058,317,29473
ore-80,true,1.00,575,309,573,309,15917
ore-81,false,0.68,1254,241,1253,241,35778
ore-82,true,1.00,692,299,690,299,19524
ore-83,true,1.00,964,325,962,325,27213
ore-84,true,1.00,727,307,726,307,20243
ore-85,true,1.00,732,315,729,315,21255
ore-86,true,1.00,694,305,693,305,19377
ore-87,false,0.29,553,107,552,107,16823
ore-88,false,0.69,432,211,431,211,12695
ore-89,false,0.56,27840,999,27839,999,772958
ore-90,true,1.00,808,311,806,311,22788
ore-91,false,0.27,391,89,391,89,12765
ore-92,false,0.83,627,273,625,273,19535
ore-93,false,0.18,569,69,569,69,16139
ore-94,false,0.71,732,239,732,239,21208
ore-95,true,1.00,1196,329,1195,329,32535
ore-96,true,1.00,845,319,844,319,24216
ore-97,true,1.00,1196,349,1194,349,34650
ore-98,true,1.00,902,339,900,339,26839
ore-99,false,0.63,544,205,540,205,16090
ore-100,false,0.43,401,131,401,131,12248
