level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternCount-1,false,0.94,669,313,669,313,21713
patternCount-2,false,0.52,706,172,705,172,20186
patternCount-3,false,0.32,521,114,521,114,15365
patternCount-4,true,1.00,582,312,578,312,16480
patternCount-5,true,1.00,1156,321,1156,321,32489
patternCount-6,true,1.00,694,307,691,307,19450
patternCount-7,false,0.63,479,201,479,201,14125
patternCount-8,false,1.00,697,331,696,331,20423
patternCount-9,true,1.00,971,316,968,316,26580
patternCount-10,true,1.00,889,315,888,315,24575
patternCount-11,true,1.00,954,337,954,337,28370
patternCount-12,true,1.00,1030,316,1030,316,28784
patternCount-13,false,0.51,434,162,433,162,12866
patternCount-14,true,1.00,902,329,898,329,25061
patternCount-15,true,1.00,812,327,811,327,22722
patternCount-16,false,0.65,419,203,419,203,12309
patternCount-17,true,1.00,934,325,932,325,26262
patternCount-18,true,1.00,623,317,620,317,17865
patternCount-19,true,1.00,704,307,703,307,19481
patternCount-20,true,1.00,918,321,917,321,25803
patternCount-21,true,1.00,1324,339,1324,339,37726
patternCount-22,true,1.00,897,338,894,338,25585
patternCount-23,true,1.00,1179,345,1176,345,34124
patternCount-24,false,0.51,569,164,569,164,15526
patternCount-25,true,1.00,1025,327,1024,327,28758
patternCount-26,false,0.17,384,58,384,58,11119
patternCount-27,false,0.79,474,251,472,251,13541
patternCount-28,true,1.00,950,319,950,319,26418
patternCount-29,false,0.22,392,76,391,76,11542
patternCount-30,true,1.00,832,321,827,321,23006
patternCount-31,false,0.48,442,154,441,154,12726
patternCount-32,true,1.00,990,314,990,314,28357
patternCount-33,false,0.93,695,298,693,298,19497
patternCount-34,true,1.00,1268,329,1267,329,35792
patternCount-35,true,1.00,906,316,906,316,25029
patternCount-36,false,1.00,471,308,465,308,13527
patternCount-37,true,1.00,638,303,637,303,17872
patternCount-38,false,0.46,412,144,409,144,11635
patternCount-39,false,0.39,514,126,514,126,14841
patternCount-40,false,0.82,1281,289,1279,289,36888
patternCount-41,true,1.00,988,323,987,323,27525
patternCount-42,true,1.00,916,315,914,315,25507
patternCount-43,false,0.55,480,174,477,174,14772
patternCount-44,true,1.00,842,314,840,314,25039
patternCount-45,false,0.87,24535,999,24535,999,665370
patternCount-46,true,1.00,1378,339,1375,339,40095
patternCount-47,true,1.00,1075,325,1075,325,30542
patternCount-48,false,0.40,528,136,528,136,15042
patternCount-49,true,1.00,589,307,588,307,16133
patternCount-50,true,1.00,1032,339,1030,339,29103
patternCount-51,true,1.00,653,305,649,305,18057
patternCount-52,true,1.00,717,311,715,311,20050
patternCount-53,true,1.00,962,345,961,345,27940
patternCount-54,false,0.30,222,102,222,102,6924
patternCount-55,false,0.59,507,191,507,191,15328
patternCount-56,true,1.00,778,318,776,318,21134
patternCount-57,true,1.00,686,305,683,305,18984
patternCount-58,false,0.84,1255,303,1251,303,35463
patternCount-59,true,1.00,1163,332,1160,332,32295
patternCount-60,true,1.00,895,314,892,314,24978
patternCount-61,false,0.29,397,94,397,94,11877
patternCount-62,true,1.00,1115,321,1111,321,31335
patternCount-63,true,1.00,735,316,735,316,20562
patternCount-64,true,1.00,638,303,633,303,18058
patternCount-65,true,1.00,908,320,907,320,25985
patternCount-66,true,1.00,961,321,961,321,26853
patternCount-67,false,1.00,840,329,838,329,24343
patternCount-68,false,0.14,225,56,224,56,6433
patternCount-69,true,1.00,1158,327,1155,327,32272
patternCount-70,true,1.00,749,315,747,315,21179
patternCount-71,true,1.00,979,314,979,314,27212
patternCount-72,true,1.00,720,321,718,321,20669
patternCount-73,false,0.19,379,74,379,74,11265
patternCount-74,true,1.00,1755,369,1755,369,49245
patternCount-75,false,0.41,1445,169,1444,169,40198
patternCount-76,true,1.00,702,311,700,311,20025
patternCount-77,false,0.72,25905,999,25904,999,705674
patternCount-78,true,1.00,985,336,984,336,27029
patternCount-79,true,1.00,1263,327,1260,327,35532
patternCount-80,false,1.00,458,303,455,303,13019
patternCount-81,true,1.00,954,323,951,323,26695
patternCount-82,true,1.00,1548,349,1544,349,43109
patternCount-83,true,1.00,842,312,841,312,22880
patternCount-84,false,0.32,1088,123,1087,123,30929
patternCount-85,false,0.14,250,50,250,50,7469
patternCount-86,true,1.00,1083,323,1078,323,30238
patternCount-87,true,1.00,1079,330,1076,330,30008
patternCount-88,true,1.00,884,317,883,317,25533
patternCount-89,true,1.00,1078,319,1078,319,30396
patternCount-90,true,1.00,1812,330,1812,330,49697
patternCount-91,false,0.59,579,190,579,190,16543
patternCount-92,true,1.00,1046,327,1042,327,29201
patternCount-93,false,0.92,672,293,672,293,18786
patternCount-94,true,1.00,990,324,989,324,27852
patternCount-95,false,0.57,503,188,501,188,15577
patternCount-96,false,0.84,450,254,450,254,12602
patternCount-97,false,0.87,667,289,666,289,20225
patternCount-98,true,1.00,1697,349,1695,349,47617
patternCount-99,true,1.00,698,311,695,311,19462
patternCount-100,false,0.59,27288,999,27287,999,744789
