level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternOccur-1,true,1.00,1329,351,1328,351,41132
patternOccur-2,false,0.87,24493,999,24489,999,672104
patternOccur-3,true,1.00,890,327,886,327,24709
patternOccur-4,false,0.46,416,148,415,148,12365
patternOccur-5,true,1.00,860,328,859,328,23990
patternOccur-6,true,1.00,1086,323,1084,323,30315
patternOccur-7,true,1.00,1602,359,1601,359,44610
patternOccur-8,true,1.00,2198,361,2196,361,61107
patternOccur-9,true,1.00,760,318,760,318,21044
patternOccur-10,true,1.00,1255,331,1251,331,35348
patternOccur-11,false,0.90,551,285,547,285,16141
patternOccur-12,true,1.00,1405,346,1404,346,39306
patternOccur-13,true,1.00,798,321,797,321,22416
patternOccur-14,true,1.00,803,331,799,331,23430
patternOccur-15,true,1.00,896,325,893,325,24829
patternOccur-16,false,0.87,690,283,689,283,19986
patternOccur-17,true,1.00,729,318,727,318,20793
patternOccur-18,true,1.00,688,313,685,313,19351
patternOccur-19,false,0.15,501,58,501,58,14619
patternOccur-20,true,1.00,1260,345,1258,345,35183
patternOccur-21,true,1.00,850,330,848,330,23112
patternOccur-22,false,0.89,1305,318,1305,318,38573
patternOccur-23,true,1.00,1351,349,1350,349,37641
patternOccur-24,true,1.00,2100,359,2096,359,58954
patternOccur-25,true,1.00,1197,337,1193,337,32972
patternOccur-26,true,1.00,733,318,730,318,20454
patternOccur-27,false,0.32,465,109,464,109,13723
patternOccur-28,true,1.00,870,327,867,327,24122
patternOccur-29,true,1.00,1345,327,1343,327,37933
patternOccur-30,true,1.00,1000,324,998,324,27506
patternOccur-31,false,0.86,611,282,608,282,17402
patternOccur-32,false,1.00,691,326,691,326,20435
patternOccur-33,true,1.00,927,324,924,324,26793
patternOccur-34,true,1.00,1063,332,1060,332,30782
patternOccur-35,true,1.00,809,330,807,330,22662
patternOccur-36,true,1.00,994,332,992,332,27796
patternOccur-37,false,1.00,1006,337,1004,337,28450
patternOccur-38,true,1.00,975,321,974,321,27261
patternOccur-39,false,0.84,599,279,597,279,18192
patternOccur-40,true,1.00,991,326,988,326,27757
patternOccur-41,true,1.00,1622,345,1622,345,45509
patternOccur-42,false,0.93,1224,331,1223,331,35352
patternOccur-43,true,1.00,914,321,912,321,26596
patternOccur-44,true,1.00,894,326,890,326,24557
patternOccur-45,true,1.00,696,313,694,313,20270
patternOccur-46,true,1.00,735,319,732,319,20840
patternOccur-47,true,1.00,808,313,807,313,22387
patternOccur-48,true,1.00,858,324,857,324,24262
patternOccur-49,true,1.00,762,323,761,323,21124
patternOccur-50,true,1.00,944,320,940,320,26762
patternOccur-51,true,1.00,1132,339,1131,339,32409
patternOccur-52,false,0.92,24180,999,24178,999,664253
patternOccur-53,true,1.00,1409,334,1408,334,38680
patternOccur-54,true,1.00,974,341,969,341,28113
patternOccur-55,true,1.00,1256,333,1254,333,34856
patternOccur-56,true,1.00,911,335,909,335,25550
patternOccur-57,true,1.00,805,325,804,325,23334
patternOccur-58,false,0.85,711,289,707,289,20830
patternOccur-59,true,1.00,863,312,860,312,23802
patternOccur-60,true,1.00,1078,347,1077,347,30960
patternOccur-61,true,1.00,704,317,703,317,19307
patternOccur-62,true,1.00,1184,332,1183,332,33352
patternOccur-63,true,1.00,798,323,797,323,22705
patternOccur-64,true,1.00,927,329,925,329,26794
patternOccur-65,false,0.55,587,194,583,194,17062
patternOccur-66,true,1.00,975,331,974,331,26965
patternOccur-67,false,0.93,870,307,867,307,24871
patternOccur-68,true,1.00,753,318,752,318,20858
patternOccur-69,true,1.00,1246,337,1245,337,35121
patternOccur-70,false,0.91,847,303,847,303,24025
patternOccur-71,true,1.00,885,341,880,341,25572
patternOccur-72,true,1.00,1572,352,1570,352,43845
patternOccur-73,false,1.00,707,326,705,326,19409
patternOccur-74,true,1.00,1613,359,1609,359,47518
patternOccur-75,true,1.00,606,319,603,319,17467
patternOccur-76,true,1.00,698,308,698,308,18933
patternOccur-77,true,1.00,1116,342,1115,342,31317
patternOccur-78,true,1.00,845,322,845,322,23804
patternOccur-79,true,1.00,1107,329,1104,329,31054
patternOccur-80,true,1.00,809,329,806,329,22604
patternOccur-81,true,1.00,604,313,599,313,17701
patternOccur-82,true,1.00,1101,348,1099,348,31318
patternOccur-83,false,0.86,1263,303,1261,303,36922
patternOccur-84,true,1.00,864,325,861,325,23628
patternOccur-85,false,1.00,1208,330,1206,330,34396
patternOccur-86,false,0.96,682,315,682,315,19972
patternOccur-87,true,1.00,940,321,936,321,26444
patternOccur-88,true,1.00,1548,343,1546,343,43186
patternOccur-89,true,1.00,1373,339,1368,339,38405
patternOccur-90,true,1.00,697,313,695,313,19403
patternOccur-91,true,1.00,1310,331,1309,331,37091
patternOccur-92,true,1.00,768,316,767,316,21240
patternOccur-93,true,1.00,1300,329,1296,329,36121
patternOccur-94,true,1.00,769,327,766,327,21997
patternOccur-95,true,1.00,1174,343,1171,343,34708
patternOccur-96,false,1.00,586,321,584,321,16711
patternOccur-97,true,1.00,785,327,782,327,22086
patternOccur-98,false,0.95,721,303,718,303,20612
patternOccur-99,true,1.00,837,319,837,319,23818
patternOccur-100,true,1.00,859,328,853,328,24040
