level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternWeightCount-1,true,1.00,729,329,727,329,24796
patternWeightCount-2,true,1.00,782,319,780,319,23061
patternWeightCount-3,true,1.00,786,313,784,313,21679
patternWeightCount-4,true,1.00,802,316,800,316,22681
patternWeightCount-5,true,1.00,1280,339,1276,339,35495
patternWeightCount-6,true,1.00,775,325,773,325,21767
patternWeightCount-7,true,1.00,707,315,707,315,19903
patternWeightCount-8,false,0.50,430,160,429,160,12104
patternWeightCount-9,true,1.00,654,315,653,315,18786
patternWeightCount-10,true,1.00,798,317,794,317,23401
patternWeightCount-11,true,1.00,666,307,665,307,18724
patternWeightCount-12,true,1.00,1502,354,1500,354,41586
patternWeightCount-13,true,1.00,726,312,726,312,20053
patternWeightCount-14,true,1.00,854,307,854,307,24694
patternWeightCount-15,true,1.00,768,319,765,319,21559
patternWeightCount-16,true,1.00,1205,341,1205,341,34724
patternWeightCount-17,true,1.00,909,314,907,314,25175
patternWeightCount-18,true,1.00,722,311,718,311,20075
patternWeightCount-19,true,1.00,765,311,764,311,21362
patternWeightCount-20,false,0.85,454,262,451,262,13291
patternWeightCount-21,true,1.00,698,310,697,310,19621
patternWeightCount-22,true,1.00,907,343,902,343,26156
patternWeightCount-23,true,1.00,1336,346,1333,346,37300
patternWeightCount-24,true,1.00,685,310,685,310,19402
patternWeightCount-25,true,1.00,1215,347,1214,347,34042
patternWeightCount-26,true,1.00,827,324,826,324,23813
patternWeightCount-27,true,1.00,1345,340,1344,340,37238
patternWeightCount-28,true,1.00,658,305,655,305,18291
patternWeightCount-29,true,1.00,737,318,736,318,20630
patternWeightCount-30,false,1.00,1114,357,1111,357,31530
patternWeightCount-31,true,1.00,879,313,879,313,24510
patternWeightCount-32,true,1.00,878,323,875,323,25883
patternWeightCount-33,true,1.00,961,325,958,325,26412
patternWeightCount-34,true,1.00,1212,329,1210,329,34197
patternWeightCount-35,true,1.00,915,329,912,329,25801
patternWeightCount-36,true,1.00,843,325,842,325,23719
patternWeightCount-37,true,1.00,1208,327,1207,327,33371
patternWeightCount-38,true,1.00,712,319,712,319,19917
patternWeightCount-39,true,1.00,766,321,762,321,22055
patternWeightCount-40,true,1.00,803,314,800,314,22191
patternWeightCount-41,true,1.00,691,309,690,309,19633
patternWeightCount-42,false,0.92,898,303,895,303,25463
patternWeightCount-43,true,1.00,878,322,876,322,24603
patternWeightCount-44,false,1.00,864,326,862,326,24460
patternWeightCount-45,false,1.00,948,345,947,345,26320
patternWeightCount-46,false,0.90,1026,310,1025,310,29311
patternWeightCount-47,true,1.00,1412,337,1411,337,41874
patternWeightCount-48,true,1.00,984,319,983,319,27234
patternWeightCount-49,true,1.00,759,313,758,313,20893
patternWeightCount-50,true,1.00,789,314,786,314,22141
patternWeightCount-51,true,1.00,1462,335,1461,335,41162
patternWeightCount-52,true,1.00,961,340,955,340,27173
patternWeightCount-53,false,0.34,622,124,622,124,17593
patternWeightCount-54,true,1.00,714,322,710,322,20782
patternWeightCount-55,false,1.00,500,307,499,307,14087
patternWeightCount-56,true,1.00,806,320,802,320,22526
patternWeightCount-57,true,1.00,1135,339,1133,339,32358
patternWeightCount-58,true,1.00,792,331,790,331,21879
patternWeightCount-59,true,1.00,1061,328,1058,328,30317
patternWeightCount-60,true,1.00,1053,325,1052,325,29534
patternWeightCount-61,true,1.00,1041,326,1038,326,29511
patternWeightCount-62,false,1.00,839,319,838,319,23727
patternWeightCount-63,true,1.00,933,329,932,329,26115
patternWeightCount-64,true,1.00,843,320,843,320,23743
patternWeightCount-65,true,1.00,1906,347,1905,347,52632
patternWeightCount-66,true,1.00,1450,337,1449,337,40873
patternWeightCount-67,false,0.55,27489,999,27489,999,756884
patternWeightCount-68,false,0.85,24970,999,24970,999,678992
patternWeightCount-69,true,1.00,867,324,866,324,24800
patternWeightCount-70,true,1.00,937,321,934,321,26950
patternWeightCount-71,true,1.00,1023,322,1023,322,28947
patternWeightCount-72,true,1.00,802,331,802,331,23094
patternWeightCount-73,false,1.00,984,347,982,347,28466
patternWeightCount-74,true,1.00,636,305,634,305,17767
patternWeightCount-75,true,1.00,912,329,908,329,26118
patternWeightCount-76,true,1.00,791,332,790,332,23021
patternWeightCount-77,true,1.00,904,326,904,326,25778
patternWeightCount-78,true,1.00,876,321,875,321,24659
patternWeightCount-79,true,1.00,1139,332,1139,332,31983
patternWeightCount-80,true,1.00,760,331,759,331,21092
patternWeightCount-81,false,0.96,843,315,840,315,24334
patternWeightCount-82,true,1.00,1119,320,1115,320,31512
patternWeightCount-83,true,1.00,694,314,690,314,18784
patternWeightCount-84,true,1.00,842,321,841,321,23782
patternWeightCount-85,true,1.00,981,324,980,324,27858
patternWeightCount-86,false,0.99,588,313,587,313,17399
patternWeightCount-87,false,0.76,461,241,461,241,13881
patternWeightCount-88,true,1.00,1015,323,1011,323,27829
patternWeightCount-89,true,1.00,691,311,690,311,19917
patternWeightCount-90,true,1.00,843,331,841,331,22985
patternWeightCount-91,true,1.00,711,311,708,311,19749
patternWeightCount-92,false,1.00,872,341,870,341,25695
patternWeightCount-93,true,1.00,473,305,472,305,13260
patternWeightCount-94,true,1.00,931,325,926,325,27094
patternWeightCount-95,true,1.00,847,314,844,314,23497
patternWeightCount-96,true,1.00,682,313,680,313,18443
patternWeightCount-97,true,1.00,720,315,719,315,20682
patternWeightCount-98,true,1.00,1132,347,1130,347,31967
patternWeightCount-99,true,1.00,1506,344,1504,344,41871
patternWeightCount-100,true,1.00,1184,336,1182,336,32857
