level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ge-1,false,0.40,1478,85,1478,85,139730
ge-2,true,1.00,3161,211,3158,211,293323
ge-3,true,1.00,4244,203,4244,203,383473
ge-4,false,0.99,2763,225,2761,225,260641
ge-5,true,1.00,3982,207,3981,207,353269
ge-6,false,0.18,483,43,483,43,46564
ge-7,true,1.00,2721,211,2720,211,248593
ge-8,true,1.00,3643,206,3641,206,336396
ge-9,true,1.00,2562,213,2560,213,239279
ge-10,true,1.00,3814,207,3814,207,343348
ge-11,true,1.00,4170,217,4170,217,381580
ge-12,true,1.00,2645,206,2645,206,243184
ge-13,false,0.49,1337,122,1337,122,128822
ge-14,true,1.00,3536,206,3535,206,319825
ge-15,true,1.00,3002,210,3001,210,281516
ge-16,false,0.45,2156,111,2155,111,195445
ge-17,true,1.00,3672,217,3669,217,332509
ge-18,false,0.35,526,90,526,90,55972
ge-19,true,1.00,2635,217,2634,217,245655
ge-20,true,1.00,3956,209,3955,209,352842
ge-21,true,1.00,4183,203,4180,203,375609
ge-22,true,1.00,4909,201,4909,201,433559
ge-23,true,1.00,3588,219,3588,219,325145
ge-24,true,1.00,3263,227,3263,227,302444
ge-25,true,1.00,4072,211,4072,211,363656
ge-26,true,1.00,2799,229,2798,229,260685
ge-27,true,1.00,3101,213,3099,213,280278
ge-28,true,1.00,3278,209,3277,209,305117
ge-29,true,1.00,4418,208,4418,208,395240
ge-30,false,0.43,1201,97,1201,97,122045
ge-31,false,0.29,615,65,614,65,65762
ge-32,false,0.51,1533,110,1533,110,140093
ge-33,true,1.00,3541,211,3539,211,321306
ge-34,true,1.00,4241,202,4241,202,385054
ge-35,false,0.41,1482,88,1481,88,137989
ge-36,false,0.49,1651,107,1651,107,164712
ge-37,true,1.00,3160,223,3160,223,297389
ge-38,true,1.00,2555,223,2551,223,238505
ge-39,false,0.83,3557,171,3557,171,320684
ge-40,true,1.00,3947,208,3947,208,357853
ge-41,true,1.00,3746,203,3745,203,337455
ge-42,false,0.40,716,87,716,87,69626
ge-43,false,0.13,345,33,344,33,36667
ge-44,false,1.00,2866,220,2865,220,261577
ge-45,false,0.40,1020,85,1020,85,96094
ge-46,true,1.00,3521,225,3521,225,319466
ge-47,true,1.00,4396,205,4395,205,395681
ge-48,false,0.67,1762,149,1760,149,170127
ge-49,true,1.00,3249,221,3246,221,297070
ge-50,true,1.00,3108,223,3104,223,289842
ge-51,true,1.00,4134,227,4133,227,377037
ge-52,false,0.79,2047,184,2047,184,193425
ge-53,true,1.00,3859,208,3858,208,350896
ge-54,true,1.00,3062,249,3061,249,296208
ge-55,false,0.61,1758,127,1757,127,164446
ge-56,true,1.00,3798,211,3797,211,344916
ge-57,false,0.98,3441,205,3440,205,310799
ge-58,false,1.00,3179,284,3179,284,300727
ge-59,true,1.00,3634,213,3632,213,332455
ge-60,true,1.00,3950,207,3950,207,356677
ge-61,true,1.00,4127,205,4127,205,374072
ge-62,true,1.00,4383,205,4382,205,389268
ge-63,true,1.00,3882,215,3880,215,349948
ge-64,false,0.62,2134,131,2134,131,181341
ge-65,true,1.00,3444,215,3442,215,315959
ge-66,true,1.00,2850,221,2849,221,266226
ge-67,true,1.00,3720,210,3720,210,327610
ge-68,true,1.00,3197,208,3196,208,290060
ge-69,true,1.00,3068,213,3067,213,283021
ge-70,false,0.89,3930,181,3929,181,365970
ge-71,true,1.00,2711,229,2711,229,252421
ge-72,false,0.69,1997,149,1995,149,180126
ge-73,false,0.99,3363,203,3363,203,310910
ge-74,false,0.51,934,125,934,125,99421
ge-75,true,1.00,4203,217,4203,217,380901
ge-76,true,1.00,3503,216,3502,216,317137
ge-77,true,1.00,2446,229,2445,229,229154
ge-78,true,1.00,4995,271,4994,271,448624
ge-79,true,1.00,3272,231,3270,231,299908
ge-80,false,0.88,3404,185,3404,185,301451
ge-81,true,1.00,4626,204,4626,204,406522
ge-82,true,1.00,5959,277,5958,277,527523
ge-83,false,0.45,1630,97,1630,97,148578
ge-84,false,0.17,348,41,347,41,40630
ge-85,false,1.00,3851,214,3851,214,342023
ge-86,true,1.00,4168,243,4168,243,378007
ge-87,true,1.00,3121,211,3120,211,287914
ge-88,true,1.00,2997,237,2997,237,276610
ge-89,false,0.85,2040,187,2036,187,193542
ge-90,true,1.00,4126,209,4126,209,371231
ge-91,true,1.00,3359,207,3359,207,300701
ge-92,true,1.00,2637,209,2635,209,244594
ge-93,true,1.00,4241,205,4241,205,383243
ge-94,true,1.00,3200,213,3198,213,289939
ge-95,false,0.56,1329,120,1329,120,122590
ge-96,true,1.00,2952,207,2952,207,270734
ge-97,false,0.82,2981,174,2979,174,270816
ge-98,true,1.00,3650,209,3649,209,330523
ge-99,true,1.00,4264,205,4264,205,377478
ge-100,true,1.00,4200,203,4200,203,373999
