level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
hopper-1,true,1.00,4140,337,4139,337,383141
hopper-2,true,1.00,5417,309,5417,309,490983
hopper-3,false,0.28,1918,125,1918,125,181402
hopper-4,false,0.33,1547,105,1547,105,152819
hopper-5,true,1.00,4543,320,4543,320,418129
hopper-6,true,1.00,5765,307,5764,307,526244
hopper-7,false,0.88,6811,273,6811,273,617053
hopper-8,false,0.46,2202,151,2201,151,204183
hopper-9,true,1.00,4601,325,4601,325,421414
hopper-10,true,1.00,8070,299,8069,299,715350
hopper-11,true,1.00,4833,309,4831,309,442948
hopper-12,false,1.00,5721,319,5717,319,520417
hopper-13,true,1.00,7093,313,7093,313,635175
hopper-14,false,0.51,2594,163,2594,163,242705
hopper-15,true,1.00,4267,321,4267,321,394925
hopper-16,false,0.59,3308,193,3306,193,306926
hopper-17,true,1.00,7740,299,7740,299,685979
hopper-18,true,1.00,4911,315,4910,315,444374
hopper-19,true,1.00,5353,314,5353,314,488523
hopper-20,true,1.00,6374,303,6373,303,568862
hopper-21,false,0.65,3433,223,3432,223,320816
hopper-22,false,0.38,1746,119,1746,119,168050
hopper-23,true,1.00,7678,325,7678,325,692459
hopper-24,true,1.00,5434,316,5433,316,492914
hopper-25,true,1.00,6714,306,6713,306,608499
hopper-26,true,1.00,7210,313,7209,313,648141
hopper-27,true,1.00,5043,311,5042,311,458505
hopper-28,false,0.91,3022,303,3019,303,291068
hopper-29,false,0.31,1401,101,1401,101,135784
hopper-30,true,1.00,4957,325,4955,325,453390
hopper-31,false,0.83,4503,263,4502,263,415540
hopper-32,true,1.00,5652,330,5652,330,514826
hopper-33,false,0.55,3818,179,3816,179,354703
hopper-34,true,1.00,4991,316,4990,316,457657
hopper-35,false,0.79,3651,249,3649,249,341089
hopper-36,true,1.00,6298,320,6298,320,565875
hopper-37,false,0.55,3285,173,3285,173,304410
hopper-38,true,1.00,4759,316,4759,316,435423
hopper-39,false,0.57,3045,179,3045,179,282457
hopper-40,true,1.00,7657,304,7657,304,682496
hopper-41,true,1.00,4230,324,4229,324,393732
hopper-42,true,1.00,4285,315,4284,315,397288
hopper-43,false,0.49,2966,217,2966,217,286581
hopper-44,true,1.00,6060,313,6059,313,543800
hopper-45,false,0.47,1874,155,1874,155,181356
hopper-46,false,0.71,4180,225,4179,225,391295
hopper-47,true,1.00,5973,313,5972,313,542671
hopper-48,true,1.00,5895,317,5895,317,536443
hopper-49,true,1.00,5257,329,5255,329,478152
hopper-50,false,0.67,4048,211,4048,211,371405
hopper-51,false,0.38,1534,127,1534,127,148306
hopper-52,true,1.00,7518,304,7517,304,675533
hopper-53,false,0.68,3106,229,3105,229,293738
hopper-54,true,1.00,6209,306,6206,306,560070
hopper-55,true,1.00,4924,322,4924,322,451188
hopper-56,true,1.00,4575,312,4571,312,420522
hopper-57,true,1.00,6968,304,6968,304,622316
hopper-58,false,0.62,2505,213,2505,213,240770
hopper-59,true,1.00,5477,308,5476,308,496867
hopper-60,true,1.00,3884,325,3883,325,357095
hopper-61,false,0.87,3731,285,3728,285,353034
hopper-62,false,0.51,2635,169,2635,169,249041
hopper-63,true,1.00,5325,315,5321,315,485363
hopper-64,true,1.00,5154,316,5152,316,468059
hopper-65,true,1.00,6217,318,6216,318,564456
hopper-66,false,0.78,4902,259,4900,259,454093
hopper-67,true,1.00,5287,311,5287,311,481357
hopper-68,true,1.00,6516,313,6515,313,584900
hopper-69,false,0.88,4438,279,4437,279,408395
hopper-70,true,1.00,5210,320,5209,320,478449
hopper-71,true,1.00,4925,311,4925,311,444632
hopper-72,true,1.00,5936,310,5935,310,538967
hopper-73,true,1.00,6334,315,6333,315,571995
hopper-74,true,1.00,5780,314,5780,314,526103
hopper-75,true,1.00,6057,307,6055,307,547427
hopper-76,false,0.51,2704,181,2704,181,254311
hopper-77,false,1.00,6227,307,6225,307,559452
hopper-78,true,1.00,7770,302,7770,302,692869
hopper-79,true,1.00,7116,307,7114,307,649276
hopper-80,true,1.00,7540,309,7540,309,675470
hopper-81,false,0.43,2201,159,2201,159,213066
hopper-82,false,0.77,3501,245,3500,245,326012
hopper-83,true,1.00,5559,320,5558,320,509245
hopper-84,true,1.00,5139,312,5139,312,463419
hopper-85,true,1.00,6940,319,6940,319,622025
hopper-86,false,0.65,4120,201,4119,201,379077
hopper-87,true,1.00,4253,319,4252,319,387340
hopper-88,false,0.48,2394,156,2394,156,221975
hopper-89,true,1.00,5058,319,5056,319,460072
hopper-90,true,1.00,4572,323,4572,323,417022
hopper-91,true,1.00,7537,305,7536,305,671345
hopper-92,true,1.00,2974,327,2974,327,279873
hopper-93,true,1.00,5898,307,5898,307,530735
hopper-94,false,0.69,4256,215,4255,215,389143
hopper-95,true,1.00,5641,313,5640,313,512534
hopper-96,false,0.42,2408,141,2408,141,227393
hopper-97,true,1.00,4486,322,4486,322,412080
hopper-98,true,1.00,4549,333,4548,333,419549
hopper-99,false,0.82,4653,278,4652,278,437202
hopper-100,true,1.00,6044,319,6043,319,568269
