level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notch-1,true,1.00,4258,261,4258,261,396199
notch-2,true,1.00,2144,253,2140,253,205927
notch-3,true,1.00,4181,245,4178,245,383211
notch-4,true,1.00,3822,227,3821,227,354053
notch-5,true,1.00,4663,241,4662,241,429282
notch-6,true,1.00,2889,251,2889,251,270327
notch-7,true,1.00,4894,235,4893,235,444879
notch-8,true,1.00,2699,261,2698,261,257579
notch-9,true,1.00,2719,265,2719,265,258272
notch-10,true,1.00,3140,267,3140,267,290600
notch-11,true,1.00,2802,259,2802,259,265285
notch-12,true,1.00,2468,235,2466,235,229617
notch-13,true,1.00,4271,249,4271,249,392115
notch-14,true,1.00,4171,248,4169,248,381217
notch-15,true,1.00,2037,239,2036,239,192843
notch-16,true,1.00,3096,255,3095,255,291340
notch-17,true,1.00,2470,231,2469,231,226014
notch-18,false,0.54,1116,140,1116,140,112035
notch-19,true,1.00,3234,239,3233,239,296661
notch-20,true,1.00,3127,243,3127,243,292802
notch-21,true,1.00,4524,247,4523,247,413387
notch-22,true,1.00,3518,237,3517,237,323626
notch-23,true,1.00,4782,245,4782,245,440770
notch-24,true,1.00,1881,251,1881,251,181941
notch-25,true,1.00,4285,248,4284,248,390308
notch-26,true,1.00,4061,253,4061,253,374175
notch-27,true,1.00,3441,242,3440,242,321393
notch-28,true,1.00,3418,273,3418,273,318758
notch-29,true,1.00,3352,239,3350,239,309810
notch-30,true,1.00,2328,245,2327,245,218434
notch-31,true,1.00,2993,239,2992,239,278847
notch-32,true,1.00,4365,239,4365,239,397387
notch-33,true,1.00,2256,251,2256,251,218038
notch-34,true,1.00,4064,245,4064,245,372362
notch-35,true,1.00,3642,237,3642,237,336803
notch-36,true,1.00,3166,281,3165,281,298334
notch-37,true,1.00,5073,243,5071,243,465888
notch-38,true,1.00,3027,257,3027,257,283610
notch-39,true,1.00,4708,231,4707,231,432620
notch-40,true,1.00,2811,237,2810,237,261830
notch-41,true,1.00,2028,257,2028,257,192204
notch-42,true,1.00,5555,229,5555,229,503872
notch-43,true,1.00,3366,237,3362,237,309544
notch-44,true,1.00,3010,243,3010,243,282080
notch-45,true,1.00,3618,247,3617,247,334080
notch-46,true,1.00,2790,264,2788,264,260668
notch-47,true,1.00,3483,245,3482,245,319755
notch-48,true,1.00,1690,235,1690,235,161916
notch-49,true,1.00,2679,245,2679,245,252785
notch-50,true,1.00,1921,263,1920,263,193988
notch-51,true,1.00,3736,233,3736,233,342265
notch-52,true,1.00,3311,251,3311,251,309033
notch-53,true,1.00,3742,261,3742,261,347781
notch-54,true,1.00,2848,265,2845,265,265517
notch-55,true,1.00,3890,265,3890,265,363098
notch-56,true,1.00,5023,249,5022,249,458922
notch-57,true,1.00,2624,258,2623,258,247525
notch-58,false,0.66,1235,176,1235,176,124227
notch-59,true,1.00,2948,237,2948,237,276707
notch-60,true,1.00,5233,239,5233,239,474765
notch-61,true,1.00,3777,242,3775,242,349334
notch-62,true,1.00,3934,250,3934,250,363083
notch-63,true,1.00,3168,257,3167,257,294082
notch-64,true,1.00,4322,237,4322,237,396583
notch-65,true,1.00,3344,303,3344,303,323965
notch-66,true,1.00,2468,249,2467,249,232638
notch-67,true,1.00,2781,237,2781,237,261299
notch-68,true,1.00,4848,231,4848,231,438265
notch-69,true,1.00,4116,259,4115,259,387443
notch-70,true,1.00,3696,255,3695,255,341665
notch-71,true,1.00,2616,239,2615,239,244822
notch-72,true,1.00,2760,247,2760,247,257520
notch-73,true,1.00,4339,249,4338,249,394597
notch-74,true,1.00,4760,227,4760,227,426369
notch-75,true,1.00,3841,253,3841,253,356213
notch-76,true,1.00,3826,243,3826,243,353194
notch-77,true,1.00,3787,241,3787,241,350848
notch-78,true,1.00,2813,253,2812,253,266624
notch-79,true,1.00,2782,267,2781,267,263808
notch-80,true,1.00,3341,237,3341,237,311381
notch-81,true,1.00,3216,255,3215,255,300664
notch-82,true,1.00,4281,253,4280,253,393790
notch-83,true,1.00,3678,251,3676,251,341727
notch-84,true,1.00,4425,232,4424,232,404530
notch-85,true,1.00,3672,237,3671,237,334294
notch-86,true,1.00,3311,237,3310,237,306734
notch-87,true,1.00,4780,235,4780,235,436725
notch-88,true,1.00,2777,235,2777,235,256669
notch-89,true,1.00,3958,245,3958,245,364786
notch-90,true,1.00,3464,245,3463,245,322134
notch-91,true,1.00,2400,239,2398,239,225640
notch-92,true,1.00,3514,229,3512,229,327791
notch-93,true,1.00,2282,241,2281,241,214163
notch-94,true,1.00,1792,266,1791,266,173663
notch-95,true,1.00,3748,237,3748,237,343394
notch-96,true,1.00,2586,253,2584,253,244179
notch-97,true,1.00,4882,249,4882,249,449946
notch-98,true,1.00,2276,257,2274,257,217886
notch-99,true,1.00,4134,233,4134,233,379777
notch-100,true,1.00,3234,247,3232,247,303748
