level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParam-1,false,0.40,1064,131,1064,131,108554
notchParam-2,false,1.00,5671,333,5671,333,518885
notchParam-3,true,1.00,4604,305,4603,305,426866
notchParam-4,false,1.00,6630,311,6630,311,602649
notchParam-5,true,1.00,3369,313,3368,313,315570
notchParam-6,false,1.00,6251,299,6249,299,562156
notchParam-7,false,1.00,4844,333,4844,333,446478
notchParam-8,true,1.00,4398,317,4395,317,407929
notchParam-9,true,1.00,3642,339,3640,339,341119
notchParam-10,true,1.00,6825,298,6823,298,621140
notchParam-11,true,1.00,6928,315,6927,315,625494
notchParam-12,false,1.00,6114,315,6114,315,558161
notchParam-13,true,1.00,7345,301,7345,301,659832
notchParam-14,false,1.00,6565,316,6565,316,591102
notchParam-15,false,1.00,5858,303,5857,303,533869
notchParam-16,true,1.00,4943,327,4941,327,455127
notchParam-17,false,0.39,1979,125,1979,125,186436
notchParam-18,true,1.00,6260,321,6257,321,567506
notchParam-19,true,1.00,4691,321,4690,321,433594
notchParam-20,true,1.00,6566,307,6565,307,594054
notchParam-21,true,1.00,5795,313,5792,313,526767
notchParam-22,false,1.00,6459,310,6458,310,583815
notchParam-23,true,1.00,4297,355,4295,355,401959
notchParam-24,true,1.00,6006,305,6004,305,544846
notchParam-25,false,1.00,6502,313,6500,313,589818
notchParam-26,true,1.00,4786,329,4785,329,447038
notchParam-27,true,1.00,6065,305,6064,305,545528
notchParam-28,false,1.00,4219,343,4217,343,392826
notchParam-29,false,1.00,4003,317,4000,317,370918
notchParam-30,false,1.00,7149,299,7149,299,643603
notchParam-31,false,1.00,5325,330,5324,330,487931
notchParam-32,false,1.00,5428,328,5427,328,493106
notchParam-33,true,1.00,5473,307,5472,307,494599
notchParam-34,false,0.39,2144,129,2144,129,202816
notchParam-35,true,1.00,5236,335,5235,335,475066
notchParam-36,false,0.40,1366,125,1366,125,133898
notchParam-37,true,1.00,7413,301,7413,301,663101
notchParam-38,true,1.00,6357,305,6355,305,579542
notchParam-39,true,1.00,5174,344,5174,344,472745
notchParam-40,true,1.00,5459,305,5458,305,496926
notchParam-41,true,1.00,5710,333,5710,333,527100
notchParam-42,true,1.00,6767,299,6766,299,608878
notchParam-43,true,1.00,7028,303,7028,303,636960
notchParam-44,true,1.00,5736,321,5736,321,524191
notchParam-45,false,0.34,1526,111,1524,111,148465
notchParam-46,false,0.60,3959,183,3959,183,372303
notchParam-47,false,1.00,6926,315,6926,315,624005
notchParam-48,false,1.00,5721,319,5718,319,520864
notchParam-49,true,1.00,4063,319,4061,319,372465
notchParam-50,false,1.00,5375,315,5374,315,491448
notchParam-51,true,1.00,6248,303,6245,303,565185
notchParam-52,true,1.00,5900,363,5900,363,544658
notchParam-53,true,1.00,6446,330,6445,330,586604
notchParam-54,false,1.00,5913,327,5912,327,541460
notchParam-55,false,1.00,6430,316,6430,316,578901
notchParam-56,true,1.00,6057,301,6056,301,546922
notchParam-57,false,0.72,4144,231,4144,231,382397
notchParam-58,false,1.00,5618,321,5617,321,512456
notchParam-59,false,1.00,4812,331,4811,331,443419
notchParam-60,true,1.00,4987,327,4986,327,459836
notchParam-61,false,0.35,1687,123,1685,123,167560
notchParam-62,true,1.00,5192,327,5191,327,476077
notchParam-63,true,1.00,5185,317,5183,317,474993
notchParam-64,false,1.00,5412,319,5410,319,493158
notchParam-65,false,1.00,6566,301,6565,301,595158
notchParam-66,true,1.00,5641,313,5640,313,512725
notchParam-67,false,1.00,4564,347,4564,347,422785
notchParam-68,true,1.00,5037,323,5036,323,459817
notchParam-69,false,0.70,3717,219,3717,219,346810
notchParam-70,false,0.71,3024,221,3023,221,284566
notchParam-71,true,1.00,4809,319,4809,319,436974
notchParam-72,true,1.00,4001,325,4000,325,371814
notchParam-73,true,1.00,3497,329,3496,329,330657
notchParam-74,false,1.00,4725,327,4724,327,434772
notchParam-75,true,1.00,5388,319,5388,319,494736
notchParam-76,true,1.00,5562,325,5562,325,510114
notchParam-77,true,1.00,3621,331,3620,331,338269
notchParam-78,false,0.86,4647,269,4646,269,431205
notchParam-79,true,1.00,7747,299,7747,299,695676
notchParam-80,true,1.00,8277,305,8277,305,741304
notchParam-81,true,1.00,5383,320,5383,320,489128
notchParam-82,true,1.00,7426,303,7426,303,669108
notchParam-83,true,1.00,6709,313,6709,313,605806
notchParam-84,false,1.00,5067,325,5065,325,466544
notchParam-85,false,1.00,5200,336,5197,336,476946
notchParam-86,true,1.00,4859,321,4858,321,449262
notchParam-87,true,1.00,6847,301,6846,301,613630
notchParam-88,true,1.00,6813,303,6813,303,613459
notchParam-89,true,1.00,7720,299,7720,299,691884
notchParam-90,false,1.00,5270,308,5268,308,479852
notchParam-91,true,1.00,7430,303,7430,303,672784
notchParam-92,false,0.60,3881,183,3880,183,357792
notchParam-93,false,0.21,1140,69,1140,69,110425
notchParam-94,true,1.00,4570,325,4568,325,422755
notchParam-95,false,0.34,1337,127,1335,127,132729
notchParam-96,false,1.00,6773,303,6772,303,611442
notchParam-97,true,1.00,6827,299,6825,299,616311
notchParam-98,true,1.00,6571,305,6571,305,595111
notchParam-99,false,1.00,6073,321,6073,321,548253
notchParam-100,false,0.70,3600,223,3600,223,331680
