level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
notchParamRand-1,true,1.00,6662,302,6662,302,600952
notchParamRand-2,false,1.00,5384,314,5383,314,486418
notchParamRand-3,false,0.82,5658,253,5657,253,519855
notchParamRand-4,false,0.60,3443,189,3442,189,320614
notchParamRand-5,false,1.00,6793,313,6793,313,613047
notchParamRand-6,false,1.00,6392,305,6391,305,581423
notchParamRand-7,true,1.00,8133,297,8132,297,730100
notchParamRand-8,true,1.00,6198,303,6197,303,559868
notchParamRand-9,false,1.00,6348,315,6347,315,576963
notchParamRand-10,true,1.00,7060,309,7060,309,639230
notchParamRand-11,false,1.00,6150,307,6150,307,560383
notchParamRand-12,true,1.00,5747,305,5747,305,526475
notchParamRand-13,false,0.88,4992,267,4991,267,462642
notchParamRand-14,true,1.00,6430,314,6430,314,583481
notchParamRand-15,false,0.32,1227,103,1226,103,123332
notchParamRand-16,false,1.00,7292,299,7290,299,651949
notchParamRand-17,true,1.00,7291,301,7290,301,656605
notchParamRand-18,true,1.00,5815,317,5815,317,537195
notchParamRand-19,true,1.00,6916,305,6916,305,624492
notchParamRand-20,false,0.60,1985,221,1983,221,197135
notchParamRand-21,false,1.00,6979,299,6979,299,628805
notchParamRand-22,true,1.00,5514,304,5514,304,501112
notchParamRand-23,false,0.64,1928,207,1927,207,188010
notchParamRand-24,true,1.00,4464,321,4464,321,408107
notchParamRand-25,true,1.00,5714,307,5711,307,516785
notchParamRand-26,true,1.00,7097,311,7097,311,644308
notchParamRand-27,true,1.00,6311,319,6309,319,572670
notchParamRand-28,false,1.00,3997,314,3997,314,372444
notchParamRand-29,true,1.00,8256,297,8256,297,736054
notchParamRand-30,false,1.00,3998,324,3996,324,374923
notchParamRand-31,false,1.00,6220,310,6219,310,561129
notchParamRand-32,true,1.00,7030,298,7030,298,629525
notchParamRand-33,false,0.86,4531,267,4531,267,421370
notchParamRand-34,true,1.00,5117,321,5117,321,466783
notchParamRand-35,false,1.00,7036,299,7034,299,629208
notchParamRand-36,false,1.00,7020,300,7020,300,632342
notchParamRand-37,true,1.00,6912,305,6912,305,626679
notchParamRand-38,false,0.60,3744,183,3743,183,347702
notchParamRand-39,false,0.47,1557,165,1555,165,152589
notchParamRand-40,true,1.00,4644,345,4644,345,430793
notchParamRand-41,true,1.00,7371,307,7371,307,659587
notchParamRand-42,true,1.00,6444,303,6442,303,584121
notchParamRand-43,true,1.00,6794,313,6794,313,615879
notchParamRand-44,false,1.00,6444,319,6444,319,580504
notchParamRand-45,false,1.00,4689,316,4687,316,423747
notchParamRand-46,false,0.39,2021,123,2021,123,191130
notchParamRand-47,true,1.00,4806,307,4805,307,445403
notchParamRand-48,false,0.73,3435,227,3434,227,329364
notchParamRand-49,true,1.00,7763,299,7761,299,699682
notchParamRand-50,false,1.00,6013,330,6013,330,550689
notchParamRand-51,true,1.00,6625,307,6625,307,601575
notchParamRand-52,false,0.78,2689,241,2689,241,259025
