level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
ore-1,true,1.00,2347,329,2346,329,218581
ore-2,false,0.75,1334,241,1334,241,137067
ore-3,true,1.00,3136,336,3136,336,293435
ore-4,true,1.00,3631,323,3629,323,337646
ore-5,true,1.00,4286,319,4285,319,396143
ore-6,true,1.00,3161,366,3159,366,307783
ore-7,true,1.00,4718,315,4711,315,433016
ore-8,false,0.19,512,71,511,71,62767
ore-9,false,0.21,596,82,595,82,65927
ore-10,false,0.37,761,123,760,123,83244
ore-11,true,1.00,2329,344,2328,344,217004
ore-12,false,0.51,1976,177,1974,177,184954
ore-13,false,1.00,3770,329,3770,329,339161
ore-14,true,1.00,2891,323,2890,323,261559
ore-15,true,1.00,1923,337,1921,337,179196
ore-16,false,0.89,3345,311,3344,311,304858
ore-17,false,0.34,724,118,724,118,69991
ore-18,false,0.67,1809,231,1809,231,171725
ore-19,true,1.00,3550,329,3547,329,315637
ore-20,false,0.64,2062,225,2062,225,194458
ore-21,true,1.00,2532,343,2528,343,230269
ore-22,false,0.64,962,211,960,211,98030
ore-23,true,1.00,2808,331,2806,331,252639
ore-24,true,1.00,2052,339,2052,339,189064
ore-25,true,1.00,4545,313,4544,313,399977
ore-26,false,0.41,2759,185,2758,185,235079
ore-27,false,0.30,1583,99,1583,99,148494
ore-28,false,0.29,1529,91,1528,91,134066
ore-29,false,0.09,451,37,450,37,47264
ore-30,true,1.00,4090,335,4089,335,365849
ore-31,true,1.00,4128,333,4126,333,372243
ore-32,true,1.00,2103,358,2099,358,195970
ore-33,true,1.00,3420,309,3420,309,303798
ore-34,false,0.28,632,99,632,99,66037
ore-35,true,1.00,2507,334,2506,334,230085
ore-36,true,1.00,3340,329,3339,329,302575
ore-37,false,0.38,1013,173,1011,173,104735
ore-38,true,1.00,2039,343,2037,343,191784
ore-39,false,0.90,2909,319,2906,319,270939
ore-40,true,1.00,2318,371,2317,371,217426
ore-41,false,1.00,3189,343,3187,343,292872
ore-42,false,0.66,1623,251,1620,251,154023
ore-43,false,0.43,911,153,909,153,91870
ore-44,false,0.13,429,46,429,46,42372
ore-45,false,0.74,27549,999,27547,999,2306326
ore-46,false,0.19,573,66,573,66,58527
ore-47,false,0.88,2726,331,2720,331,264007
ore-48,true,1.00,3432,369,3430,369,307939
ore-49,false,1.00,2779,351,2777,351,256094
ore-50,false,0.36,1110,118,1110,118,102645
ore-51,false,0.14,481,47,481,47,50695
ore-52,true,1.00,2227,330,2226,330,204211
ore-53,true,1.00,3582,330,3580,330,320948
ore-54,false,0.77,3624,253,3621,253,328051
ore-55,true,1.00,2450,372,2449,372,229571
ore-56,true,1.00,4247,315,4245,315,377281
ore-57,true,1.00,3899,349,3897,349,350950
ore-58,false,0.90,3295,321,3295,321,302812
ore-59,true,1.00,2065,355,2059,355,194252
ore-60,true,1.00,2056,329,2052,329,193436
ore-61,true,1.00,4232,332,4230,332,379585
ore-62,false,0.72,3508,239,3508,239,319371
ore-63,false,0.37,806,155,805,155,85459
ore-64,false,0.87,2802,283,2801,283,258753
ore-65,true,1.00,2831,325,2829,325,253238
ore-66,false,0.33,1252,141,1252,141,111399
ore-67,true,1.00,5314,345,5314,345,476618
ore-68,true,1.00,4110,359,4109,359,365823
ore-69,true,1.00,1908,339,1903,339,175983
ore-70,false,0.97,2043,344,2043,344,196486
ore-71,true,1.00,3542,341,3541,341,315283
ore-72,false,0.31,495,105,495,105,52429
ore-73,false,0.37,679,135,679,135,70108
ore-74,false,0.23,551,75,551,75,57062
ore-75,false,0.40,1355,131,1355,131,125734
ore-76,true,1.00,4407,315,4404,315,388175
ore-77,true,1.00,2726,335,2725,335,246356
ore-78,true,1.00,2251,353,2250,353,204711
ore-79,true,1.00,3037,327,3035,327,274239
ore-80,true,1.00,4954,311,4951,311,438937
ore-81,false,0.68,1362,243,1361,243,133178
ore-82,true,1.00,2428,327,2427,327,219895
ore-83,true,1.00,4372,321,4372,321,389128
ore-84,false,0.37,780,129,778,129,75650
ore-85,true,1.00,2846,333,2844,333,256346
ore-86,false,0.49,2012,175,2011,175,183936
ore-87,false,0.27,600,102,599,102,58899
ore-88,false,0.36,3100,199,3099,199,271037
ore-89,true,1.00,3765,339,3761,339,345580
ore-90,true,1.00,3434,345,3432,345,309068
ore-91,true,1.00,3263,325,3262,325,291114
ore-92,true,1.00,3701,335,3699,335,332624
ore-93,false,0.18,1287,107,1287,107,115254
ore-94,true,1.00,2301,357,2299,357,214811
ore-95,true,1.00,3244,341,3242,341,293300
ore-96,false,0.72,2402,231,2400,231,221066
ore-97,true,1.00,3065,355,3064,355,278135
ore-98,true,1.00,2886,341,2886,341,262620
ore-99,false,0.63,1224,215,1223,215,122487
ore-100,false,0.43,2149,142,2149,142,197162
