level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternCount-1,false,0.94,2800,361,2798,361,267519
patternCount-2,true,1.00,2709,365,2707,365,251245
patternCount-3,false,0.77,2032,264,2024,264,187899
patternCount-4,true,1.00,3356,343,3353,343,308128
patternCount-5,true,1.00,5239,327,5238,327,466227
patternCount-6,true,1.00,3946,315,3944,315,352020
patternCount-7,true,1.00,3133,357,3129,357,289242
patternCount-8,false,1.00,5543,332,5542,332,489607
patternCount-9,true,1.00,3652,343,3649,343,334754
patternCount-10,true,1.00,4598,323,4597,323,406599
patternCount-11,false,0.85,1704,299,1699,299,167233
patternCount-12,true,1.00,3356,333,3355,333,307365
patternCount-13,true,1.00,3414,319,3411,319,305648
patternCount-14,false,0.18,758,62,758,62,69123
patternCount-15,true,1.00,4129,340,4126,340,366440
patternCount-16,true,1.00,3636,343,3633,343,327334
patternCount-17,true,1.00,4688,327,4686,327,412185
patternCount-18,true,1.00,4855,324,4855,324,429094
patternCount-19,true,1.00,4273,309,4272,309,377290
patternCount-20,true,1.00,5208,310,5208,310,459334
patternCount-21,true,1.00,3507,359,3505,359,319413
patternCount-22,true,1.00,2058,355,2057,355,197001
patternCount-23,false,0.88,2452,353,2449,353,233962
patternCount-24,false,0.51,1823,174,1823,174,169335
patternCount-25,true,1.00,6507,332,6506,332,577814
patternCount-26,true,1.00,4285,337,4284,337,378618
patternCount-27,true,1.00,2628,319,2624,319,238839
patternCount-28,true,1.00,2856,331,2855,331,260065
patternCount-29,false,0.22,1089,76,1089,76,104515
patternCount-30,true,1.00,3308,341,3307,341,300456
patternCount-31,false,0.75,1462,240,1459,240,145918
patternCount-32,false,0.64,4013,196,4013,196,353466
patternCount-33,true,1.00,2325,330,2324,330,212191
patternCount-34,true,1.00,2784,327,2781,327,255835
patternCount-35,true,1.00,3138,347,3136,347,282178
patternCount-36,false,1.00,2503,315,2501,315,228211
patternCount-37,true,1.00,4943,311,4942,311,431231
patternCount-38,true,1.00,5098,322,5098,322,441307
patternCount-39,true,1.00,4041,345,4040,345,363100
patternCount-40,false,1.00,1949,355,1948,355,191199
patternCount-41,true,1.00,3152,352,3149,352,290891
patternCount-42,true,1.00,3906,351,3903,351,350717
patternCount-43,true,1.00,4101,343,4100,343,368880
patternCount-44,true,1.00,4019,324,4017,324,357119
patternCount-45,false,0.87,26304,999,26304,999,2208290
patternCount-46,true,1.00,4746,334,4745,334,423180
patternCount-47,true,1.00,4562,326,4560,326,401952
patternCount-48,false,0.40,1197,136,1197,136,113598
patternCount-49,true,1.00,4630,325,4627,325,402087
patternCount-50,true,1.00,4333,413,4329,413,385958
patternCount-51,false,0.45,2011,144,2011,144,185035
patternCount-52,true,1.00,6394,309,6393,309,556493
patternCount-53,true,1.00,4533,371,4531,371,405094
patternCount-54,true,1.00,3624,343,3621,343,324563
patternCount-55,false,0.59,1677,191,1676,191,158417
patternCount-56,true,1.00,3431,333,3431,333,303099
patternCount-57,true,1.00,4777,321,4773,321,421904
patternCount-58,false,0.67,1493,255,1489,255,146672
patternCount-59,true,1.00,4709,338,4708,338,423078
patternCount-60,true,1.00,4797,327,4795,327,421937
patternCount-61,true,1.00,3606,329,3604,329,316205
patternCount-62,true,1.00,1839,347,1835,347,178128
patternCount-63,true,1.00,3026,322,3025,322,269817
patternCount-64,true,1.00,4134,343,4133,343,370324
patternCount-65,true,1.00,4233,322,4232,322,374937
patternCount-66,true,1.00,4770,347,4770,347,424217
patternCount-67,false,1.00,3546,341,3545,341,317335
patternCount-68,true,1.00,4425,336,4424,336,401317
patternCount-69,true,1.00,4340,329,4339,329,385964
patternCount-70,true,1.00,3745,339,3745,339,339526
patternCount-71,true,1.00,2248,340,2244,340,204656
patternCount-72,false,0.86,4401,319,4401,319,396873
patternCount-73,true,1.00,2317,341,2313,341,213659
patternCount-74,false,0.87,2956,339,2956,339,273397
patternCount-75,true,1.00,4491,361,4488,361,400301
patternCount-76,true,1.00,2450,339,2446,339,224958
patternCount-77,true,1.00,3451,390,3449,390,318622
patternCount-78,true,1.00,3370,369,3366,369,307741
patternCount-79,true,1.00,4143,389,4140,389,374360
patternCount-80,false,0.69,1713,222,1712,222,158708
patternCount-81,true,1.00,3152,365,3151,365,287228
patternCount-82,true,1.00,5833,347,5832,347,510243
patternCount-83,true,1.00,3057,343,3056,343,287126
patternCount-84,true,1.00,3022,341,3021,341,276706
patternCount-85,true,1.00,4025,345,4023,345,366648
patternCount-86,true,1.00,2725,345,2723,345,249320
patternCount-87,false,0.45,1060,166,1059,166,99811
patternCount-88,true,1.00,4633,361,4632,361,416778
patternCount-89,true,1.00,5382,331,5381,331,478743
patternCount-90,true,1.00,4406,329,4406,329,389434
patternCount-91,true,1.00,2796,329,2795,329,256018
patternCount-92,true,1.00,5720,319,5719,319,496017
patternCount-93,true,1.00,2210,356,2206,356,203498
patternCount-94,true,1.00,4308,353,4307,353,383186
patternCount-95,true,1.00,3922,334,3920,334,351975
patternCount-96,false,0.84,5142,266,5140,266,458217
patternCount-97,false,0.87,2052,335,2048,335,198369
patternCount-98,true,1.00,3027,345,3027,345,275599
patternCount-99,true,1.00,4930,321,4923,321,439583
patternCount-100,true,1.00,3560,339,3559,339,320612
