level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternOccur-1,true,1.00,3197,337,3194,337,289893
patternOccur-2,true,1.00,3116,357,3110,357,287855
patternOccur-3,true,1.00,3008,353,3006,353,274388
patternOccur-4,true,1.00,4011,365,4010,365,360926
patternOccur-5,true,1.00,3260,341,3257,341,294566
patternOccur-6,true,1.00,3407,361,3404,361,305915
patternOccur-7,true,1.00,3486,360,3483,360,317321
patternOccur-8,true,1.00,2580,411,2578,411,247196
patternOccur-9,true,1.00,2939,360,2937,360,268365
patternOccur-10,true,1.00,2570,375,2564,375,241898
patternOccur-11,false,0.91,2280,307,2278,307,210942
patternOccur-12,true,1.00,4429,403,4427,403,405413
patternOccur-13,true,1.00,2591,371,2589,371,242903
patternOccur-14,true,1.00,2960,347,2957,347,271220
patternOccur-15,true,1.00,3478,337,3476,337,316136
patternOccur-16,true,1.00,2877,345,2876,345,264264
patternOccur-17,true,1.00,3704,353,3702,353,334153
patternOccur-18,true,1.00,4114,355,4112,355,372301
patternOccur-19,false,0.89,3193,346,3190,346,299959
patternOccur-20,true,1.00,2637,365,2637,365,248422
patternOccur-21,true,1.00,2871,345,2867,345,262440
patternOccur-22,false,0.89,1707,339,1706,339,171114
patternOccur-23,true,1.00,2981,339,2980,339,270782
patternOccur-24,true,1.00,4103,333,4102,333,365853
patternOccur-25,true,1.00,4604,327,4603,327,404796
patternOccur-26,true,1.00,3260,346,3259,346,291505
patternOccur-27,true,1.00,2205,367,2202,367,210981
patternOccur-28,true,1.00,3484,347,3482,347,317810
patternOccur-29,true,1.00,3189,333,3189,333,288552
patternOccur-30,true,1.00,2482,338,2481,338,231266
patternOccur-31,true,1.00,3590,334,3589,334,367944
patternOccur-32,true,1.00,4890,335,4889,335,451426
patternOccur-33,true,1.00,3783,360,3781,360,343772
patternOccur-34,true,1.00,3907,351,3903,351,350981
patternOccur-35,true,1.00,2718,334,2715,334,246697
patternOccur-36,true,1.00,2595,359,2595,359,238758
patternOccur-37,true,1.00,2860,393,2859,393,270234
patternOccur-38,true,1.00,3726,357,3726,357,334355
patternOccur-39,false,0.84,2164,335,2163,335,209352
patternOccur-40,true,1.00,3945,333,3944,333,355521
patternOccur-41,true,1.00,2954,375,2952,375,267531
patternOccur-42,false,0.95,2483,369,2480,369,238567
patternOccur-43,true,1.00,4009,329,4007,329,356618
patternOccur-44,true,1.00,3263,367,3260,367,299891
patternOccur-45,true,1.00,4233,331,4231,331,394232
patternOccur-46,true,1.00,4305,335,4305,335,382709
patternOccur-47,true,1.00,3777,379,3773,379,344431
patternOccur-48,true,1.00,2854,353,2853,353,258874
patternOccur-49,true,1.00,3679,345,3678,345,330269
patternOccur-50,true,1.00,3934,331,3934,331,355801
patternOccur-51,true,1.00,4929,335,4929,335,439801
patternOccur-52,true,1.00,3144,375,3140,375,298526
patternOccur-53,true,1.00,3394,343,3393,343,306631
patternOccur-54,true,1.00,2276,372,2274,372,213622
patternOccur-55,true,1.00,3886,363,3883,363,353323
patternOccur-56,true,1.00,2693,357,2691,357,248207
patternOccur-57,true,1.00,2816,381,2815,381,263737
patternOccur-58,true,1.00,3397,403,3393,403,313379
patternOccur-59,true,1.00,3755,355,3754,355,339030
patternOccur-60,false,1.00,1984,360,1980,360,185692
patternOccur-61,true,1.00,3999,341,3997,341,359636
patternOccur-62,true,1.00,3408,357,3406,357,312537
patternOccur-63,true,1.00,4149,334,4146,334,375028
patternOccur-64,true,1.00,3987,324,3985,324,356657
patternOccur-65,true,1.00,3419,373,3417,373,309006
patternOccur-66,true,1.00,4015,341,4014,341,358555
patternOccur-67,false,0.92,2561,341,2558,341,240868
patternOccur-68,true,1.00,3193,326,3191,326,288815
patternOccur-69,false,0.90,3428,371,3426,371,315389
patternOccur-70,false,0.92,2888,353,2885,353,271101
patternOccur-71,true,1.00,4045,368,4045,368,364231
patternOccur-72,false,0.92,2086,347,2083,347,204290
patternOccur-73,false,1.00,2616,355,2614,355,244418
patternOccur-74,true,1.00,2101,362,2097,362,199697
patternOccur-75,true,1.00,2932,336,2931,336,267147
patternOccur-76,true,1.00,3760,327,3757,327,340595
patternOccur-77,true,1.00,4284,332,4283,332,380697
patternOccur-78,true,1.00,2430,359,2427,359,226852
patternOccur-79,true,1.00,2918,329,2917,329,262257
patternOccur-80,true,1.00,2801,353,2796,353,261457
patternOccur-81,false,0.95,3246,407,3244,407,302448
patternOccur-82,false,0.99,3555,385,3554,385,329605
patternOccur-83,false,0.87,2808,373,2808,373,264828
patternOccur-84,true,1.00,4539,353,4537,353,413854
patternOccur-85,true,1.00,2464,361,2460,361,237160
patternOccur-86,true,1.00,2850,345,2849,345,261468
patternOccur-87,true,1.00,4041,334,4039,334,362275
patternOccur-88,true,1.00,3039,361,3036,361,279870
patternOccur-89,true,1.00,3155,336,3153,336,285847
patternOccur-90,true,1.00,3675,322,3675,322,331547
patternOccur-91,true,1.00,3224,355,3223,355,290598
patternOccur-92,true,1.00,3630,358,3625,358,331740
patternOccur-93,true,1.00,3422,369,3420,369,311800
patternOccur-94,true,1.00,3218,345,3218,345,291179
patternOccur-95,true,1.00,3442,359,3442,359,316565
patternOccur-96,false,0.99,2652,334,2651,334,255696
patternOccur-97,true,1.00,3604,375,3599,375,327245
patternOccur-98,false,0.95,3734,367,3732,367,343948
patternOccur-99,true,1.00,3456,337,3453,337,312980
patternOccur-100,true,1.00,1994,359,1991,359,188892
