level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated
patternWeightCount-1,true,1.00,2131,349,2128,349,201306
patternWeightCount-2,true,1.00,4531,327,4530,327,402882
patternWeightCount-3,true,1.00,3035,337,3035,337,273870
patternWeightCount-4,true,1.00,4847,321,4846,321,430392
patternWeightCount-5,true,1.00,2600,345,2599,345,239902
patternWeightCount-6,true,1.00,3076,371,3072,371,282804
patternWeightCount-7,true,1.00,4067,331,4067,331,364222
patternWeightCount-8,false,0.64,26762,999,26761,999,2243985
patternWeightCount-9,true,1.00,3565,361,3563,361,323097
patternWeightCount-10,true,1.00,2994,343,2992,343,277668
patternWeightCount-11,true,1.00,3490,332,3488,332,309847
patternWeightCount-12,true,1.00,3098,342,3097,342,283131
patternWeightCount-13,true,1.00,5421,318,5420,318,478254
patternWeightCount-14,true,1.00,3819,335,3818,335,342591
patternWeightCount-15,true,1.00,4298,337,4298,337,384471
patternWeightCount-16,true,1.00,3683,377,3681,377,337430
patternWeightCount-17,true,1.00,3210,337,3208,337,289901
patternWeightCount-18,true,1.00,4374,349,4372,349,395914
patternWeightCount-19,true,1.00,3579,332,3578,332,325860
patternWeightCount-20,true,1.00,4082,312,4081,312,399901
patternWeightCount-21,true,1.00,2590,350,2587,350,238617
patternWeightCount-22,true,1.00,4992,363,4990,363,447910
patternWeightCount-23,true,1.00,3778,367,3778,367,341300
patternWeightCount-24,true,1.00,4855,326,4853,326,435084
patternWeightCount-25,false,0.35,638,116,636,116,64198
patternWeightCount-26,true,1.00,3587,327,3582,327,326175
patternWeightCount-27,true,1.00,1863,385,1861,385,183572
patternWeightCount-28,true,1.00,5744,330,5743,330,506555
patternWeightCount-29,true,1.00,5004,347,5003,347,445259
patternWeightCount-30,false,1.00,3097,377,3095,377,281629
patternWeightCount-31,true,1.00,4378,327,4378,327,386502
patternWeightCount-32,true,1.00,3856,339,3855,339,347555
patternWeightCount-33,true,1.00,5235,342,5235,342,466002
patternWeightCount-34,true,1.00,4057,333,4055,333,366173
patternWeightCount-35,true,1.00,3436,343,3433,343,312534
patternWeightCount-36,true,1.00,4347,339,4345,339,389414
patternWeightCount-37,true,1.00,3172,373,3171,373,293722
patternWeightCount-38,true,1.00,2848,365,2848,365,266048
patternWeightCount-39,true,1.00,3808,376,3806,376,345878
patternWeightCount-40,true,1.00,5891,331,5887,331,524023
patternWeightCount-41,true,1.00,4131,315,4128,315,367439
patternWeightCount-42,false,0.92,2832,312,2830,312,261212
patternWeightCount-43,true,1.00,3902,344,3901,344,352243
patternWeightCount-44,false,1.00,3365,349,3364,349,301417
patternWeightCount-45,true,1.00,2873,391,2871,391,267666
patternWeightCount-46,false,1.00,2437,343,2435,343,228917
patternWeightCount-47,true,1.00,3913,373,3913,373,353200
patternWeightCount-48,true,1.00,3716,343,3715,343,344400
patternWeightCount-49,true,1.00,5081,351,5080,351,458007
patternWeightCount-50,true,1.00,3780,337,3779,337,340855
patternWeightCount-51,true,1.00,4804,411,4803,411,438869
patternWeightCount-52,true,1.00,3039,341,3038,341,276622
patternWeightCount-53,true,1.00,4789,347,4786,347,451448
patternWeightCount-54,true,1.00,3469,347,3468,347,315421
patternWeightCount-55,false,1.00,4238,329,4236,329,382035
patternWeightCount-56,true,1.00,4317,333,4314,333,392267
patternWeightCount-57,true,1.00,2665,350,2663,350,241484
patternWeightCount-58,true,1.00,2794,351,2793,351,256487
patternWeightCount-59,true,1.00,4670,353,4669,353,419832
patternWeightCount-60,true,1.00,3460,348,3460,348,317927
patternWeightCount-61,true,1.00,5404,381,5404,381,487484
patternWeightCount-62,false,1.00,2887,332,2886,332,262356
patternWeightCount-63,true,1.00,2847,336,2844,336,259038
patternWeightCount-64,true,1.00,3183,328,3182,328,287248
patternWeightCount-65,true,1.00,3781,395,3780,395,347007
patternWeightCount-66,true,1.00,4394,343,4394,343,399967
patternWeightCount-67,false,0.55,28101,999,28098,999,2353980
patternWeightCount-68,false,0.85,25548,999,25546,999,2158292
patternWeightCount-69,true,1.00,4735,371,4731,371,423565
patternWeightCount-70,true,1.00,2118,347,2118,347,196157
patternWeightCount-71,true,1.00,3855,333,3850,333,345816
patternWeightCount-72,true,1.00,2338,363,2334,363,218436
patternWeightCount-73,true,1.00,3200,387,3198,387,295532
patternWeightCount-74,true,1.00,5048,326,5048,326,446066
patternWeightCount-75,true,1.00,5584,345,5584,345,496885
patternWeightCount-76,true,1.00,3730,338,3729,338,331529
patternWeightCount-77,true,1.00,4137,338,4137,338,366194
patternWeightCount-78,true,1.00,4408,377,4406,377,393000
patternWeightCount-79,true,1.00,4377,351,4374,351,395228
patternWeightCount-80,true,1.00,3707,353,3705,353,332557
